,date,price
0,2022-05-01,107.31
1,2022-04-30,107.31
2,2022-04-29,107.31
3,2022-04-28,107.31
4,2022-04-27,107.31
5,2022-04-26,107.31
6,2022-04-25,107.31
7,2022-04-24,107.31
8,2022-04-23,107.31
9,2022-04-22,107.31
10,2022-04-21,107.31
11,2022-04-20,107.31
12,2022-04-19,107.31
13,2022-04-18,107.31
14,2022-04-17,107.31
15,2022-04-16,107.31
16,2022-04-15,107.31
17,2022-04-14,107.31
18,2022-04-13,107.31
19,2022-04-12,107.31
20,2022-04-11,107.31
21,2022-04-10,107.31
22,2022-04-09,107.31
23,2022-04-08,107.31
24,2022-04-07,107.31
25,2022-04-06,107.31
26,2022-04-05,106.48
27,2022-04-04,105.65
28,2022-04-03,105.24
29,2022-04-02,104.41
30,2022-04-01,103.58
31,2022-03-31,103.58
32,2022-03-30,102.75
33,2022-03-29,101.92
34,2022-03-28,101.09
35,2022-03-27,100.78
36,2022-03-26,100.26
37,2022-03-25,99.45
38,2022-03-24,98.62
39,2022-03-23,98.62
40,2022-03-22,97.79
41,2022-03-21,96.96
42,2022-03-20,96.96
43,2022-03-19,96.96
44,2022-03-18,96.96
45,2022-03-17,96.96
46,2022-03-16,96.96
47,2022-03-15,96.96
48,2022-03-14,96.96
49,2022-03-13,96.96
50,2022-03-12,96.96
51,2022-03-11,96.96
52,2022-03-10,96.96
53,2022-03-09,96.96
54,2022-03-08,96.96
55,2022-03-07,96.96
56,2022-03-06,96.96
57,2022-03-05,96.96
58,2022-03-04,96.96
59,2022-03-03,96.96
60,2022-03-02,96.96
61,2022-03-01,96.96
62,2022-02-28,96.96
63,2022-02-27,96.96
64,2022-02-26,96.96
65,2022-02-25,96.96
66,2022-02-24,96.96
67,2022-02-23,96.96
68,2022-02-22,96.96
69,2022-02-21,96.96
70,2022-02-20,96.96
71,2022-02-19,96.96
72,2022-02-18,96.96
73,2022-02-17,96.96
74,2022-02-16,96.96
75,2022-02-15,96.96
76,2022-02-14,96.96
77,2022-02-13,96.96
78,2022-02-12,96.96
79,2022-02-11,96.96
80,2022-02-10,96.96
81,2022-02-09,96.96
82,2022-02-08,96.96
83,2022-02-07,96.96
