,date,price
0,2022-05-01,110.95
1,2022-04-30,110.95
2,2022-04-29,110.95
3,2022-04-28,110.95
4,2022-04-27,110.95
5,2022-04-26,110.95
6,2022-04-25,110.95
7,2022-04-24,110.95
8,2022-04-23,110.95
9,2022-04-22,110.95
10,2022-04-21,110.95
11,2022-04-20,110.95
12,2022-04-19,110.95
13,2022-04-18,110.95
14,2022-04-17,110.95
15,2022-04-16,110.95
16,2022-04-15,110.95
17,2022-04-14,110.95
18,2022-04-13,110.95
19,2022-04-12,110.95
20,2022-04-11,110.95
21,2022-04-10,110.95
22,2022-04-09,110.95
23,2022-04-08,110.95
24,2022-04-07,110.95
25,2022-04-06,110.95
26,2022-04-05,110.13
27,2022-04-04,109.31
28,2022-04-03,108.9
29,2022-04-02,108.09
30,2022-04-01,107.27
31,2022-03-31,107.27
32,2022-03-30,106.46
33,2022-03-29,105.64
34,2022-03-28,104.82
35,2022-03-27,104.52
36,2022-03-26,104.01
37,2022-03-25,103.26
38,2022-03-24,102.45
39,2022-03-23,102.45
40,2022-03-22,101.63
41,2022-03-21,100.82
42,2022-03-20,100.82
43,2022-03-19,100.82
44,2022-03-18,100.82
45,2022-03-17,100.82
46,2022-03-16,100.82
47,2022-03-15,100.82
48,2022-03-14,100.82
49,2022-03-13,100.82
50,2022-03-12,100.82
51,2022-03-11,100.82
52,2022-03-10,100.82
53,2022-03-09,100.82
54,2022-03-08,100.82
55,2022-03-07,100.82
56,2022-03-06,100.82
57,2022-03-05,100.82
58,2022-03-04,100.82
59,2022-03-03,100.82
60,2022-03-02,100.82
61,2022-03-01,100.82
62,2022-02-28,100.82
63,2022-02-27,100.82
64,2022-02-26,100.82
65,2022-02-25,100.82
66,2022-02-24,100.82
67,2022-02-23,100.82
68,2022-02-22,100.82
69,2022-02-21,100.82
70,2022-02-20,100.82
71,2022-02-19,100.82
72,2022-02-18,100.82
73,2022-02-17,100.82
74,2022-02-16,100.82
75,2022-02-15,100.82
76,2022-02-14,100.82
77,2022-02-13,100.82
78,2022-02-12,100.82
79,2022-02-11,100.82
80,2022-02-10,100.82
81,2022-02-09,100.82
82,2022-02-08,100.82
83,2022-02-07,100.82
84,2022-02-06,100.82
85,2022-02-05,100.82
86,2022-02-04,100.82
87,2022-02-03,100.82
88,2022-02-02,100.82
89,2022-02-01,100.82
90,2022-01-31,100.82
91,2022-01-30,100.82
92,2022-01-29,100.82
93,2022-01-28,100.82
94,2022-01-27,100.82
95,2022-01-26,100.82
96,2022-01-25,100.82
97,2022-01-24,100.82
98,2022-01-23,100.82
99,2022-01-22,100.82
100,2022-01-21,100.82
101,2022-01-20,100.82
102,2022-01-19,100.82
103,2022-01-18,100.82
104,2022-01-17,100.82
105,2022-01-16,100.82
106,2022-01-15,100.82
107,2022-01-14,100.82
108,2022-01-13,100.82
109,2022-01-12,100.82
110,2022-01-11,100.82
111,2022-01-10,100.82
112,2022-01-09,100.82
113,2022-01-08,100.82
114,2022-01-07,100.82
115,2022-01-06,100.82
116,2022-01-05,100.82
117,2022-01-04,100.82
118,2022-01-03,100.82
119,2022-01-02,100.82
120,2022-01-01,100.82
121,2021-12-31,100.82
122,2021-12-30,100.82
123,2021-12-29,100.82
124,2021-12-28,100.82
125,2021-12-27,100.82
126,2021-12-26,100.82
127,2021-12-25,100.82
128,2021-12-24,100.82
129,2021-12-23,100.82
130,2021-12-22,100.82
131,2021-12-21,100.82
132,2021-12-20,100.82
133,2021-12-19,100.82
134,2021-12-18,100.82
135,2021-12-17,100.82
136,2021-12-16,100.82
137,2021-12-15,100.82
138,2021-12-14,100.82
139,2021-12-13,100.82
140,2021-12-12,100.82
141,2021-12-11,100.82
142,2021-12-10,100.82
143,2021-12-09,100.82
144,2021-12-08,100.82
145,2021-12-07,100.82
146,2021-12-06,100.82
147,2021-12-05,100.82
148,2021-12-04,100.82
149,2021-12-03,100.82
150,2021-12-02,100.82
151,2021-11-30,100.82
152,2021-11-29,100.82
153,2021-11-28,100.82
154,2021-11-27,100.82
155,2021-11-26,100.82
156,2021-11-25,100.82
157,2021-11-24,100.82
158,2021-11-23,100.82
159,2021-11-22,100.82
160,2021-11-21,100.82
161,2021-11-20,100.82
162,2021-11-19,100.82
163,2021-11-18,100.82
164,2021-11-17,100.82
165,2021-11-16,100.82
166,2021-11-15,100.82
167,2021-11-14,100.82
168,2021-11-13,100.82
169,2021-11-12,100.82
170,2021-11-11,100.82
171,2021-11-10,100.82
172,2021-11-09,100.82
173,2021-11-08,100.82
174,2021-11-07,100.82
175,2021-11-06,100.82
176,2021-11-05,100.82
177,2021-11-04,100.82
178,2021-11-03,106.5
179,2021-11-02,106.5
180,2021-11-01,106.15
181,2021-10-31,105.67
182,2021-10-30,105.34
183,2021-10-29,105.02
184,2021-10-28,104.69
185,2021-10-27,104.36
186,2021-10-26,104.03
187,2021-10-25,104.03
188,2021-10-24,104.03
189,2021-10-23,103.71
190,2021-10-22,103.38
191,2021-10-21,103.05
192,2021-10-20,102.72
193,2021-10-19,102.4
194,2021-10-18,102.4
195,2021-10-15,101.74
196,2021-10-14,101.41
197,2021-10-13,101.09
198,2021-10-12,101.09
199,2021-10-11,101.09
200,2021-10-10,100.8
201,2021-10-09,100.52
202,2021-10-08,100.24
203,2021-10-07,99.96
204,2021-10-06,99.68
205,2021-10-05,99.4
206,2021-10-04,99.17
207,2021-10-03,99.17
208,2021-10-02,98.93
209,2021-10-01,98.7
210,2021-09-30,98.48
211,2021-09-29,98.26
212,2021-09-28,98.26
213,2021-09-27,98.08
214,2021-09-26,98.08
215,2021-09-25,98.08
216,2021-09-24,98.08
217,2021-09-23,98.08
218,2021-09-22,98.08
219,2021-09-21,98.08
220,2021-09-20,98.08
221,2021-09-19,98.08
