,date,price
0,2022-05-01,109.44
1,2022-04-30,109.44
2,2022-04-29,109.44
3,2022-04-28,109.44
4,2022-04-27,109.44
5,2022-04-26,109.44
6,2022-04-25,109.44
7,2022-04-24,109.44
8,2022-04-23,109.44
9,2022-04-22,109.44
10,2022-04-21,109.44
11,2022-04-20,109.44
12,2022-04-19,109.44
13,2022-04-18,109.44
14,2022-04-17,109.44
15,2022-04-16,109.44
16,2022-04-15,109.44
17,2022-04-14,109.44
18,2022-04-13,109.44
19,2022-04-12,109.44
20,2022-04-11,109.44
21,2022-04-10,109.44
22,2022-04-09,109.44
23,2022-04-08,109.44
24,2022-04-07,109.44
25,2022-04-06,109.44
26,2022-04-05,108.63
27,2022-04-04,107.81
28,2022-04-03,107.4
29,2022-04-02,106.59
30,2022-04-01,105.77
31,2022-03-31,105.77
32,2022-03-30,104.96
33,2022-03-29,104.14
34,2022-03-28,103.32
35,2022-03-27,103.02
36,2022-03-26,102.51
37,2022-03-25,101.72
38,2022-03-24,100.9
39,2022-03-23,100.9
40,2022-03-22,100.09
41,2022-03-21,99.27
42,2022-03-20,99.27
43,2022-03-19,99.27
44,2022-03-18,99.27
45,2022-03-17,99.27
46,2022-03-16,99.27
47,2022-03-15,99.27
48,2022-03-14,99.27
49,2022-03-13,99.27
50,2022-03-12,99.27
51,2022-03-11,99.27
52,2022-03-10,99.27
53,2022-03-09,99.27
54,2022-03-08,99.27
55,2022-03-07,99.27
56,2022-03-06,99.27
57,2022-03-05,99.27
58,2022-03-04,99.27
59,2022-03-03,99.27
60,2022-03-02,99.27
61,2022-03-01,99.27
62,2022-02-28,99.27
63,2022-02-27,99.27
64,2022-02-26,99.27
65,2022-02-25,99.27
66,2022-02-24,99.27
67,2022-02-23,99.27
68,2022-02-22,99.27
69,2022-02-21,99.27
70,2022-02-20,99.27
71,2022-02-19,99.27
72,2022-02-18,99.27
73,2022-02-17,99.27
74,2022-02-16,99.27
75,2022-02-15,99.27
76,2022-02-14,99.27
77,2022-02-13,99.27
78,2022-02-12,99.27
79,2022-02-11,99.27
80,2022-02-10,99.27
81,2022-02-09,99.27
82,2022-02-08,99.27
83,2022-02-07,99.27
84,2022-02-06,99.27
85,2022-02-05,99.27
86,2022-02-04,99.27
87,2022-02-03,99.27
88,2022-02-02,99.27
89,2022-02-01,99.27
90,2022-01-31,99.27
91,2022-01-30,99.27
92,2022-01-29,99.27
93,2022-01-28,99.27
94,2022-01-27,99.27
95,2022-01-26,99.27
96,2022-01-25,99.27
97,2022-01-24,99.27
98,2022-01-23,99.27
99,2022-01-22,99.27
100,2022-01-21,99.27
101,2022-01-20,99.27
102,2022-01-19,99.27
103,2022-01-18,99.27
104,2022-01-17,99.27
105,2022-01-16,99.27
106,2022-01-15,99.27
