,date,price
0,2022-05-01,109.08
1,2022-04-30,109.08
2,2022-04-29,109.08
3,2022-04-28,109.08
4,2022-04-27,109.08
5,2022-04-26,109.08
6,2022-04-25,109.08
7,2022-04-24,109.08
8,2022-04-23,109.08
9,2022-04-22,109.08
10,2022-04-21,109.08
11,2022-04-20,109.08
12,2022-04-19,109.08
13,2022-04-18,109.08
14,2022-04-17,109.08
15,2022-04-16,109.08
16,2022-04-15,109.08
17,2022-04-14,109.08
18,2022-04-13,109.08
19,2022-04-12,109.08
20,2022-04-11,109.08
21,2022-04-10,109.08
22,2022-04-09,109.08
23,2022-04-08,109.08
24,2022-04-07,109.08
25,2022-04-06,109.08
26,2022-04-05,108.26
27,2022-04-04,107.44
28,2022-04-03,107.04
29,2022-04-02,106.22
30,2022-04-01,105.4
31,2022-03-31,105.4
32,2022-03-30,104.59
33,2022-03-29,103.77
34,2022-03-28,102.96
35,2022-03-27,102.65
36,2022-03-26,102.14
37,2022-03-25,101.35
38,2022-03-24,100.53
39,2022-03-23,100.53
40,2022-03-22,99.71
41,2022-03-21,98.9
42,2022-03-20,98.9
43,2022-03-19,98.9
44,2022-03-18,98.9
45,2022-03-17,98.9
46,2022-03-16,98.9
47,2022-03-15,98.9
48,2022-03-14,98.9
49,2022-03-13,98.9
50,2022-03-12,98.9
51,2022-03-11,98.9
52,2022-03-10,98.9
53,2022-03-09,98.9
54,2022-03-08,98.9
55,2022-03-07,98.9
56,2022-03-06,98.9
57,2022-03-05,98.9
58,2022-03-04,98.9
59,2022-03-03,98.9
60,2022-03-02,98.9
61,2022-03-01,98.9
62,2022-02-28,98.9
63,2022-02-27,98.9
64,2022-02-26,98.9
65,2022-02-25,98.9
66,2022-02-24,98.9
67,2022-02-23,98.9
68,2022-02-22,98.9
69,2022-02-21,98.9
70,2022-02-20,98.9
71,2022-02-19,98.9
72,2022-02-18,98.9
73,2022-02-17,98.9
74,2022-02-16,98.9
75,2022-02-15,98.9
76,2022-02-14,98.9
77,2022-02-13,98.9
78,2022-02-12,98.9
79,2022-02-11,98.9
80,2022-02-10,98.9
81,2022-02-09,98.9
82,2022-02-08,98.9
83,2022-02-07,98.9
84,2022-02-06,98.9
85,2022-02-05,98.9
86,2022-02-04,98.9
87,2022-02-03,98.9
88,2022-02-02,98.9
89,2022-02-01,98.9
90,2022-01-31,98.9
91,2022-01-30,98.9
92,2022-01-29,98.9
93,2022-01-28,98.9
94,2022-01-27,98.9
95,2022-01-26,98.9
96,2022-01-25,98.9
97,2022-01-24,98.9
98,2022-01-23,98.9
99,2022-01-22,98.9
100,2022-01-21,98.9
101,2022-01-20,98.9
102,2022-01-19,98.9
103,2022-01-18,98.9
