,date,price
0,2022-05-01,108.62
1,2022-04-30,108.62
2,2022-04-29,108.62
3,2022-04-28,108.62
4,2022-04-27,108.62
5,2022-04-26,108.62
6,2022-04-25,108.62
7,2022-04-24,108.62
8,2022-04-23,108.62
9,2022-04-22,108.62
10,2022-04-21,108.62
11,2022-04-20,108.62
12,2022-04-19,108.62
13,2022-04-18,108.62
14,2022-04-17,108.62
15,2022-04-16,108.62
16,2022-04-15,108.62
17,2022-04-14,108.62
18,2022-04-13,108.62
19,2022-04-12,108.62
20,2022-04-11,108.62
21,2022-04-10,108.62
22,2022-04-09,108.62
23,2022-04-08,108.62
24,2022-04-07,108.62
25,2022-04-06,108.62
26,2022-04-05,107.81
27,2022-04-04,106.99
28,2022-04-03,106.58
29,2022-04-02,105.77
30,2022-04-01,104.95
31,2022-03-31,104.95
32,2022-03-30,104.13
33,2022-03-29,103.32
34,2022-03-28,102.5
35,2022-03-27,102.2
36,2022-03-26,101.69
37,2022-03-25,100.87
38,2022-03-24,100.05
39,2022-03-23,100.05
40,2022-03-22,99.24
41,2022-03-21,98.42
42,2022-03-20,98.42
43,2022-03-19,98.42
44,2022-03-18,98.42
45,2022-03-17,98.42
46,2022-03-16,98.42
47,2022-03-15,98.42
48,2022-03-14,98.42
49,2022-03-13,98.42
50,2022-03-12,98.42
51,2022-03-11,98.42
52,2022-03-10,98.42
53,2022-03-09,98.42
54,2022-03-08,98.42
55,2022-03-07,98.42
56,2022-03-06,98.42
57,2022-03-05,98.42
58,2022-03-04,98.42
59,2022-03-03,98.42
60,2022-03-02,98.42
61,2022-03-01,98.42
62,2022-02-28,98.42
63,2022-02-27,98.42
64,2022-02-26,98.42
65,2022-02-25,98.42
66,2022-02-24,98.42
67,2022-02-23,98.42
68,2022-02-22,98.42
69,2022-02-21,98.42
70,2022-02-20,98.42
71,2022-02-19,98.42
72,2022-02-18,98.42
73,2022-02-17,98.42
74,2022-02-16,98.42
75,2022-02-15,98.42
76,2022-02-14,98.42
77,2022-02-13,98.42
78,2022-02-12,98.42
79,2022-02-11,98.42
80,2022-02-10,98.42
81,2022-02-09,98.42
82,2022-02-08,98.42
83,2022-02-07,98.42
84,2022-02-06,98.42
85,2022-02-05,98.42
86,2022-02-04,98.42
87,2022-02-03,98.42
88,2022-02-02,98.42
89,2022-02-01,98.42
90,2022-01-31,98.42
91,2022-01-30,98.42
92,2022-01-29,98.42
93,2022-01-28,98.42
94,2022-01-27,98.42
95,2022-01-26,98.42
96,2022-01-25,98.42
97,2022-01-24,98.42
98,2022-01-23,98.42
99,2022-01-22,98.42
100,2022-01-21,98.42
101,2022-01-20,98.42
102,2022-01-19,98.42
103,2022-01-18,98.42
104,2022-01-17,98.42
105,2022-01-16,98.42
106,2022-01-15,98.42
107,2022-01-14,98.42
108,2022-01-13,98.42
109,2022-01-12,98.42
110,2022-01-11,98.42
111,2022-01-10,98.42
112,2022-01-09,98.42
113,2022-01-08,98.42
114,2022-01-07,98.42
115,2022-01-06,98.42
116,2022-01-05,98.42
117,2022-01-04,98.42
118,2022-01-03,98.42
119,2022-01-02,98.42
120,2022-01-01,98.42
121,2021-12-31,98.42
122,2021-12-30,98.42
123,2021-12-29,98.42
124,2021-12-28,98.42
125,2021-12-27,98.42
126,2021-12-26,98.42
127,2021-12-25,98.42
128,2021-12-24,98.42
129,2021-12-23,98.42
130,2021-12-22,98.42
131,2021-12-21,98.42
132,2021-12-20,98.42
