,date,price
0,2022-05-01,108.89
1,2022-04-30,108.89
2,2022-04-29,108.89
3,2022-04-28,108.89
4,2022-04-27,108.89
5,2022-04-26,108.89
6,2022-04-25,108.89
7,2022-04-24,108.89
8,2022-04-23,108.89
9,2022-04-22,108.89
10,2022-04-21,108.89
11,2022-04-20,108.89
12,2022-04-19,108.89
13,2022-04-18,108.89
14,2022-04-17,108.89
15,2022-04-16,108.89
16,2022-04-15,108.89
17,2022-04-14,108.89
18,2022-04-13,108.89
19,2022-04-12,108.89
20,2022-04-11,108.89
21,2022-04-10,108.89
22,2022-04-09,108.89
23,2022-04-08,108.89
24,2022-04-07,108.89
25,2022-04-06,108.89
26,2022-04-05,108.07
27,2022-04-04,107.26
28,2022-04-03,106.85
29,2022-04-02,106.03
30,2022-04-01,105.22
31,2022-03-31,105.22
32,2022-03-30,104.4
33,2022-03-29,103.58
34,2022-03-28,102.77
35,2022-03-27,102.46
36,2022-03-26,101.95
37,2022-03-25,101.14
38,2022-03-24,100.33
39,2022-03-23,100.33
40,2022-03-22,99.51
41,2022-03-21,98.69
42,2022-03-20,98.69
43,2022-03-19,98.69
44,2022-03-18,98.69
45,2022-03-17,98.69
46,2022-03-16,98.69
47,2022-03-15,98.69
48,2022-03-14,98.69
49,2022-03-13,98.69
50,2022-03-12,98.69
51,2022-03-11,98.69
52,2022-03-10,98.69
53,2022-03-09,98.69
54,2022-03-08,98.69
55,2022-03-07,98.69
56,2022-03-06,98.69
57,2022-03-05,98.69
58,2022-03-04,98.69
59,2022-03-03,98.69
60,2022-03-02,98.69
61,2022-03-01,98.69
62,2022-02-28,98.69
63,2022-02-27,98.69
64,2022-02-26,98.69
65,2022-02-25,98.69
66,2022-02-24,98.69
67,2022-02-23,98.69
68,2022-02-22,98.69
69,2022-02-21,98.69
70,2022-02-20,98.69
71,2022-02-19,98.69
72,2022-02-18,98.69
73,2022-02-17,98.69
74,2022-02-16,98.69
75,2022-02-15,98.69
76,2022-02-14,98.69
77,2022-02-13,98.69
78,2022-02-12,98.69
79,2022-02-11,98.69
80,2022-02-10,98.69
81,2022-02-09,98.69
82,2022-02-08,98.69
83,2022-02-07,98.69
84,2022-02-06,98.69
85,2022-02-05,98.69
86,2022-02-04,98.69
87,2022-02-03,98.69
88,2022-02-02,98.69
89,2022-02-01,98.69
90,2022-01-31,98.69
91,2022-01-30,98.69
92,2022-01-29,98.69
93,2022-01-28,98.69
94,2022-01-27,98.69
95,2022-01-26,98.69
96,2022-01-25,98.69
97,2022-01-24,98.69
98,2022-01-23,98.69
99,2022-01-22,98.69
100,2022-01-21,98.69
101,2022-01-20,98.69
102,2022-01-19,98.69
103,2022-01-18,98.69
104,2022-01-17,98.69
105,2022-01-16,98.69
106,2022-01-15,98.69
107,2022-01-14,98.69
108,2022-01-13,98.69
109,2022-01-12,98.69
110,2022-01-11,98.69
111,2022-01-10,98.69
112,2022-01-09,98.69
113,2022-01-08,98.69
114,2022-01-07,98.69
115,2022-01-06,98.69
116,2022-01-05,98.69
117,2022-01-04,98.69
118,2022-01-03,98.69
119,2022-01-02,98.69
120,2022-01-01,98.69
121,2021-12-31,98.69
122,2021-12-30,98.69
123,2021-12-29,98.69
124,2021-12-28,98.69
125,2021-12-27,98.69
126,2021-12-26,98.69
