,date,price
0,2022-05-01,112.97
1,2022-04-30,112.97
2,2022-04-29,112.97
3,2022-04-28,112.97
4,2022-04-27,112.97
5,2022-04-26,112.97
6,2022-04-25,112.97
7,2022-04-24,112.97
8,2022-04-23,112.97
9,2022-04-22,112.97
10,2022-04-21,112.97
11,2022-04-20,112.97
12,2022-04-19,112.97
13,2022-04-18,112.97
14,2022-04-17,112.97
15,2022-04-16,112.97
16,2022-04-15,112.97
17,2022-04-14,112.97
18,2022-04-13,112.97
19,2022-04-12,112.97
20,2022-04-11,112.97
21,2022-04-10,112.97
22,2022-04-09,112.97
23,2022-04-08,112.97
24,2022-04-07,112.97
25,2022-04-06,112.97
26,2022-04-05,112.13
27,2022-04-04,111.29
28,2022-04-03,110.87
29,2022-04-02,110.02
30,2022-04-01,109.18
31,2022-03-31,109.18
32,2022-03-30,108.34
33,2022-03-29,107.5
34,2022-03-28,106.66
35,2022-03-27,106.34
36,2022-03-26,105.81
37,2022-03-25,105.04
38,2022-03-24,104.2
39,2022-03-23,104.2
40,2022-03-22,103.36
41,2022-03-21,102.51
42,2022-03-20,102.51
43,2022-03-19,102.51
44,2022-03-18,102.51
45,2022-03-17,102.51
46,2022-03-16,102.51
47,2022-03-15,102.51
48,2022-03-14,102.51
49,2022-03-13,102.51
50,2022-03-12,102.51
51,2022-03-11,102.51
52,2022-03-10,102.51
53,2022-03-09,102.51
54,2022-03-08,102.51
55,2022-03-07,102.51
56,2022-03-06,102.51
57,2022-03-05,102.51
58,2022-03-04,102.51
59,2022-03-03,102.51
60,2022-03-02,102.51
61,2022-03-01,102.51
62,2022-02-28,102.51
63,2022-02-27,102.51
64,2022-02-26,102.51
65,2022-02-25,102.51
66,2022-02-24,102.51
67,2022-02-23,102.51
68,2022-02-22,102.51
69,2022-02-21,102.51
70,2022-02-20,102.51
71,2022-02-19,102.51
72,2022-02-18,102.51
73,2022-02-17,102.51
74,2022-02-16,102.51
75,2022-02-15,102.51
76,2022-02-14,102.51
77,2022-02-13,102.51
78,2022-02-12,102.51
79,2022-02-11,102.51
80,2022-02-10,102.51
81,2022-02-09,102.51
82,2022-02-08,102.51
83,2022-02-07,102.51
84,2022-02-06,102.51
85,2022-02-05,102.51
86,2022-02-04,102.51
87,2022-02-03,102.51
88,2022-02-02,102.51
89,2022-02-01,102.51
90,2022-01-31,102.51
91,2022-01-30,102.51
92,2022-01-29,102.51
93,2022-01-28,102.51
94,2022-01-27,102.51
95,2022-01-26,102.51
96,2022-01-25,102.51
97,2022-01-24,102.51
98,2022-01-23,102.51
99,2022-01-22,102.51
100,2022-01-21,102.51
101,2022-01-20,102.51
102,2022-01-19,102.51
103,2022-01-18,102.51
104,2022-01-17,102.51
105,2022-01-16,102.51
106,2022-01-15,102.51
107,2022-01-14,102.51
108,2022-01-13,102.51
109,2022-01-12,102.51
110,2022-01-11,102.51
111,2022-01-10,102.51
112,2022-01-09,102.51
113,2022-01-08,102.51
114,2022-01-07,102.51
115,2022-01-06,102.51
116,2022-01-05,102.51
117,2022-01-04,102.51
118,2022-01-03,102.51
119,2022-01-02,102.51
120,2022-01-01,102.51
121,2021-12-31,102.51
122,2021-12-30,102.51
123,2021-12-29,102.51
124,2021-12-28,102.51
125,2021-12-27,102.51
126,2021-12-26,102.51
127,2021-12-25,102.51
128,2021-12-24,102.51
129,2021-12-23,102.51
130,2021-12-22,102.51
131,2021-12-21,102.51
132,2021-12-20,102.51
133,2021-12-19,102.51
134,2021-12-18,102.51
135,2021-12-17,102.51
136,2021-12-16,102.51
137,2021-12-15,102.51
138,2021-12-14,102.51
139,2021-12-13,102.51
140,2021-12-12,102.51
141,2021-12-11,102.51
142,2021-12-10,102.51
143,2021-12-09,102.51
144,2021-12-08,102.51
145,2021-12-07,102.51
146,2021-12-06,102.51
147,2021-12-05,102.51
148,2021-12-04,102.51
149,2021-12-03,102.51
150,2021-12-02,102.51
151,2021-11-30,102.51
152,2021-11-29,102.51
153,2021-11-28,102.51
154,2021-11-27,102.51
155,2021-11-26,102.51
156,2021-11-25,102.51
157,2021-11-24,102.51
158,2021-11-23,102.51
159,2021-11-22,102.51
160,2021-11-21,102.51
161,2021-11-20,102.51
162,2021-11-19,102.51
163,2021-11-18,102.51
164,2021-11-17,102.51
165,2021-11-16,102.51
166,2021-11-15,102.51
167,2021-11-14,102.51
168,2021-11-13,102.51
169,2021-11-12,102.51
170,2021-11-11,102.51
171,2021-11-10,102.51
172,2021-11-09,102.51
173,2021-11-08,102.51
174,2021-11-07,102.51
175,2021-11-06,102.51
176,2021-11-05,102.51
177,2021-11-04,109.71
178,2021-11-03,116
179,2021-11-02,116
180,2021-11-01,115.62
181,2021-10-31,115.1
182,2021-10-30,114.74
183,2021-10-29,114.37
184,2021-10-28,114.01
185,2021-10-27,113.65
186,2021-10-26,113.29
187,2021-10-25,113.29
188,2021-10-24,113.29
189,2021-10-23,112.92
190,2021-10-22,112.56
191,2021-10-21,112.2
192,2021-10-20,111.84
193,2021-10-15,110.75
194,2021-10-14,110.39
195,2021-10-13,110.02
196,2021-10-12,110.02
197,2021-10-11,110.02
198,2021-10-10,109.71
199,2021-10-09,109.4
200,2021-10-08,109.09
201,2021-10-07,108.78
202,2021-10-06,108.47
203,2021-10-05,108.16
204,2021-10-04,107.9
205,2021-10-03,107.9
206,2021-10-02,107.64
207,2021-10-01,107.38
208,2021-09-30,107.14
209,2021-09-29,106.89
210,2021-09-28,106.89
211,2021-09-27,106.7
212,2021-09-26,106.7
213,2021-09-25,106.7
214,2021-09-24,106.7
215,2021-09-23,106.7
216,2021-09-22,106.7
217,2021-09-21,106.7
218,2021-09-20,106.7
219,2021-09-19,106.7
220,2021-09-18,106.7
221,2021-09-17,106.7
222,2021-09-16,106.7
223,2021-09-15,106.7
224,2021-09-14,106.7
225,2021-09-13,106.7
226,2021-09-12,106.7
227,2021-09-11,106.7
228,2021-09-10,106.7
229,2021-09-09,106.7
230,2021-09-08,106.7
