,date,price
0,2022-05-01,112.6
1,2022-04-30,112.6
2,2022-04-29,112.6
3,2022-04-28,112.6
4,2022-04-27,112.6
5,2022-04-26,112.6
6,2022-04-25,112.6
7,2022-04-24,112.6
8,2022-04-23,112.6
9,2022-04-22,112.6
10,2022-04-21,112.6
11,2022-04-20,112.6
12,2022-04-19,112.6
13,2022-04-18,112.6
14,2022-04-17,112.6
15,2022-04-16,112.6
16,2022-04-15,112.6
17,2022-04-14,112.6
18,2022-04-13,112.6
19,2022-04-12,112.6
20,2022-04-11,112.6
21,2022-04-10,112.6
22,2022-04-09,112.6
23,2022-04-08,112.6
24,2022-04-07,112.6
25,2022-04-06,112.6
26,2022-04-05,111.76
27,2022-04-04,110.92
28,2022-04-03,110.5
29,2022-04-02,109.66
30,2022-04-01,108.81
31,2022-03-31,108.81
32,2022-03-30,107.97
33,2022-03-29,107.13
34,2022-03-28,106.29
35,2022-03-27,105.97
36,2022-03-26,105.44
37,2022-03-25,104.66
38,2022-03-24,103.82
39,2022-03-23,103.82
40,2022-03-22,102.98
41,2022-03-21,102.14
42,2022-03-20,102.14
43,2022-03-19,102.14
44,2022-03-18,102.14
45,2022-03-17,102.14
46,2022-03-16,102.14
47,2022-03-15,102.14
48,2022-03-14,102.14
49,2022-03-13,102.14
50,2022-03-12,102.14
51,2022-03-11,102.14
52,2022-03-10,102.14
53,2022-03-09,102.14
54,2022-03-08,102.14
55,2022-03-07,102.14
56,2022-03-06,102.14
57,2022-03-05,102.14
58,2022-03-04,102.14
59,2022-03-03,102.14
60,2022-03-02,102.14
61,2022-03-01,102.14
62,2022-02-28,102.14
63,2022-02-27,102.14
64,2022-02-26,102.14
65,2022-02-25,102.14
66,2022-02-24,102.14
67,2022-02-23,102.14
68,2022-02-22,102.14
69,2022-02-21,102.14
70,2022-02-20,102.14
71,2022-02-19,102.14
72,2022-02-18,102.14
73,2022-02-17,102.14
74,2022-02-16,102.14
75,2022-02-15,102.14
76,2022-02-14,102.14
77,2022-02-13,102.14
78,2022-02-12,102.14
79,2022-02-11,102.14
80,2022-02-10,102.14
81,2022-02-09,102.14
82,2022-02-08,102.14
83,2022-02-07,102.14
84,2022-02-06,102.14
85,2022-02-05,102.14
86,2022-02-04,102.14
87,2022-02-03,102.14
88,2022-02-02,102.14
89,2022-02-01,102.14
90,2022-01-31,102.14
91,2022-01-30,102.14
92,2022-01-29,102.14
93,2022-01-28,102.14
94,2022-01-27,102.14
95,2022-01-26,102.14
96,2022-01-25,102.14
97,2022-01-24,102.14
98,2022-01-23,102.14
99,2022-01-22,102.14
100,2022-01-21,102.14
101,2022-01-20,102.14
102,2022-01-19,102.14
103,2022-01-18,102.14
104,2022-01-17,102.14
105,2022-01-16,102.14
106,2022-01-15,102.14
107,2022-01-14,102.14
108,2022-01-13,102.14
