,date,price
0,2022-05-01,110.81
1,2022-04-30,110.81
2,2022-04-29,110.81
3,2022-04-28,110.81
4,2022-04-27,110.81
5,2022-04-26,110.81
6,2022-04-25,110.81
7,2022-04-24,110.81
8,2022-04-23,110.81
9,2022-04-22,110.81
10,2022-04-21,110.81
11,2022-04-20,110.81
12,2022-04-19,110.81
13,2022-04-18,110.81
14,2022-04-17,110.81
15,2022-04-16,110.81
16,2022-04-15,110.81
17,2022-04-14,110.81
18,2022-04-13,110.81
19,2022-04-12,110.81
20,2022-04-11,110.81
21,2022-04-10,110.81
22,2022-04-09,110.81
23,2022-04-08,110.81
24,2022-04-07,110.81
25,2022-04-06,110.81
26,2022-04-05,109.96
27,2022-04-04,109.12
28,2022-04-03,108.7
29,2022-04-02,107.86
30,2022-04-01,107.02
31,2022-03-31,107.02
32,2022-03-30,106.17
33,2022-03-29,105.33
34,2022-03-28,104.49
35,2022-03-27,104.17
36,2022-03-26,103.65
37,2022-03-25,102.81
38,2022-03-24,101.96
39,2022-03-23,101.96
40,2022-03-22,101.12
41,2022-03-21,100.28
42,2022-03-20,100.28
43,2022-03-19,100.28
44,2022-03-18,100.28
45,2022-03-17,100.28
46,2022-03-16,100.28
47,2022-03-15,100.28
48,2022-03-14,100.28
49,2022-03-13,100.28
50,2022-03-12,100.28
51,2022-03-11,100.28
52,2022-03-10,100.28
53,2022-03-09,100.28
54,2022-03-08,100.28
55,2022-03-07,100.28
56,2022-03-06,100.28
57,2022-03-05,100.28
58,2022-03-04,100.28
59,2022-03-03,100.28
60,2022-03-02,100.28
61,2022-03-01,100.28
62,2022-02-28,100.28
63,2022-02-27,100.28
64,2022-02-26,100.28
65,2022-02-25,100.28
66,2022-02-24,100.28
67,2022-02-23,100.28
68,2022-02-22,100.28
69,2022-02-21,100.28
70,2022-02-20,100.28
71,2022-02-19,100.28
72,2022-02-18,100.28
73,2022-02-17,100.28
74,2022-02-16,100.28
75,2022-02-15,100.28
76,2022-02-14,100.28
77,2022-02-13,100.28
78,2022-02-12,100.28
79,2022-02-11,100.28
80,2022-02-10,100.28
81,2022-02-09,100.28
82,2022-02-08,100.28
83,2022-02-07,100.28
84,2022-02-06,100.28
85,2022-02-05,100.28
86,2022-02-04,100.28
87,2022-02-03,100.28
88,2022-02-02,100.28
89,2022-02-01,100.28
90,2022-01-31,100.28
91,2022-01-30,100.28
92,2022-01-29,100.28
93,2022-01-28,100.28
94,2022-01-27,100.28
95,2022-01-26,100.28
96,2022-01-25,100.28
97,2022-01-24,100.28
98,2022-01-23,100.28
99,2022-01-22,100.28
100,2022-01-21,100.28
101,2022-01-20,100.28
102,2022-01-19,100.28
103,2022-01-18,100.28
104,2022-01-17,100.28
105,2022-01-16,100.28
106,2022-01-15,100.28
107,2022-01-14,100.28
108,2022-01-13,100.28
109,2022-01-12,100.28
110,2022-01-11,100.28
111,2022-01-10,100.28
112,2022-01-09,100.28
113,2022-01-08,100.28
114,2022-01-07,100.28
115,2022-01-06,100.28
116,2022-01-05,100.28
117,2022-01-04,100.28
118,2022-01-03,100.28
119,2022-01-02,100.28
120,2022-01-01,100.28
121,2021-12-31,100.28
122,2021-12-30,100.28
123,2021-12-29,100.28
124,2021-12-28,100.28
125,2021-12-27,100.28
126,2021-12-26,100.28
127,2021-12-25,100.28
128,2021-12-24,100.28
129,2021-12-23,100.28
130,2021-12-22,100.28
131,2021-12-21,100.28
132,2021-12-20,100.28
133,2021-12-19,100.28
134,2021-12-18,100.28
135,2021-12-17,100.28
136,2021-12-16,100.28
137,2021-12-15,100.28
138,2021-12-14,100.28
139,2021-12-13,100.28
140,2021-12-12,100.28
141,2021-12-11,100.28
142,2021-12-10,100.28
143,2021-12-09,100.28
144,2021-12-08,100.28
145,2021-12-07,100.28
146,2021-12-06,100.28
147,2021-12-05,100.28
148,2021-12-04,100.28
149,2021-12-03,100.28
150,2021-12-02,100.28
151,2021-11-30,100.28
152,2021-11-29,100.28
153,2021-11-28,100.28
154,2021-11-27,100.28
155,2021-11-26,100.28
156,2021-11-25,100.28
157,2021-11-24,100.28
158,2021-11-23,100.28
159,2021-11-22,100.28
160,2021-11-21,100.28
161,2021-11-20,100.28
162,2021-11-19,100.28
163,2021-11-18,100.28
164,2021-11-17,100.28
165,2021-11-16,100.28
166,2021-11-15,100.28
167,2021-11-14,100.28
168,2021-11-13,100.28
169,2021-11-12,100.28
170,2021-11-11,100.28
171,2021-11-10,100.28
172,2021-11-09,100.28
173,2021-11-08,100.28
174,2021-11-07,100.28
175,2021-11-06,100.28
176,2021-11-05,100.28
177,2021-11-04,107.32
178,2021-11-03,113.61
179,2021-11-02,113.61
180,2021-11-01,113.22
181,2021-10-31,112.84
182,2021-10-30,112.48
183,2021-10-29,112.11
184,2021-10-28,111.75
185,2021-10-27,111.39
186,2021-10-26,111.03
187,2021-10-25,111.03
188,2021-10-24,111.03
189,2021-10-23,110.66
190,2021-10-22,110.3
191,2021-10-21,109.94
192,2021-10-20,109.58
193,2021-10-15,108.49
194,2021-10-14,108.13
195,2021-10-13,107.76
196,2021-10-12,107.76
197,2021-10-11,107.76
198,2021-10-10,107.45
199,2021-10-09,107.14
200,2021-10-08,106.83
201,2021-10-07,106.52
202,2021-10-06,106.21
203,2021-10-05,105.9
204,2021-10-04,105.64
205,2021-10-03,105.64
206,2021-10-02,105.38
207,2021-10-01,105.12
208,2021-09-30,104.88
209,2021-09-29,104.63
210,2021-09-28,104.63
211,2021-09-27,104.44
