,date,price
0,2022-05-01,110.95
1,2022-04-30,110.95
2,2022-04-29,110.95
3,2022-04-28,110.95
4,2022-04-27,110.95
5,2022-04-26,110.95
6,2022-04-25,110.95
7,2022-04-24,110.95
8,2022-04-23,110.95
9,2022-04-22,110.95
10,2022-04-21,110.95
11,2022-04-20,110.95
12,2022-04-19,110.95
13,2022-04-18,110.95
14,2022-04-17,110.95
15,2022-04-16,110.95
16,2022-04-15,110.95
17,2022-04-14,110.95
18,2022-04-13,110.95
19,2022-04-12,110.95
20,2022-04-11,110.95
21,2022-04-10,110.95
22,2022-04-09,110.95
23,2022-04-08,110.95
24,2022-04-07,110.95
25,2022-04-06,110.95
26,2022-04-05,110.11
27,2022-04-04,109.26
28,2022-04-03,108.84
29,2022-04-02,108
30,2022-04-01,107.16
31,2022-03-31,107.16
32,2022-03-30,106.32
33,2022-03-29,105.47
34,2022-03-28,104.63
35,2022-03-27,104.32
36,2022-03-26,103.79
37,2022-03-25,102.96
38,2022-03-24,102.12
39,2022-03-23,102.12
40,2022-03-22,101.27
41,2022-03-21,100.43
42,2022-03-20,100.43
43,2022-03-19,100.43
44,2022-03-18,100.43
45,2022-03-17,100.43
46,2022-03-16,100.43
47,2022-03-15,100.43
48,2022-03-14,100.43
49,2022-03-13,100.43
50,2022-03-12,100.43
51,2022-03-11,100.43
52,2022-03-10,100.43
53,2022-03-09,100.43
54,2022-03-08,100.43
55,2022-03-07,100.43
56,2022-03-06,100.43
57,2022-03-05,100.43
58,2022-03-04,100.43
59,2022-03-03,100.43
60,2022-03-02,100.43
61,2022-03-01,100.43
62,2022-02-28,100.43
63,2022-02-27,100.43
64,2022-02-26,100.43
65,2022-02-25,100.43
66,2022-02-24,100.43
67,2022-02-23,100.43
68,2022-02-22,100.43
69,2022-02-21,100.43
70,2022-02-20,100.43
71,2022-02-19,100.43
72,2022-02-18,100.43
73,2022-02-17,100.43
74,2022-02-16,100.43
75,2022-02-15,100.43
76,2022-02-14,100.43
77,2022-02-13,100.43
78,2022-02-12,100.43
79,2022-02-11,100.43
80,2022-02-10,100.43
81,2022-02-09,100.43
82,2022-02-08,100.43
83,2022-02-07,100.43
84,2022-02-06,100.43
85,2022-02-05,100.43
86,2022-02-04,100.43
87,2022-02-03,100.43
88,2022-02-02,100.43
89,2022-02-01,100.43
90,2022-01-31,100.43
91,2022-01-30,100.43
92,2022-01-29,100.43
93,2022-01-28,100.43
94,2022-01-27,100.43
95,2022-01-26,100.43
96,2022-01-25,100.43
97,2022-01-24,100.43
98,2022-01-23,100.43
99,2022-01-22,100.43
100,2022-01-21,100.43
101,2022-01-20,100.43
102,2022-01-19,100.43
103,2022-01-18,100.43
104,2022-01-17,100.43
105,2022-01-16,100.43
106,2022-01-15,100.43
107,2022-01-14,100.43
108,2022-01-13,100.43
109,2022-01-12,100.43
110,2022-01-11,100.43
111,2022-01-10,100.43
112,2022-01-09,100.43
113,2022-01-08,100.43
114,2022-01-07,100.43
115,2022-01-06,100.43
116,2022-01-05,100.43
117,2022-01-04,100.43
118,2022-01-03,100.43
119,2022-01-02,100.43
120,2022-01-01,100.43
121,2021-12-31,100.43
122,2021-12-30,100.43
123,2021-12-29,100.43
124,2021-12-28,100.43
125,2021-12-27,100.43
126,2021-12-26,100.43
127,2021-12-25,100.43
128,2021-12-24,100.43
129,2021-12-23,100.43
130,2021-12-22,100.43
131,2021-12-21,100.43
132,2021-12-20,100.43
133,2021-12-19,100.43
134,2021-12-18,100.43
135,2021-12-17,100.43
136,2021-12-16,100.43
137,2021-12-15,100.43
138,2021-12-14,100.43
139,2021-12-13,100.43
140,2021-12-12,100.43
141,2021-12-11,100.43
142,2021-12-10,100.43
143,2021-12-09,100.43
144,2021-12-08,100.43
145,2021-12-07,100.43
146,2021-12-06,100.43
147,2021-12-05,100.43
148,2021-12-04,100.43
149,2021-12-03,100.43
150,2021-12-02,100.43
151,2021-11-30,100.43
152,2021-11-29,100.43
153,2021-11-28,100.43
154,2021-11-27,100.43
155,2021-11-26,100.43
156,2021-11-25,100.43
157,2021-11-24,100.43
158,2021-11-23,100.43
159,2021-11-22,100.43
160,2021-11-21,100.43
161,2021-11-20,100.43
162,2021-11-19,100.43
163,2021-11-18,100.43
164,2021-11-17,100.43
165,2021-11-16,100.43
166,2021-11-15,100.43
167,2021-11-14,100.43
168,2021-11-13,100.43
169,2021-11-12,100.43
170,2021-11-11,100.43
171,2021-11-10,100.43
172,2021-11-09,100.43
173,2021-11-08,100.43
174,2021-11-07,100.43
175,2021-11-06,100.43
176,2021-11-05,100.43
177,2021-11-04,107.48
178,2021-11-03,113.77
179,2021-11-02,113.77
180,2021-11-01,113.39
181,2021-10-31,112.98
182,2021-10-30,112.62
183,2021-10-29,112.26
184,2021-10-28,111.89
185,2021-10-27,111.53
186,2021-10-26,111.17
187,2021-10-25,111.17
188,2021-10-24,111.17
189,2021-10-23,110.81
190,2021-10-22,110.44
191,2021-10-21,110.08
192,2021-10-20,109.72
193,2021-10-15,108.63
194,2021-10-14,108.27
195,2021-10-13,107.91
196,2021-10-12,107.91
197,2021-10-11,107.91
198,2021-10-10,107.6
199,2021-10-09,107.28
200,2021-10-08,106.97
201,2021-10-07,106.66
202,2021-10-06,106.35
203,2021-10-05,106.04
204,2021-10-04,105.78
205,2021-10-03,105.78
206,2021-10-02,105.52
207,2021-10-01,105.26
208,2021-09-30,105.02
209,2021-09-29,104.77
210,2021-09-28,104.77
211,2021-09-27,104.58
212,2021-09-26,104.58
213,2021-09-25,104.58
214,2021-09-24,104.58
215,2021-09-23,104.58
216,2021-09-22,104.58
217,2021-09-21,104.58
218,2021-09-20,104.58
219,2021-09-19,104.58
220,2021-09-18,104.58
221,2021-09-17,104.58
222,2021-09-16,104.58
