,date,price
0,2022-05-01,110.59
1,2022-04-30,110.59
2,2022-04-29,110.59
3,2022-04-28,110.59
4,2022-04-27,110.59
5,2022-04-26,110.59
6,2022-04-25,110.59
7,2022-04-24,110.59
8,2022-04-23,110.59
9,2022-04-22,110.59
10,2022-04-21,110.59
11,2022-04-20,110.59
12,2022-04-19,110.59
13,2022-04-18,110.59
14,2022-04-17,110.59
15,2022-04-16,110.59
16,2022-04-15,110.59
17,2022-04-14,110.59
18,2022-04-13,110.59
19,2022-04-12,110.59
20,2022-04-11,110.59
21,2022-04-10,110.59
22,2022-04-09,110.59
23,2022-04-08,110.59
24,2022-04-07,110.59
25,2022-04-06,110.59
26,2022-04-05,109.75
27,2022-04-04,108.91
28,2022-04-03,108.49
29,2022-04-02,107.64
30,2022-04-01,106.8
31,2022-03-31,106.8
32,2022-03-30,105.96
33,2022-03-29,105.12
34,2022-03-28,104.27
35,2022-03-27,103.96
36,2022-03-26,103.43
37,2022-03-25,102.59
38,2022-03-24,101.75
39,2022-03-23,101.75
40,2022-03-22,100.91
41,2022-03-21,100.06
42,2022-03-20,100.06
43,2022-03-19,100.06
44,2022-03-18,100.06
45,2022-03-17,100.06
46,2022-03-16,100.06
47,2022-03-15,100.06
48,2022-03-14,100.06
49,2022-03-13,100.06
50,2022-03-12,100.06
51,2022-03-11,100.06
52,2022-03-10,100.06
53,2022-03-09,100.06
54,2022-03-08,100.06
55,2022-03-07,100.06
56,2022-03-06,100.06
57,2022-03-05,100.06
58,2022-03-04,100.06
59,2022-03-03,100.06
60,2022-03-02,100.06
61,2022-03-01,100.06
62,2022-02-28,100.06
63,2022-02-27,100.06
64,2022-02-26,100.06
65,2022-02-25,100.06
66,2022-02-24,100.06
67,2022-02-23,100.06
68,2022-02-22,100.06
69,2022-02-21,100.06
70,2022-02-20,100.06
71,2022-02-19,100.06
72,2022-02-18,100.06
73,2022-02-17,100.06
74,2022-02-16,100.06
75,2022-02-15,100.06
76,2022-02-14,100.06
77,2022-02-13,100.06
78,2022-02-12,100.06
79,2022-02-11,100.06
80,2022-02-10,100.06
81,2022-02-09,100.06
82,2022-02-08,100.06
83,2022-02-07,100.06
84,2022-02-06,100.06
85,2022-02-05,100.06
86,2022-02-04,100.06
87,2022-02-03,100.06
88,2022-02-02,100.06
89,2022-02-01,100.06
90,2022-01-31,100.06
91,2022-01-30,100.06
92,2022-01-29,100.06
93,2022-01-28,100.06
94,2022-01-27,100.06
95,2022-01-26,100.06
96,2022-01-25,100.06
97,2022-01-24,100.06
98,2022-01-23,100.06
99,2022-01-22,100.06
100,2022-01-21,100.06
101,2022-01-20,100.06
102,2022-01-19,100.06
103,2022-01-18,100.06
104,2022-01-17,100.06
105,2022-01-16,100.06
106,2022-01-15,100.06
107,2022-01-14,100.06
108,2022-01-13,100.06
109,2022-01-12,100.06
110,2022-01-11,100.06
111,2022-01-10,100.06
112,2022-01-09,100.06
