,date,price
0,2022-05-01,111.56
1,2022-04-30,111.56
2,2022-04-29,111.56
3,2022-04-28,111.56
4,2022-04-27,111.56
5,2022-04-26,111.56
6,2022-04-25,111.56
7,2022-04-24,111.56
8,2022-04-23,111.56
9,2022-04-22,111.56
10,2022-04-21,111.56
11,2022-04-20,111.56
12,2022-04-19,111.56
13,2022-04-18,111.56
14,2022-04-17,111.56
15,2022-04-16,111.56
16,2022-04-15,111.56
17,2022-04-14,111.56
18,2022-04-13,111.56
19,2022-04-12,111.56
20,2022-04-11,111.56
21,2022-04-10,111.56
22,2022-04-09,111.56
23,2022-04-08,111.56
24,2022-04-07,111.56
25,2022-04-06,111.56
26,2022-04-05,110.72
27,2022-04-04,109.87
28,2022-04-03,109.45
29,2022-04-02,108.61
30,2022-04-01,107.77
31,2022-03-31,107.77
32,2022-03-30,106.93
33,2022-03-29,106.08
34,2022-03-28,105.24
35,2022-03-27,104.93
36,2022-03-26,104.4
37,2022-03-25,103.59
38,2022-03-24,102.75
39,2022-03-23,102.75
40,2022-03-22,101.9
41,2022-03-21,101.06
42,2022-03-20,101.06
43,2022-03-19,101.06
44,2022-03-18,101.06
45,2022-03-17,101.06
46,2022-03-16,101.06
47,2022-03-15,101.06
48,2022-03-14,101.06
49,2022-03-13,101.06
50,2022-03-12,101.06
51,2022-03-11,101.06
52,2022-03-10,101.06
53,2022-03-09,101.06
54,2022-03-08,101.06
55,2022-03-07,101.06
56,2022-03-06,101.06
57,2022-03-05,101.06
58,2022-03-04,101.06
59,2022-03-03,101.06
60,2022-03-02,101.06
61,2022-03-01,101.06
62,2022-02-28,101.06
63,2022-02-27,101.06
64,2022-02-26,101.06
65,2022-02-25,101.06
66,2022-02-24,101.06
67,2022-02-23,101.06
68,2022-02-22,101.06
69,2022-02-21,101.06
70,2022-02-20,101.06
71,2022-02-19,101.06
72,2022-02-18,101.06
73,2022-02-17,101.06
74,2022-02-16,101.06
75,2022-02-15,101.06
76,2022-02-14,101.06
77,2022-02-13,101.06
78,2022-02-12,101.06
79,2022-02-11,101.06
80,2022-02-10,101.06
81,2022-02-09,101.06
82,2022-02-08,101.06
83,2022-02-07,101.06
84,2022-02-06,101.06
85,2022-02-05,101.06
86,2022-02-04,101.06
87,2022-02-03,101.06
88,2022-02-02,101.06
89,2022-02-01,101.06
90,2022-01-31,101.06
91,2022-01-30,101.06
92,2022-01-29,101.06
93,2022-01-28,101.06
94,2022-01-27,101.06
95,2022-01-26,101.06
96,2022-01-25,101.06
97,2022-01-24,101.06
98,2022-01-23,101.06
99,2022-01-22,101.06
100,2022-01-21,101.06
101,2022-01-20,101.06
102,2022-01-19,101.06
103,2022-01-18,101.06
104,2022-01-17,101.06
105,2022-01-16,101.06
106,2022-01-15,101.06
107,2022-01-14,101.06
108,2022-01-13,101.06
109,2022-01-12,101.06
110,2022-01-11,101.06
111,2022-01-10,101.06
112,2022-01-09,101.06
113,2022-01-08,101.06
114,2022-01-07,101.06
115,2022-01-06,101.06
116,2022-01-05,101.06
117,2022-01-04,101.06
118,2022-01-03,101.06
119,2022-01-02,101.06
120,2022-01-01,101.06
121,2021-12-31,101.06
122,2021-12-30,101.06
123,2021-12-29,101.06
124,2021-12-28,101.06
125,2021-12-27,101.06
126,2021-12-26,101.06
127,2021-12-25,101.06
128,2021-12-24,101.06
129,2021-12-23,101.06
130,2021-12-22,101.06
131,2021-12-21,101.06
132,2021-12-20,101.06
133,2021-12-19,101.06
134,2021-12-18,101.06
135,2021-12-17,101.06
136,2021-12-16,101.06
137,2021-12-15,101.06
138,2021-12-14,101.06
139,2021-12-13,101.06
140,2021-12-12,101.06
141,2021-12-11,101.06
142,2021-12-10,101.06
143,2021-12-09,101.06
144,2021-12-08,101.06
145,2021-12-07,101.06
146,2021-12-06,101.06
147,2021-12-05,101.06
148,2021-12-04,101.06
