,date,price
0,2022-05-01,111.37
1,2022-04-30,111.37
2,2022-04-29,111.37
3,2022-04-28,111.37
4,2022-04-27,111.37
5,2022-04-26,111.37
6,2022-04-25,111.37
7,2022-04-24,111.37
8,2022-04-23,111.37
9,2022-04-22,111.37
10,2022-04-21,111.37
11,2022-04-20,111.37
12,2022-04-19,111.37
13,2022-04-18,111.37
14,2022-04-17,111.37
15,2022-04-16,111.37
16,2022-04-15,111.37
17,2022-04-14,111.37
18,2022-04-13,111.37
19,2022-04-12,111.37
20,2022-04-11,111.37
21,2022-04-10,111.37
22,2022-04-09,111.37
23,2022-04-08,111.37
24,2022-04-07,111.37
25,2022-04-06,111.37
26,2022-04-05,110.53
27,2022-04-04,109.68
28,2022-04-03,109.26
29,2022-04-02,108.42
30,2022-04-01,107.58
31,2022-03-31,107.58
32,2022-03-30,106.74
33,2022-03-29,105.89
34,2022-03-28,105.05
35,2022-03-27,104.74
36,2022-03-26,104.21
37,2022-03-25,103.39
38,2022-03-24,102.54
39,2022-03-23,102.54
40,2022-03-22,101.7
41,2022-03-21,100.86
42,2022-03-20,100.86
43,2022-03-19,100.86
44,2022-03-18,100.86
45,2022-03-17,100.86
46,2022-03-16,100.86
47,2022-03-15,100.86
48,2022-03-14,100.86
49,2022-03-13,100.86
50,2022-03-12,100.86
51,2022-03-11,100.86
52,2022-03-10,100.86
53,2022-03-09,100.86
54,2022-03-08,100.86
55,2022-03-07,100.86
56,2022-03-06,100.86
57,2022-03-05,100.86
58,2022-03-04,100.86
59,2022-03-03,100.86
60,2022-03-02,100.86
61,2022-03-01,100.86
62,2022-02-28,100.86
63,2022-02-27,100.86
64,2022-02-26,100.86
65,2022-02-25,100.86
66,2022-02-24,100.86
67,2022-02-23,100.86
68,2022-02-22,100.86
69,2022-02-21,100.86
70,2022-02-20,100.86
71,2022-02-19,100.86
72,2022-02-18,100.86
73,2022-02-17,100.86
74,2022-02-16,100.86
75,2022-02-15,100.86
76,2022-02-14,100.86
77,2022-02-13,100.86
78,2022-02-12,100.86
79,2022-02-11,100.86
80,2022-02-10,100.86
81,2022-02-09,100.86
82,2022-02-08,100.86
83,2022-02-07,100.86
84,2022-02-06,100.86
85,2022-02-05,100.86
86,2022-02-04,100.86
87,2022-02-03,100.86
88,2022-02-02,100.86
89,2022-02-01,100.86
90,2022-01-31,100.86
91,2022-01-30,100.86
92,2022-01-29,100.86
93,2022-01-28,100.86
94,2022-01-27,100.86
95,2022-01-26,100.86
96,2022-01-25,100.86
97,2022-01-24,100.86
98,2022-01-23,100.86
99,2022-01-22,100.86
100,2022-01-21,100.86
101,2022-01-20,100.86
102,2022-01-19,100.86
103,2022-01-18,100.86
104,2022-01-17,100.86
105,2022-01-16,100.86
106,2022-01-15,100.86
107,2022-01-14,100.86
108,2022-01-13,100.86
109,2022-01-12,100.86
110,2022-01-11,100.86
111,2022-01-10,100.86
112,2022-01-09,100.86
113,2022-01-08,100.86
114,2022-01-07,100.86
115,2022-01-06,100.86
116,2022-01-05,100.86
117,2022-01-04,100.86
118,2022-01-03,100.86
119,2022-01-02,100.86
120,2022-01-01,100.86
121,2021-12-31,100.86
122,2021-12-30,100.86
123,2021-12-29,100.86
124,2021-12-28,100.86
125,2021-12-27,100.86
