,date,price
0,2022-05-01,115.52
1,2022-04-30,115.52
2,2022-04-29,115.52
3,2022-04-28,115.52
4,2022-04-27,115.52
5,2022-04-26,115.52
6,2022-04-25,115.52
7,2022-04-24,115.52
8,2022-04-23,115.52
9,2022-04-22,115.52
10,2022-04-21,115.52
11,2022-04-20,115.52
12,2022-04-19,115.52
13,2022-04-18,115.52
14,2022-04-17,115.52
15,2022-04-16,115.52
16,2022-04-15,115.52
17,2022-04-14,115.52
18,2022-04-13,115.52
19,2022-04-12,115.52
20,2022-04-11,115.52
21,2022-04-10,115.52
22,2022-04-09,115.52
23,2022-04-08,115.52
24,2022-04-07,115.52
25,2022-04-06,115.52
26,2022-04-05,114.64
27,2022-04-04,113.77
28,2022-04-03,113.34
29,2022-04-02,112.46
30,2022-04-01,111.59
31,2022-03-31,111.59
32,2022-03-30,110.72
33,2022-03-29,109.85
34,2022-03-28,108.97
35,2022-03-27,108.65
36,2022-03-26,108.1
37,2022-03-25,107.25
38,2022-03-24,106.37
39,2022-03-23,106.37
40,2022-03-22,105.5
41,2022-03-21,104.63
42,2022-03-20,104.63
43,2022-03-19,104.63
44,2022-03-18,104.63
45,2022-03-17,104.63
46,2022-03-16,104.63
47,2022-03-15,104.63
48,2022-03-14,104.63
49,2022-03-13,104.63
50,2022-03-12,104.63
51,2022-03-11,104.63
52,2022-03-10,104.63
53,2022-03-09,104.63
54,2022-03-08,104.63
55,2022-03-07,104.63
56,2022-03-06,104.63
57,2022-03-05,104.63
58,2022-03-04,104.63
59,2022-03-03,104.63
60,2022-03-02,104.63
61,2022-03-01,104.63
62,2022-02-28,104.63
63,2022-02-27,104.63
64,2022-02-26,104.63
65,2022-02-25,104.63
66,2022-02-24,104.63
67,2022-02-23,104.63
68,2022-02-22,104.63
69,2022-02-21,104.63
70,2022-02-20,104.63
71,2022-02-19,104.63
72,2022-02-18,104.63
73,2022-02-17,104.63
74,2022-02-16,104.63
75,2022-02-15,104.63
76,2022-02-14,104.63
77,2022-02-13,104.63
78,2022-02-12,104.63
79,2022-02-11,104.63
80,2022-02-10,104.63
81,2022-02-09,104.63
82,2022-02-08,104.63
83,2022-02-07,104.63
84,2022-02-06,104.63
85,2022-02-05,104.63
86,2022-02-04,104.63
87,2022-02-03,104.63
88,2022-02-02,104.63
89,2022-02-01,104.63
90,2022-01-31,104.63
91,2022-01-30,104.63
92,2022-01-29,104.63
93,2022-01-28,104.63
94,2022-01-27,104.63
95,2022-01-26,104.63
96,2022-01-25,104.63
97,2022-01-24,104.63
98,2022-01-23,104.63
99,2022-01-22,104.63
100,2022-01-21,104.63
101,2022-01-20,104.63
102,2022-01-19,104.63
103,2022-01-18,104.63
104,2022-01-17,104.63
105,2022-01-16,104.63
106,2022-01-15,104.63
107,2022-01-14,104.63
108,2022-01-13,104.63
109,2022-01-12,104.63
110,2022-01-11,104.63
111,2022-01-10,104.63
112,2022-01-09,104.63
113,2022-01-08,104.63
114,2022-01-07,104.63
115,2022-01-06,104.63
116,2022-01-05,104.63
117,2022-01-04,104.63
118,2022-01-03,104.63
