,date,price
0,2022-05-01,115.05
1,2022-04-30,115.05
2,2022-04-29,115.05
3,2022-04-28,115.05
4,2022-04-27,115.05
5,2022-04-26,115.05
6,2022-04-25,115.05
7,2022-04-24,115.05
8,2022-04-23,115.05
9,2022-04-22,115.05
10,2022-04-21,115.05
11,2022-04-20,115.05
12,2022-04-19,115.05
13,2022-04-18,115.05
14,2022-04-17,115.05
15,2022-04-16,115.05
16,2022-04-15,115.05
17,2022-04-14,115.05
18,2022-04-13,115.05
19,2022-04-12,115.05
20,2022-04-11,115.05
21,2022-04-10,115.05
22,2022-04-09,115.05
23,2022-04-08,115.05
24,2022-04-07,115.05
25,2022-04-06,115.05
26,2022-04-05,114.18
27,2022-04-04,113.31
28,2022-04-03,112.87
29,2022-04-02,112
30,2022-04-01,111.13
31,2022-03-31,111.13
32,2022-03-30,110.25
33,2022-03-29,109.38
34,2022-03-28,108.51
35,2022-03-27,108.18
36,2022-03-26,107.64
37,2022-03-25,106.76
38,2022-03-24,105.89
39,2022-03-23,105.89
40,2022-03-22,105.02
41,2022-03-21,104.15
42,2022-03-20,104.15
43,2022-03-19,104.15
44,2022-03-18,104.15
45,2022-03-17,104.15
46,2022-03-16,104.15
47,2022-03-15,104.15
48,2022-03-14,104.15
49,2022-03-13,104.15
50,2022-03-12,104.15
51,2022-03-11,104.15
52,2022-03-10,104.15
53,2022-03-09,104.15
54,2022-03-08,104.15
55,2022-03-07,104.15
56,2022-03-06,104.15
57,2022-03-05,104.15
58,2022-03-04,104.15
59,2022-03-03,104.15
60,2022-03-02,104.15
61,2022-03-01,104.15
62,2022-02-28,104.15
63,2022-02-27,104.15
64,2022-02-26,104.15
65,2022-02-25,104.15
66,2022-02-24,104.15
67,2022-02-23,104.15
68,2022-02-22,104.15
69,2022-02-21,104.15
70,2022-02-20,104.15
71,2022-02-19,104.15
72,2022-02-18,104.15
73,2022-02-17,104.15
74,2022-02-16,104.15
75,2022-02-15,104.15
76,2022-02-14,104.15
77,2022-02-13,104.15
78,2022-02-12,104.15
79,2022-02-11,104.15
80,2022-02-10,104.15
81,2022-02-09,104.15
82,2022-02-08,104.15
83,2022-02-07,104.15
84,2022-02-06,104.15
85,2022-02-05,104.15
