,date,price
0,2022-05-01,116.28
1,2022-04-30,116.28
2,2022-04-29,116.28
3,2022-04-28,116.28
4,2022-04-27,116.28
5,2022-04-26,116.28
6,2022-04-25,116.28
7,2022-04-24,116.28
8,2022-04-23,116.28
9,2022-04-22,116.28
10,2022-04-21,116.28
11,2022-04-20,116.28
12,2022-04-19,116.28
13,2022-04-18,116.28
14,2022-04-17,116.28
15,2022-04-16,116.28
16,2022-04-15,116.28
17,2022-04-14,116.28
18,2022-04-13,116.28
19,2022-04-12,116.28
20,2022-04-11,116.28
21,2022-04-10,116.28
22,2022-04-09,116.28
23,2022-04-08,116.28
24,2022-04-07,116.28
25,2022-04-06,116.28
26,2022-04-05,115.4
27,2022-04-04,114.53
28,2022-04-03,114.1
29,2022-04-02,113.22
30,2022-04-01,112.35
31,2022-03-31,112.35
32,2022-03-30,111.48
33,2022-03-29,110.61
34,2022-03-28,109.74
35,2022-03-27,109.41
36,2022-03-26,108.86
37,2022-03-25,108.01
38,2022-03-24,107.14
39,2022-03-23,107.14
40,2022-03-22,106.27
41,2022-03-21,105.4
42,2022-03-20,105.4
43,2022-03-19,105.4
44,2022-03-18,105.4
45,2022-03-17,105.4
46,2022-03-16,105.4
47,2022-03-15,105.4
48,2022-03-14,105.4
49,2022-03-13,105.4
50,2022-03-12,105.4
51,2022-03-11,105.4
52,2022-03-10,105.4
53,2022-03-09,105.4
54,2022-03-08,105.4
55,2022-03-07,105.4
56,2022-03-06,105.4
57,2022-03-05,105.4
58,2022-03-04,105.4
59,2022-03-03,105.4
60,2022-03-02,105.4
61,2022-03-01,105.4
62,2022-02-28,105.4
63,2022-02-27,105.4
64,2022-02-26,105.4
65,2022-02-25,105.4
66,2022-02-24,105.4
67,2022-02-23,105.4
68,2022-02-22,105.4
69,2022-02-21,105.4
70,2022-02-20,105.4
71,2022-02-19,105.4
72,2022-02-18,105.4
73,2022-02-17,105.4
74,2022-02-16,105.4
75,2022-02-15,105.4
76,2022-02-14,105.4
77,2022-02-13,105.4
78,2022-02-12,105.4
79,2022-02-11,105.4
80,2022-02-10,105.4
81,2022-02-09,105.4
82,2022-02-08,105.4
83,2022-02-07,105.4
84,2022-02-06,105.4
85,2022-02-05,105.4
86,2022-02-04,105.4
87,2022-02-03,105.4
88,2022-02-02,105.4
89,2022-02-01,105.4
90,2022-01-31,105.4
91,2022-01-30,105.4
92,2022-01-29,105.4
93,2022-01-28,105.4
94,2022-01-27,105.4
95,2022-01-26,105.4
96,2022-01-25,105.4
97,2022-01-24,105.4
98,2022-01-23,105.4
99,2022-01-22,105.4
100,2022-01-21,105.4
101,2022-01-20,105.4
102,2022-01-19,105.4
103,2022-01-18,105.4
104,2022-01-17,105.4
105,2022-01-16,105.4
106,2022-01-15,105.4
107,2022-01-14,105.4
108,2022-01-13,105.4
109,2022-01-12,105.4
110,2022-01-11,105.4
111,2022-01-10,105.4
112,2022-01-09,105.4
113,2022-01-08,105.4
114,2022-01-07,105.4
115,2022-01-06,105.4
116,2022-01-05,105.4
117,2022-01-04,105.4
118,2022-01-03,105.4
119,2022-01-02,105.4
120,2022-01-01,105.4
121,2021-12-31,105.4
122,2021-12-30,105.4
123,2021-12-29,105.4
124,2021-12-28,105.4
125,2021-12-27,105.4
126,2021-12-26,105.4
127,2021-12-25,105.4
128,2021-12-24,105.4
129,2021-12-23,105.4
130,2021-12-22,105.4
131,2021-12-21,105.4
132,2021-12-20,105.4
133,2021-12-19,105.4
134,2021-12-18,105.4
135,2021-12-17,105.4
136,2021-12-16,105.4
137,2021-12-15,105.4
138,2021-12-14,105.4
139,2021-12-13,105.4
140,2021-12-12,105.4
141,2021-12-11,105.4
142,2021-12-10,105.4
143,2021-12-09,105.4
144,2021-12-08,105.4
145,2021-12-07,105.4
146,2021-12-06,105.4
147,2021-12-05,105.4
148,2021-12-04,105.4
149,2021-12-03,105.4
150,2021-12-02,105.4
151,2021-11-30,105.4
152,2021-11-29,105.4
153,2021-11-28,105.4
154,2021-11-27,105.4
155,2021-11-26,105.4
156,2021-11-25,105.4
157,2021-11-24,105.4
158,2021-11-23,105.4
159,2021-11-22,105.4
160,2021-11-21,105.4
161,2021-11-20,105.4
162,2021-11-19,105.4
163,2021-11-18,105.4
164,2021-11-17,105.4
165,2021-11-16,105.4
166,2021-11-15,105.4
167,2021-11-14,105.4
168,2021-11-13,105.4
169,2021-11-12,105.4
170,2021-11-11,105.4
171,2021-11-10,105.4
172,2021-11-09,105.4
173,2021-11-08,105.4
174,2021-11-07,105.4
175,2021-11-06,105.4
176,2021-11-05,105.4
177,2021-11-04,105.4
178,2021-11-03,111.47
179,2021-11-02,111.47
180,2021-11-01,111.1
181,2021-10-31,110.64
182,2021-10-30,110.29
183,2021-10-29,109.94
184,2021-10-28,109.59
185,2021-10-27,109.24
186,2021-10-26,108.89
187,2021-10-25,108.89
188,2021-10-24,108.89
189,2021-10-23,108.54
190,2021-10-22,108.19
191,2021-10-21,107.84
192,2021-10-20,107.49
193,2021-10-19,107.14
194,2021-10-18,107.14
195,2021-10-15,106.44
196,2021-10-14,106.09
197,2021-10-13,105.74
198,2021-10-12,105.74
199,2021-10-11,105.74
200,2021-10-10,105.44
201,2021-10-09,105.14
202,2021-10-08,104.84
203,2021-10-07,104.54
204,2021-10-06,104.24
205,2021-10-05,103.94
206,2021-10-04,103.69
207,2021-10-03,103.69
208,2021-10-02,103.44
209,2021-10-01,103.19
210,2021-09-30,102.95
211,2021-09-29,102.72
212,2021-09-28,102.72
213,2021-09-27,102.53
214,2021-09-26,102.53
215,2021-09-25,102.53
216,2021-09-24,102.53
217,2021-09-23,102.53
218,2021-09-22,102.53
219,2021-09-21,102.53
220,2021-09-20,102.53
221,2021-09-19,102.53
222,2021-09-18,102.53
223,2021-09-17,102.53
224,2021-09-16,102.53
225,2021-09-15,102.53
226,2021-09-14,102.53
227,2021-09-13,102.53
228,2021-09-12,102.53
229,2021-09-11,102.53
230,2021-09-10,102.53
231,2021-09-09,102.53
232,2021-09-08,102.53
233,2021-09-07,102.53
234,2021-09-06,102.53
235,2021-09-05,102.53
236,2021-09-03,102.69
237,2021-09-02,102.69
238,2021-09-01,102.69
239,2021-08-31,102.85
240,2021-08-30,102.85
241,2021-08-29,102.85
242,2021-08-28,102.85
243,2021-08-27,102.85
244,2021-08-26,102.85
245,2021-08-25,102.85
246,2021-08-24,102.85
247,2021-08-23,102.99
248,2021-08-22,102.99
249,2021-08-21,103.1
250,2021-08-20,103.1
251,2021-08-19,103.1
252,2021-08-18,103.12
253,2021-08-17,103.12
254,2021-08-16,103.12
255,2021-08-15,103.12
256,2021-08-14,103.12
257,2021-08-13,103.12
258,2021-08-12,103.12
259,2021-08-11,103.12
260,2021-08-10,103.12
261,2021-08-09,103.12
262,2021-08-08,103.12
263,2021-08-07,103.12
264,2021-08-06,103.12
265,2021-08-05,103.12
266,2021-08-04,103.12
267,2021-08-03,103.12
268,2021-08-02,103.12
269,2021-08-01,103.12
270,2021-07-31,103.12
271,2021-07-30,103.12
272,2021-07-29,103.12
273,2021-07-28,103.12
274,2021-07-27,103.12
275,2021-07-26,103.12
276,2021-07-25,103.12
277,2021-07-24,103.12
278,2021-07-23,103.12
279,2021-07-22,103.12
280,2021-07-21,103.12
281,2021-07-20,103.12
282,2021-07-19,103.12
283,2021-07-18,103.12
284,2021-07-17,103.12
285,2021-07-16,102.82
286,2021-07-15,102.82
287,2021-07-14,102.47
288,2021-07-13,102.47
289,2021-07-12,102.47
290,2021-07-11,102.19
291,2021-07-10,102.19
292,2021-07-09,101.84
293,2021-07-08,101.84
294,2021-07-07,101.48
