,date,price
0,2022-05-01,115.55
1,2022-04-30,115.55
2,2022-04-29,115.55
3,2022-04-28,115.55
4,2022-04-27,115.55
5,2022-04-26,115.55
6,2022-04-25,115.55
7,2022-04-24,115.55
8,2022-04-23,115.55
9,2022-04-22,115.55
10,2022-04-21,115.55
11,2022-04-20,115.55
12,2022-04-19,115.55
13,2022-04-18,115.55
14,2022-04-17,115.55
15,2022-04-16,115.55
16,2022-04-15,115.55
17,2022-04-14,115.55
18,2022-04-13,115.55
19,2022-04-12,115.55
20,2022-04-11,115.55
21,2022-04-10,115.55
22,2022-04-09,115.55
23,2022-04-08,115.55
24,2022-04-07,115.55
25,2022-04-06,115.55
26,2022-04-05,114.68
27,2022-04-04,113.8
28,2022-04-03,113.37
29,2022-04-02,112.5
30,2022-04-01,111.62
31,2022-03-31,111.62
32,2022-03-30,110.75
33,2022-03-29,109.88
34,2022-03-28,109.01
35,2022-03-27,108.68
36,2022-03-26,108.13
37,2022-03-25,107.28
38,2022-03-24,106.41
39,2022-03-23,106.41
40,2022-03-22,105.53
41,2022-03-21,104.66
42,2022-03-20,104.66
43,2022-03-19,104.66
44,2022-03-18,104.66
45,2022-03-17,104.66
46,2022-03-16,104.66
47,2022-03-15,104.66
48,2022-03-14,104.66
49,2022-03-13,104.66
50,2022-03-12,104.66
51,2022-03-11,104.66
52,2022-03-10,104.66
53,2022-03-09,104.66
54,2022-03-08,104.66
55,2022-03-07,104.66
56,2022-03-06,104.66
57,2022-03-05,104.66
58,2022-03-04,104.66
59,2022-03-03,104.66
60,2022-03-02,104.66
61,2022-03-01,104.66
62,2022-02-28,104.66
63,2022-02-27,104.66
64,2022-02-26,104.66
65,2022-02-25,104.66
66,2022-02-24,104.66
67,2022-02-23,104.66
68,2022-02-22,104.66
69,2022-02-21,104.66
70,2022-02-20,104.66
71,2022-02-19,104.66
72,2022-02-18,104.66
73,2022-02-17,104.66
74,2022-02-16,104.66
75,2022-02-15,104.66
76,2022-02-14,104.66
77,2022-02-13,104.66
78,2022-02-12,104.66
79,2022-02-11,104.66
80,2022-02-10,104.66
81,2022-02-09,104.66
82,2022-02-08,104.66
83,2022-02-07,104.66
84,2022-02-06,104.66
85,2022-02-05,104.66
86,2022-02-04,104.66
87,2022-02-03,104.66
88,2022-02-02,104.66
89,2022-02-01,104.66
90,2022-01-31,104.66
91,2022-01-30,104.66
92,2022-01-29,104.66
93,2022-01-28,104.66
94,2022-01-27,104.66
95,2022-01-26,104.66
96,2022-01-25,104.66
97,2022-01-24,104.66
98,2022-01-23,104.66
99,2022-01-22,104.66
100,2022-01-21,104.66
101,2022-01-20,104.66
102,2022-01-19,104.66
103,2022-01-18,104.66
104,2022-01-17,104.66
105,2022-01-16,104.66
106,2022-01-15,104.66
107,2022-01-14,104.66
108,2022-01-13,104.66
109,2022-01-12,104.66
110,2022-01-11,104.66
111,2022-01-10,104.66
112,2022-01-09,104.66
113,2022-01-08,104.66
114,2022-01-07,104.66
115,2022-01-06,104.66
116,2022-01-05,104.66
117,2022-01-04,104.66
118,2022-01-03,104.66
119,2022-01-02,104.66
120,2022-01-01,104.66
121,2021-12-31,104.66
122,2021-12-30,104.66
123,2021-12-29,104.66
124,2021-12-28,104.66
125,2021-12-27,104.66
126,2021-12-26,104.66
127,2021-12-25,104.66
128,2021-12-24,104.66
129,2021-12-23,104.66
130,2021-12-22,104.66
131,2021-12-21,104.66
132,2021-12-20,104.66
133,2021-12-19,104.66
134,2021-12-18,104.66
135,2021-12-17,104.66
136,2021-12-16,104.66
137,2021-12-15,104.66
138,2021-12-14,104.66
139,2021-12-13,104.66
140,2021-12-12,104.66
141,2021-12-11,104.66
142,2021-12-10,104.66
143,2021-12-09,104.66
144,2021-12-08,104.66
145,2021-12-07,104.66
146,2021-12-06,104.66
147,2021-12-05,104.66
148,2021-12-04,104.66
149,2021-12-03,104.66
150,2021-12-02,104.66
151,2021-11-30,104.66
152,2021-11-29,104.66
153,2021-11-28,104.66
154,2021-11-27,104.66
155,2021-11-26,104.66
156,2021-11-25,104.66
157,2021-11-24,104.66
158,2021-11-23,104.66
159,2021-11-22,104.66
160,2021-11-21,104.66
161,2021-11-20,104.66
162,2021-11-19,104.66
163,2021-11-18,104.66
164,2021-11-17,104.66
165,2021-11-16,104.66
166,2021-11-15,104.66
167,2021-11-14,104.66
168,2021-11-13,104.66
169,2021-11-12,104.66
170,2021-11-11,104.66
171,2021-11-10,104.66
172,2021-11-09,104.66
173,2021-11-08,104.66
174,2021-11-07,104.66
175,2021-11-06,104.66
176,2021-11-05,104.66
177,2021-11-04,104.66
178,2021-11-03,110.73
179,2021-11-02,110.73
180,2021-11-01,110.36
181,2021-10-31,109.96
182,2021-10-30,109.61
183,2021-10-29,109.26
184,2021-10-28,108.91
185,2021-10-27,108.56
186,2021-10-26,108.21
187,2021-10-25,108.21
188,2021-10-24,108.21
189,2021-10-23,107.86
190,2021-10-22,107.51
191,2021-10-21,107.16
192,2021-10-20,106.81
193,2021-10-19,106.46
194,2021-10-18,106.46
195,2021-10-15,105.76
196,2021-10-14,105.41
197,2021-10-13,105.06
198,2021-10-12,105.06
199,2021-10-11,105.06
200,2021-10-10,104.76
201,2021-10-09,104.46
202,2021-10-08,104.16
203,2021-10-07,103.86
204,2021-10-06,103.56
205,2021-10-05,103.26
206,2021-10-04,103.01
207,2021-10-03,103.01
208,2021-10-02,102.76
209,2021-10-01,102.51
210,2021-09-30,102.27
211,2021-09-29,102.04
212,2021-09-28,102.04
213,2021-09-27,101.85
214,2021-09-26,101.85
215,2021-09-25,101.85
216,2021-09-24,101.85
217,2021-09-23,101.85
218,2021-09-22,101.85
219,2021-09-21,101.85
220,2021-09-20,101.85
221,2021-09-19,101.85
222,2021-09-18,101.85
223,2021-09-17,101.85
224,2021-09-16,101.85
225,2021-09-15,101.85
226,2021-09-14,101.85
227,2021-09-13,101.85
228,2021-09-12,101.85
229,2021-09-11,101.85
230,2021-09-10,101.85
231,2021-09-09,101.85
232,2021-09-08,101.85
233,2021-09-07,101.85
234,2021-09-06,101.85
235,2021-09-05,101.85
236,2021-09-03,102.01
237,2021-09-02,102.01
238,2021-09-01,102.01
239,2021-08-31,102.17
240,2021-08-30,102.17
241,2021-08-29,102.17
242,2021-08-28,102.17
243,2021-08-27,102.17
244,2021-08-26,102.17
245,2021-08-25,102.17
246,2021-08-24,102.17
247,2021-08-23,102.31
248,2021-08-22,102.31
249,2021-08-21,102.44
250,2021-08-20,102.44
251,2021-08-19,102.44
252,2021-08-18,102.44
253,2021-08-17,102.44
254,2021-08-16,102.44
255,2021-08-15,102.44
256,2021-08-14,102.44
257,2021-08-13,102.44
258,2021-08-12,102.44
259,2021-08-11,102.44
260,2021-08-10,102.44
261,2021-08-09,102.44
262,2021-08-08,102.44
263,2021-08-07,102.44
264,2021-08-06,102.44
265,2021-08-05,102.44
266,2021-08-04,102.44
267,2021-08-03,102.44
268,2021-08-02,102.44
269,2021-08-01,102.44
270,2021-07-31,102.44
271,2021-07-30,102.44
272,2021-07-29,102.44
273,2021-07-28,102.44
274,2021-07-27,102.44
275,2021-07-26,102.44
276,2021-07-25,102.44
277,2021-07-24,102.44
278,2021-07-23,102.44
279,2021-07-22,102.44
280,2021-07-21,102.44
281,2021-07-20,102.44
282,2021-07-19,102.44
283,2021-07-18,102.44
284,2021-07-17,102.44
285,2021-07-16,102.14
286,2021-07-15,102.14
287,2021-07-14,101.79
288,2021-07-13,101.79
289,2021-07-12,101.79
290,2021-07-11,101.51
291,2021-07-10,101.51
292,2021-07-09,101.16
293,2021-07-08,101.16
294,2021-07-07,100.81
295,2021-07-06,100.46
296,2021-07-05,100.46
297,2021-07-04,100.11
298,2021-07-03,99.76
299,2021-07-02,99.76
300,2021-07-01,99.41
301,2021-06-30,99.41
302,2021-06-29,99.41
303,2021-06-28,99.06
304,2021-06-27,99.06
305,2021-06-26,98.71
306,2021-06-25,98.36
307,2021-06-24,98.36
308,2021-06-23,98.1
309,2021-06-22,98.1
310,2021-06-21,97.82
311,2021-06-20,97.82
312,2021-06-19,97.53
313,2021-06-18,97.53
314,2021-06-17,97.26
315,2021-06-16,97.26
316,2021-06-15,97.01
317,2021-06-14,97.01
318,2021-06-13,96.72
319,2021-06-12,96.72
320,2021-06-11,96.45
321,2021-06-10,96.16
322,2021-06-09,96.16
323,2021-06-08,95.91
324,2021-06-07,95.91
325,2021-06-06,95.63
326,2021-06-05,95.36
327,2021-06-04,95.36
328,2021-06-03,95.09
329,2021-06-02,95.09
330,2021-06-01,95.09
331,2021-05-31,94.83
332,2021-05-30,94.54
333,2021-05-29,94.54
334,2021-05-28,94.28
335,2021-05-27,94.28
336,2021-05-26,94.04
337,2021-05-25,94.04
338,2021-05-24,93.81
339,2021-05-23,93.81
340,2021-05-22,93.64
341,2021-05-21,93.64
342,2021-05-20,93.45
343,2021-05-19,93.45
344,2021-05-18,93.45
345,2021-05-17,93.18
346,2021-05-16,93.18
347,2021-05-15,92.94
348,2021-05-14,92.94
349,2021-05-13,92.65
350,2021-05-12,92.65
351,2021-05-11,92.4
352,2021-05-10,92.13
353,2021-05-09,91.87
354,2021-05-08,91.87
355,2021-05-07,91.87
356,2021-05-06,91.59
357,2021-05-05,91.34
358,2021-05-04,91.15
359,2021-05-03,90.94
360,2021-05-02,90.94
361,2021-05-01,90.94
362,2021-04-30,90.94
363,2021-04-29,90.94
364,2021-04-28,90.94
