,date,price
0,2022-05-01,116.33
1,2022-04-30,116.33
2,2022-04-29,116.33
3,2022-04-28,116.33
4,2022-04-27,116.33
5,2022-04-26,116.33
6,2022-04-25,116.33
7,2022-04-24,116.33
8,2022-04-23,116.33
9,2022-04-22,116.33
10,2022-04-21,116.33
11,2022-04-20,116.33
12,2022-04-19,116.33
13,2022-04-18,116.33
14,2022-04-17,116.33
15,2022-04-16,116.33
16,2022-04-15,116.33
17,2022-04-14,116.33
18,2022-04-13,116.33
19,2022-04-12,116.33
20,2022-04-11,116.33
21,2022-04-10,116.33
22,2022-04-09,116.33
23,2022-04-08,116.33
24,2022-04-07,116.33
25,2022-04-06,116.33
26,2022-04-05,115.46
27,2022-04-04,114.59
28,2022-04-03,114.15
29,2022-04-02,113.28
30,2022-04-01,112.41
31,2022-03-31,112.41
32,2022-03-30,111.54
33,2022-03-29,110.67
34,2022-03-28,109.79
35,2022-03-27,109.47
36,2022-03-26,108.92
37,2022-03-25,108.09
38,2022-03-24,107.22
39,2022-03-23,107.22
40,2022-03-22,106.35
41,2022-03-21,105.47
42,2022-03-20,105.47
43,2022-03-19,105.47
44,2022-03-18,105.47
45,2022-03-17,105.47
46,2022-03-16,105.47
47,2022-03-15,105.47
48,2022-03-14,105.47
49,2022-03-13,105.47
50,2022-03-12,105.47
51,2022-03-11,105.47
52,2022-03-10,105.47
53,2022-03-09,105.47
54,2022-03-08,105.47
55,2022-03-07,105.47
56,2022-03-06,105.47
57,2022-03-05,105.47
58,2022-03-04,105.47
59,2022-03-03,105.47
60,2022-03-02,105.47
61,2022-03-01,105.47
62,2022-02-28,105.47
63,2022-02-27,105.47
64,2022-02-26,105.47
65,2022-02-25,105.47
66,2022-02-24,105.47
67,2022-02-23,105.47
68,2022-02-22,105.47
69,2022-02-21,105.47
70,2022-02-20,105.47
71,2022-02-19,105.47
72,2022-02-18,105.47
73,2022-02-17,105.47
74,2022-02-16,105.47
75,2022-02-15,105.47
76,2022-02-14,105.47
77,2022-02-13,105.47
78,2022-02-12,105.47
79,2022-02-11,105.47
80,2022-02-10,105.47
81,2022-02-09,105.47
82,2022-02-08,105.47
83,2022-02-07,105.47
84,2022-02-06,105.47
85,2022-02-05,105.47
86,2022-02-04,105.47
87,2022-02-03,105.47
88,2022-02-02,105.47
89,2022-02-01,105.47
90,2022-01-31,105.47
91,2022-01-30,105.47
92,2022-01-29,105.47
93,2022-01-28,105.47
94,2022-01-27,105.47
95,2022-01-26,105.47
96,2022-01-25,105.47
97,2022-01-24,105.47
98,2022-01-23,105.47
99,2022-01-22,105.47
100,2022-01-21,105.47
101,2022-01-20,105.47
102,2022-01-19,105.47
103,2022-01-18,105.47
104,2022-01-17,105.47
105,2022-01-16,105.47
106,2022-01-15,105.47
107,2022-01-14,105.47
108,2022-01-13,105.47
109,2022-01-12,105.47
110,2022-01-11,105.47
111,2022-01-10,105.47
112,2022-01-09,105.47
113,2022-01-08,105.47
114,2022-01-07,105.47
115,2022-01-06,105.47
116,2022-01-05,105.47
117,2022-01-04,105.47
118,2022-01-03,105.47
119,2022-01-02,105.47
120,2022-01-01,105.47
121,2021-12-31,105.47
122,2021-12-30,105.47
123,2021-12-29,105.47
124,2021-12-28,105.47
125,2021-12-27,105.47
126,2021-12-26,105.47
127,2021-12-25,105.47
128,2021-12-24,105.47
129,2021-12-23,105.47
130,2021-12-22,105.47
131,2021-12-21,105.47
132,2021-12-20,105.47
133,2021-12-19,105.47
134,2021-12-18,105.47
135,2021-12-17,105.47
136,2021-12-16,105.47
137,2021-12-15,105.47
138,2021-12-14,105.47
139,2021-12-13,105.47
140,2021-12-12,105.47
141,2021-12-11,105.47
142,2021-12-10,105.47
143,2021-12-09,105.47
144,2021-12-08,105.47
145,2021-12-07,105.47
146,2021-12-06,105.47
147,2021-12-05,105.47
148,2021-12-04,105.47
149,2021-12-03,105.47
150,2021-12-02,105.47
151,2021-11-30,105.47
152,2021-11-29,105.47
153,2021-11-28,105.47
154,2021-11-27,105.47
155,2021-11-26,105.47
156,2021-11-25,105.47
157,2021-11-24,105.47
158,2021-11-23,105.47
159,2021-11-22,105.47
160,2021-11-21,105.47
161,2021-11-20,105.47
162,2021-11-19,105.47
163,2021-11-18,105.47
164,2021-11-17,105.47
165,2021-11-16,105.47
166,2021-11-15,105.47
167,2021-11-14,105.47
168,2021-11-13,105.47
169,2021-11-12,105.47
170,2021-11-11,105.47
171,2021-11-10,105.47
172,2021-11-09,105.47
173,2021-11-08,105.47
174,2021-11-07,105.47
175,2021-11-06,105.47
176,2021-11-05,105.47
177,2021-11-04,105.47
178,2021-11-03,111.55
179,2021-11-02,111.55
180,2021-11-01,111.18
181,2021-10-31,110.73
182,2021-10-30,110.38
183,2021-10-29,110.03
184,2021-10-28,109.68
185,2021-10-27,109.33
186,2021-10-26,108.98
187,2021-10-25,108.98
188,2021-10-24,108.98
189,2021-10-23,108.63
190,2021-10-22,108.28
191,2021-10-21,107.93
192,2021-10-20,107.58
193,2021-10-19,107.23
194,2021-10-18,107.23
195,2021-10-15,106.53
196,2021-10-14,106.18
197,2021-10-13,105.83
198,2021-10-12,105.83
199,2021-10-11,105.83
200,2021-10-10,105.53
201,2021-10-09,105.23
202,2021-10-08,104.93
203,2021-10-07,104.63
204,2021-10-06,104.33
205,2021-10-05,104.03
206,2021-10-04,103.78
207,2021-10-03,103.78
208,2021-10-02,103.53
209,2021-10-01,103.28
210,2021-09-30,103.04
211,2021-09-29,102.8
212,2021-09-28,102.8
213,2021-09-27,102.62
214,2021-09-26,102.62
215,2021-09-25,102.62
216,2021-09-24,102.62
217,2021-09-23,102.62
218,2021-09-22,102.62
219,2021-09-21,102.62
220,2021-09-20,102.62
221,2021-09-19,102.62
222,2021-09-18,102.62
223,2021-09-17,102.62
224,2021-09-16,102.62
225,2021-09-15,102.62
226,2021-09-14,102.62
227,2021-09-13,102.62
228,2021-09-12,102.62
229,2021-09-11,102.62
230,2021-09-10,102.62
231,2021-09-09,102.62
232,2021-09-08,102.62
233,2021-09-07,102.62
234,2021-09-06,102.62
235,2021-09-05,102.62
236,2021-09-03,102.78
237,2021-09-02,102.78
238,2021-09-01,102.78
239,2021-08-31,102.94
240,2021-08-30,102.94
241,2021-08-29,102.94
242,2021-08-28,102.94
243,2021-08-27,102.94
244,2021-08-26,102.94
245,2021-08-25,102.94
246,2021-08-24,102.94
247,2021-08-23,103.08
248,2021-08-22,103.08
249,2021-08-21,103.14
250,2021-08-20,103.14
251,2021-08-19,103.14
252,2021-08-18,103.14
253,2021-08-17,103.14
254,2021-08-16,103.14
255,2021-08-15,103.14
256,2021-08-14,103.14
257,2021-08-13,103.14
258,2021-08-12,103.14
259,2021-08-11,103.14
260,2021-08-10,103.14
261,2021-08-09,103.14
262,2021-08-08,103.14
263,2021-08-07,103.14
264,2021-08-06,103.14
265,2021-08-05,103.14
266,2021-08-04,103.14
267,2021-08-03,103.14
268,2021-08-02,103.14
269,2021-08-01,103.14
270,2021-07-31,103.14
271,2021-07-30,103.14
272,2021-07-29,103.14
273,2021-07-28,103.14
274,2021-07-27,103.14
275,2021-07-26,103.14
276,2021-07-25,103.14
277,2021-07-24,103.14
278,2021-07-23,103.14
279,2021-07-22,103.14
280,2021-07-21,103.14
281,2021-07-20,103.14
282,2021-07-19,103.14
283,2021-07-18,103.14
284,2021-07-17,103.14
285,2021-07-16,102.84
286,2021-07-15,102.84
287,2021-07-14,102.49
288,2021-07-13,102.49
289,2021-07-12,102.49
290,2021-07-11,102.21
291,2021-07-10,102.21
292,2021-07-09,101.86
293,2021-07-08,101.86
294,2021-07-07,101.51
295,2021-07-06,101.16
296,2021-07-05,101.16
297,2021-07-04,100.81
298,2021-07-03,100.46
299,2021-07-02,100.46
300,2021-07-01,100.11
301,2021-06-30,100.11
302,2021-06-29,100.11
303,2021-06-28,99.76
304,2021-06-27,99.76
305,2021-06-26,99.41
306,2021-06-25,99.06
307,2021-06-24,99.06
308,2021-06-23,98.8
309,2021-06-22,98.8
310,2021-06-21,98.52
311,2021-06-20,98.52
312,2021-06-19,98.23
313,2021-06-18,98.23
314,2021-06-17,97.96
315,2021-06-16,97.96
316,2021-06-15,97.71
317,2021-06-14,97.71
318,2021-06-13,97.42
319,2021-06-12,97.42
320,2021-06-11,97.15
321,2021-06-10,96.86
322,2021-06-09,96.86
323,2021-06-08,96.61
324,2021-06-07,96.61
325,2021-06-06,96.33
326,2021-06-05,96.06
327,2021-06-04,96.06
328,2021-06-03,95.79
329,2021-06-02,95.79
330,2021-06-01,95.79
331,2021-05-31,95.53
332,2021-05-30,95.24
333,2021-05-29,95.24
334,2021-05-28,94.98
335,2021-05-27,94.98
336,2021-05-26,94.74
337,2021-05-25,94.74
338,2021-05-24,94.51
339,2021-05-23,94.51
340,2021-05-22,94.34
341,2021-05-21,94.34
342,2021-05-20,94.15
343,2021-05-19,94.15
344,2021-05-18,94.15
345,2021-05-17,93.88
346,2021-05-16,93.88
347,2021-05-15,93.64
348,2021-05-14,93.64
349,2021-05-13,93.35
350,2021-05-12,93.35
351,2021-05-11,93.09
352,2021-05-10,92.82
353,2021-05-09,92.56
354,2021-05-08,92.56
355,2021-05-07,92.56
356,2021-05-06,92.28
357,2021-05-05,92.03
358,2021-05-04,91.84
359,2021-05-03,91.58
360,2021-05-02,91.58
361,2021-05-01,91.58
362,2021-04-30,91.58
363,2021-04-29,91.58
364,2021-04-28,91.58
