,date,price
0,2022-05-01,102.16
1,2022-04-30,102.16
2,2022-04-29,102.16
3,2022-04-28,102.16
4,2022-04-27,102.16
5,2022-04-26,102.16
6,2022-04-25,102.16
7,2022-04-24,102.16
8,2022-04-23,102.16
9,2022-04-22,102.16
10,2022-04-21,102.16
11,2022-04-20,102.16
12,2022-04-19,102.16
13,2022-04-18,102.16
14,2022-04-17,102.16
15,2022-04-16,102.16
16,2022-04-15,102.16
17,2022-04-14,102.16
18,2022-04-13,102.16
19,2022-04-12,102.16
20,2022-04-11,102.16
21,2022-04-10,102.16
22,2022-04-09,102.16
23,2022-04-08,102.16
24,2022-04-07,102.16
25,2022-04-06,102.16
26,2022-04-05,101.39
27,2022-04-04,100.62
28,2022-04-03,100.23
29,2022-04-02,99.46
30,2022-04-01,98.68
31,2022-03-31,98.68
32,2022-03-30,97.91
33,2022-03-29,97.14
34,2022-03-28,96.36
35,2022-03-27,96.07
36,2022-03-26,95.59
37,2022-03-25,94.82
38,2022-03-24,94.05
39,2022-03-23,94.05
40,2022-03-22,93.28
41,2022-03-21,92.5
42,2022-03-20,92.5
43,2022-03-19,92.5
44,2022-03-18,92.5
45,2022-03-17,92.5
46,2022-03-16,92.5
47,2022-03-15,92.5
48,2022-03-14,92.5
49,2022-03-13,92.5
50,2022-03-12,92.5
51,2022-03-11,92.5
52,2022-03-10,92.5
53,2022-03-09,92.5
54,2022-03-08,92.5
55,2022-03-07,92.5
56,2022-03-06,92.5
57,2022-03-05,92.5
58,2022-03-04,92.5
59,2022-03-03,92.5
60,2022-03-02,92.5
61,2022-03-01,92.5
62,2022-02-28,92.5
63,2022-02-27,92.5
64,2022-02-26,92.5
65,2022-02-25,92.5
66,2022-02-24,92.5
67,2022-02-23,92.5
68,2022-02-22,92.5
69,2022-02-21,92.5
70,2022-02-20,92.5
71,2022-02-19,92.5
72,2022-02-18,92.5
73,2022-02-17,92.5
74,2022-02-16,92.5
75,2022-02-15,92.5
76,2022-02-14,92.5
77,2022-02-13,92.5
78,2022-02-12,92.5
79,2022-02-11,92.5
80,2022-02-10,92.5
81,2022-02-09,92.5
82,2022-02-08,92.5
83,2022-02-07,92.5
84,2022-02-06,92.5
85,2022-02-05,92.5
86,2022-02-04,92.5
87,2022-02-03,92.5
88,2022-02-02,92.5
89,2022-02-01,92.5
90,2022-01-31,92.5
91,2022-01-30,92.5
92,2022-01-29,92.5
