,date,price
0,2022-05-01,117.84
1,2022-04-30,117.84
2,2022-04-29,117.84
3,2022-04-28,117.84
4,2022-04-27,117.84
5,2022-04-26,117.84
6,2022-04-25,117.84
7,2022-04-24,117.84
8,2022-04-23,117.84
9,2022-04-22,117.84
10,2022-04-21,117.84
11,2022-04-20,117.84
12,2022-04-19,117.84
13,2022-04-18,117.84
14,2022-04-17,117.84
15,2022-04-16,117.84
16,2022-04-15,117.84
17,2022-04-14,117.84
18,2022-04-13,117.84
19,2022-04-12,117.84
20,2022-04-11,117.84
21,2022-04-10,117.84
22,2022-04-09,117.84
23,2022-04-08,117.84
24,2022-04-07,117.84
25,2022-04-06,117.84
26,2022-04-05,116.97
27,2022-04-04,116.09
28,2022-04-03,115.66
29,2022-04-02,114.78
30,2022-04-01,113.91
31,2022-03-31,113.91
32,2022-03-30,113.03
33,2022-03-29,112.16
34,2022-03-28,111.29
35,2022-03-27,110.96
36,2022-03-26,110.41
37,2022-03-25,109.54
38,2022-03-24,108.67
39,2022-03-23,108.67
40,2022-03-22,107.79
41,2022-03-21,106.92
42,2022-03-20,106.92
43,2022-03-19,106.92
44,2022-03-18,106.92
45,2022-03-17,106.92
46,2022-03-16,106.92
47,2022-03-15,106.92
48,2022-03-14,106.92
49,2022-03-13,106.92
50,2022-03-12,106.92
51,2022-03-11,106.92
52,2022-03-10,106.92
53,2022-03-09,106.92
54,2022-03-08,106.92
55,2022-03-07,106.92
56,2022-03-06,106.92
57,2022-03-05,106.92
58,2022-03-04,106.92
59,2022-03-03,106.92
60,2022-03-02,106.92
61,2022-03-01,106.92
62,2022-02-28,106.92
63,2022-02-27,106.92
64,2022-02-26,106.92
65,2022-02-25,106.92
66,2022-02-24,106.92
67,2022-02-23,106.92
68,2022-02-22,106.92
69,2022-02-21,106.92
70,2022-02-20,106.92
71,2022-02-19,106.92
72,2022-02-18,106.92
73,2022-02-17,106.92
74,2022-02-16,106.92
75,2022-02-15,106.92
76,2022-02-14,106.92
77,2022-02-13,106.92
78,2022-02-12,106.92
79,2022-02-11,106.92
80,2022-02-10,106.92
81,2022-02-09,106.92
82,2022-02-08,106.92
83,2022-02-07,106.92
84,2022-02-06,106.92
85,2022-02-05,106.92
86,2022-02-04,106.92
87,2022-02-03,106.92
88,2022-02-02,106.92
89,2022-02-01,106.92
90,2022-01-31,106.92
91,2022-01-30,106.92
92,2022-01-29,106.92
93,2022-01-28,106.92
94,2022-01-27,106.92
95,2022-01-26,106.92
96,2022-01-25,106.92
97,2022-01-24,106.92
98,2022-01-23,106.92
99,2022-01-22,106.92
100,2022-01-21,106.92
101,2022-01-20,106.92
102,2022-01-19,106.92
103,2022-01-18,106.92
104,2022-01-17,106.92
105,2022-01-16,106.92
106,2022-01-15,106.92
107,2022-01-14,106.92
108,2022-01-13,106.92
109,2022-01-12,106.92
110,2022-01-11,106.92
111,2022-01-10,106.92
112,2022-01-09,106.92
113,2022-01-08,106.92
114,2022-01-07,106.92
115,2022-01-06,106.92
116,2022-01-05,106.92
117,2022-01-04,106.92
118,2022-01-03,106.92
119,2022-01-02,106.92
120,2022-01-01,106.92
121,2021-12-31,106.92
122,2021-12-30,106.92
123,2021-12-29,106.92
124,2021-12-28,106.92
125,2021-12-27,106.92
126,2021-12-26,106.92
127,2021-12-25,106.92
128,2021-12-24,106.92
129,2021-12-23,106.92
130,2021-12-22,106.92
131,2021-12-21,106.92
132,2021-12-20,106.92
133,2021-12-19,106.92
134,2021-12-18,106.92
135,2021-12-17,106.92
136,2021-12-16,106.92
137,2021-12-15,106.92
138,2021-12-14,106.92
139,2021-12-13,106.92
140,2021-12-12,106.92
141,2021-12-11,106.92
142,2021-12-10,106.92
