,date,price
0,2022-05-01,118.68
1,2022-04-30,118.68
2,2022-04-29,118.68
3,2022-04-28,118.68
4,2022-04-27,118.68
5,2022-04-26,118.68
6,2022-04-25,118.68
7,2022-04-24,118.68
8,2022-04-23,118.68
9,2022-04-22,118.68
10,2022-04-21,118.68
11,2022-04-20,118.68
12,2022-04-19,118.68
13,2022-04-18,118.68
14,2022-04-17,118.68
15,2022-04-16,118.68
16,2022-04-15,118.68
17,2022-04-14,118.68
18,2022-04-13,118.68
19,2022-04-12,118.68
20,2022-04-11,118.68
21,2022-04-10,118.68
22,2022-04-09,118.68
23,2022-04-08,118.68
24,2022-04-07,118.68
25,2022-04-06,118.68
26,2022-04-05,117.8
27,2022-04-04,116.93
28,2022-04-03,116.49
29,2022-04-02,115.62
30,2022-04-01,114.74
31,2022-03-31,114.74
32,2022-03-30,113.87
33,2022-03-29,113
34,2022-03-28,112.12
35,2022-03-27,111.8
36,2022-03-26,111.25
37,2022-03-25,110.4
38,2022-03-24,109.53
39,2022-03-23,109.53
40,2022-03-22,108.65
41,2022-03-21,107.78
42,2022-03-20,107.78
43,2022-03-19,107.78
44,2022-03-18,107.78
45,2022-03-17,107.78
46,2022-03-16,107.78
47,2022-03-15,107.78
48,2022-03-14,107.78
49,2022-03-13,107.78
50,2022-03-12,107.78
51,2022-03-11,107.78
52,2022-03-10,107.78
53,2022-03-09,107.78
54,2022-03-08,107.78
55,2022-03-07,107.78
56,2022-03-06,107.78
57,2022-03-05,107.78
58,2022-03-04,107.78
59,2022-03-03,107.78
60,2022-03-02,107.78
61,2022-03-01,107.78
62,2022-02-28,107.78
63,2022-02-27,107.78
64,2022-02-26,107.78
65,2022-02-25,107.78
66,2022-02-24,107.78
67,2022-02-23,107.78
68,2022-02-22,107.78
69,2022-02-21,107.78
70,2022-02-20,107.78
71,2022-02-19,107.78
72,2022-02-18,107.78
73,2022-02-17,107.78
74,2022-02-16,107.78
75,2022-02-15,107.78
76,2022-02-14,107.78
77,2022-02-13,107.78
78,2022-02-12,107.78
79,2022-02-11,107.78
80,2022-02-10,107.78
81,2022-02-09,107.78
82,2022-02-08,107.78
83,2022-02-07,107.78
84,2022-02-06,107.78
85,2022-02-05,107.78
86,2022-02-04,107.78
87,2022-02-03,107.78
88,2022-02-02,107.78
89,2022-02-01,107.78
90,2022-01-31,107.78
91,2022-01-30,107.78
92,2022-01-29,107.78
93,2022-01-28,107.78
94,2022-01-27,107.78
95,2022-01-26,107.78
96,2022-01-25,107.78
97,2022-01-24,107.78
98,2022-01-23,107.78
99,2022-01-22,107.78
100,2022-01-21,107.78
101,2022-01-20,107.78
102,2022-01-19,107.78
103,2022-01-18,107.78
104,2022-01-17,107.78
105,2022-01-16,107.78
106,2022-01-15,107.78
107,2022-01-14,107.78
108,2022-01-13,107.78
109,2022-01-12,107.78
110,2022-01-11,107.78
111,2022-01-10,107.78
112,2022-01-09,107.78
113,2022-01-08,107.78
114,2022-01-07,107.78
115,2022-01-06,107.78
116,2022-01-05,107.78
117,2022-01-04,107.78
118,2022-01-03,107.78
119,2022-01-02,107.78
120,2022-01-01,107.78
121,2021-12-31,107.78
122,2021-12-30,107.78
123,2021-12-29,107.78
124,2021-12-28,107.78
125,2021-12-27,107.78
126,2021-12-26,107.78
127,2021-12-25,107.78
128,2021-12-24,107.78
129,2021-12-23,107.78
130,2021-12-22,107.78
131,2021-12-21,107.78
132,2021-12-20,107.78
133,2021-12-19,107.78
134,2021-12-18,107.78
135,2021-12-17,107.78
136,2021-12-16,107.78
137,2021-12-15,107.78
138,2021-12-14,107.78
139,2021-12-13,107.78
140,2021-12-12,107.78
141,2021-12-11,107.78
142,2021-12-10,107.78
143,2021-12-09,107.78
144,2021-12-08,107.78
145,2021-12-07,107.78
146,2021-12-06,107.78
147,2021-12-05,107.78
148,2021-12-04,107.78
149,2021-12-03,107.78
150,2021-12-02,107.78
151,2021-11-30,107.78
152,2021-11-29,107.78
153,2021-11-28,107.78
154,2021-11-27,107.78
155,2021-11-26,107.78
156,2021-11-25,107.78
157,2021-11-24,107.78
158,2021-11-23,107.78
159,2021-11-22,107.78
160,2021-11-21,107.78
161,2021-11-20,107.78
162,2021-11-19,107.78
163,2021-11-18,107.78
164,2021-11-17,107.78
165,2021-11-16,107.78
166,2021-11-15,107.78
167,2021-11-14,107.78
168,2021-11-13,107.78
169,2021-11-12,107.78
170,2021-11-11,107.78
171,2021-11-10,107.78
172,2021-11-09,107.78
173,2021-11-08,107.78
174,2021-11-07,107.78
175,2021-11-06,107.78
176,2021-11-05,107.78
177,2021-11-04,113.12
178,2021-11-03,119.4
179,2021-11-02,119.4
180,2021-11-01,119.02
181,2021-10-31,118.59
182,2021-10-30,118.22
183,2021-10-29,117.86
184,2021-10-28,117.5
185,2021-10-27,117.14
186,2021-10-26,116.78
187,2021-10-25,116.78
188,2021-10-24,116.78
189,2021-10-23,116.42
190,2021-10-22,116.05
191,2021-10-21,115.69
192,2021-10-20,115.33
193,2021-10-19,114.97
194,2021-10-18,114.97
195,2021-10-15,114.24
196,2021-10-14,113.88
197,2021-10-13,113.52
198,2021-10-12,113.52
199,2021-10-11,113.52
200,2021-10-10,113.21
201,2021-10-08,112.59
202,2021-10-07,112.28
203,2021-10-06,111.97
204,2021-10-05,111.66
205,2021-10-04,111.4
206,2021-10-03,111.4
207,2021-10-02,111.14
208,2021-10-01,110.88
209,2021-09-30,110.64
210,2021-09-29,110.4
211,2021-09-28,110.4
212,2021-09-27,110.2
213,2021-09-26,110.2
214,2021-09-25,110.2
215,2021-09-24,110.2
216,2021-09-23,110.2
217,2021-09-22,110.2
218,2021-09-21,110.2
219,2021-09-20,110.2
220,2021-09-19,110.2
221,2021-09-18,110.2
222,2021-09-17,110.2
223,2021-09-16,110.2
224,2021-09-15,110.2
225,2021-09-14,110.2
226,2021-09-13,110.2
227,2021-09-12,110.2
228,2021-09-11,110.2
229,2021-09-10,110.2
230,2021-09-09,110.2
231,2021-09-08,110.2
232,2021-09-07,110.2
233,2021-09-06,110.2
234,2021-09-05,110.2
235,2021-09-03,110.37
236,2021-09-02,110.37
237,2021-09-01,110.37
238,2021-08-31,110.53
239,2021-08-30,110.53
240,2021-08-29,110.53
241,2021-08-28,110.53
242,2021-08-27,110.53
243,2021-08-26,110.53
244,2021-08-25,110.53
245,2021-08-24,110.53
246,2021-08-23,110.68
247,2021-08-22,110.68
248,2021-08-21,110.79
249,2021-08-20,110.79
250,2021-08-19,110.79
251,2021-08-18,110.78
252,2021-08-17,110.78
253,2021-08-16,110.78
254,2021-08-15,110.78
255,2021-08-14,110.78
256,2021-08-13,110.78
257,2021-08-12,110.78
