,date,price
0,2022-05-01,118.44
1,2022-04-30,118.44
2,2022-04-29,118.44
3,2022-04-28,118.44
4,2022-04-27,118.44
5,2022-04-26,118.44
6,2022-04-25,118.44
7,2022-04-24,118.44
8,2022-04-23,118.44
9,2022-04-22,118.44
10,2022-04-21,118.44
11,2022-04-20,118.44
12,2022-04-19,118.44
13,2022-04-18,118.44
14,2022-04-17,118.44
15,2022-04-16,118.44
16,2022-04-15,118.44
17,2022-04-14,118.44
18,2022-04-13,118.44
19,2022-04-12,118.44
20,2022-04-11,118.44
21,2022-04-10,118.44
22,2022-04-09,118.44
23,2022-04-08,118.44
24,2022-04-07,118.44
25,2022-04-06,118.44
26,2022-04-05,117.57
27,2022-04-04,116.7
28,2022-04-03,116.26
29,2022-04-02,115.39
30,2022-04-01,114.51
31,2022-03-31,114.51
32,2022-03-30,113.64
33,2022-03-29,112.76
34,2022-03-28,111.89
35,2022-03-27,111.56
36,2022-03-26,111.02
37,2022-03-25,110.16
38,2022-03-24,109.28
39,2022-03-23,109.28
40,2022-03-22,108.41
41,2022-03-21,107.52
42,2022-03-20,107.52
43,2022-03-19,107.52
44,2022-03-18,107.52
45,2022-03-17,107.52
46,2022-03-16,107.52
47,2022-03-15,107.52
48,2022-03-14,107.52
49,2022-03-13,107.52
50,2022-03-12,107.52
51,2022-03-11,107.52
52,2022-03-10,107.52
53,2022-03-09,107.52
54,2022-03-08,107.52
55,2022-03-07,107.52
56,2022-03-06,107.52
57,2022-03-05,107.52
58,2022-03-04,107.52
59,2022-03-03,107.52
60,2022-03-02,107.52
61,2022-03-01,107.52
62,2022-02-28,107.52
63,2022-02-27,107.52
64,2022-02-26,107.52
65,2022-02-25,107.52
66,2022-02-24,107.52
67,2022-02-23,107.52
68,2022-02-22,107.52
69,2022-02-21,107.52
70,2022-02-20,107.52
71,2022-02-19,107.52
72,2022-02-18,107.52
73,2022-02-17,107.52
74,2022-02-16,107.52
75,2022-02-15,107.52
76,2022-02-14,107.52
77,2022-02-13,107.52
78,2022-02-12,107.52
79,2022-02-11,107.52
80,2022-02-10,107.52
81,2022-02-09,107.52
82,2022-02-08,107.52
83,2022-02-07,107.52
84,2022-02-06,107.52
85,2022-02-05,107.52
86,2022-02-04,107.52
87,2022-02-03,107.52
88,2022-02-02,107.52
89,2022-02-01,107.52
90,2022-01-31,107.52
91,2022-01-30,107.52
92,2022-01-29,107.52
93,2022-01-28,107.52
94,2022-01-27,107.52
95,2022-01-26,107.52
96,2022-01-25,107.52
97,2022-01-24,107.52
98,2022-01-23,107.52
99,2022-01-22,107.52
100,2022-01-21,107.52
101,2022-01-20,107.52
102,2022-01-19,107.52
103,2022-01-18,107.52
104,2022-01-17,107.52
105,2022-01-16,107.52
106,2022-01-15,107.52
107,2022-01-14,107.52
108,2022-01-13,107.52
109,2022-01-12,107.52
110,2022-01-11,107.52
111,2022-01-10,107.52
112,2022-01-09,107.52
113,2022-01-08,107.52
114,2022-01-07,107.52
115,2022-01-06,107.52
116,2022-01-05,107.52
117,2022-01-04,107.52
118,2022-01-03,107.52
119,2022-01-02,107.52
120,2022-01-01,107.52
121,2021-12-31,107.52
122,2021-12-30,107.52
