,date,price
0,2022-05-01,118.32
1,2022-04-30,118.32
2,2022-04-29,118.32
3,2022-04-28,118.32
4,2022-04-27,118.32
5,2022-04-26,118.32
6,2022-04-25,118.32
7,2022-04-24,118.32
8,2022-04-23,118.32
9,2022-04-22,118.32
10,2022-04-21,118.32
11,2022-04-20,118.32
12,2022-04-19,118.32
13,2022-04-18,118.32
14,2022-04-17,118.32
15,2022-04-16,118.32
16,2022-04-15,118.32
17,2022-04-14,118.32
18,2022-04-13,118.32
19,2022-04-12,118.32
20,2022-04-11,118.32
21,2022-04-10,118.32
22,2022-04-09,118.32
23,2022-04-08,118.32
24,2022-04-07,118.32
25,2022-04-06,118.32
26,2022-04-05,117.44
27,2022-04-04,116.57
28,2022-04-03,116.13
29,2022-04-02,115.26
30,2022-04-01,114.39
31,2022-03-31,114.39
32,2022-03-30,113.51
33,2022-03-29,112.64
34,2022-03-28,111.76
35,2022-03-27,111.44
36,2022-03-26,110.89
37,2022-03-25,110.03
38,2022-03-24,109.16
39,2022-03-23,109.16
40,2022-03-22,108.29
41,2022-03-21,107.41
42,2022-03-20,107.41
43,2022-03-19,107.41
44,2022-03-18,107.41
45,2022-03-17,107.41
46,2022-03-16,107.41
47,2022-03-15,107.41
48,2022-03-14,107.41
49,2022-03-13,107.41
50,2022-03-12,107.41
51,2022-03-11,107.41
52,2022-03-10,107.41
53,2022-03-09,107.41
54,2022-03-08,107.41
55,2022-03-07,107.41
56,2022-03-06,107.41
57,2022-03-05,107.41
58,2022-03-04,107.41
59,2022-03-03,107.41
60,2022-03-02,107.41
61,2022-03-01,107.41
62,2022-02-28,107.41
63,2022-02-27,107.41
64,2022-02-26,107.41
65,2022-02-25,107.41
66,2022-02-24,107.41
67,2022-02-23,107.41
68,2022-02-22,107.41
69,2022-02-21,107.41
70,2022-02-20,107.41
71,2022-02-19,107.41
72,2022-02-18,107.41
73,2022-02-17,107.41
74,2022-02-16,107.41
75,2022-02-15,107.41
76,2022-02-14,107.41
77,2022-02-13,107.41
78,2022-02-12,107.41
79,2022-02-11,107.41
80,2022-02-10,107.41
81,2022-02-09,107.41
82,2022-02-08,107.41
83,2022-02-07,107.41
84,2022-02-06,107.41
85,2022-02-05,107.41
86,2022-02-04,107.41
87,2022-02-03,107.41
88,2022-02-02,107.41
89,2022-02-01,107.41
90,2022-01-31,107.41
91,2022-01-30,107.41
92,2022-01-29,107.41
93,2022-01-28,107.41
94,2022-01-27,107.41
95,2022-01-26,107.41
96,2022-01-25,107.41
97,2022-01-24,107.41
98,2022-01-23,107.41
99,2022-01-22,107.41
100,2022-01-21,107.41
101,2022-01-20,107.41
102,2022-01-19,107.41
103,2022-01-18,107.41
104,2022-01-17,107.41
105,2022-01-16,107.41
106,2022-01-15,107.41
107,2022-01-14,107.41
108,2022-01-13,107.41
109,2022-01-12,107.41
110,2022-01-11,107.41
111,2022-01-10,107.41
112,2022-01-09,107.41
113,2022-01-08,107.41
114,2022-01-07,107.41
115,2022-01-06,107.41
116,2022-01-05,107.41
117,2022-01-04,107.41
118,2022-01-03,107.41
119,2022-01-02,107.41
120,2022-01-01,107.41
121,2021-12-31,107.41
122,2021-12-30,107.41
123,2021-12-29,107.41
124,2021-12-28,107.41
125,2021-12-27,107.41
126,2021-12-26,107.41
127,2021-12-25,107.41
128,2021-12-24,107.41
129,2021-12-23,107.41
130,2021-12-22,107.41
131,2021-12-21,107.41
132,2021-12-20,107.41
133,2021-12-19,107.41
134,2021-12-18,107.41
135,2021-12-17,107.41
136,2021-12-16,107.41
137,2021-12-15,107.41
138,2021-12-14,107.41
139,2021-12-13,107.41
140,2021-12-12,107.41
141,2021-12-11,107.41
142,2021-12-10,107.41
143,2021-12-09,107.41
144,2021-12-08,107.41
145,2021-12-07,107.41
146,2021-12-06,107.41
147,2021-12-05,107.41
148,2021-12-04,107.41
149,2021-12-03,107.41
150,2021-12-02,107.41
151,2021-11-30,107.41
152,2021-11-29,107.41
153,2021-11-28,107.41
154,2021-11-27,107.41
155,2021-11-26,107.41
156,2021-11-25,107.41
157,2021-11-24,107.41
158,2021-11-23,107.41
159,2021-11-22,107.41
160,2021-11-21,107.41
161,2021-11-20,107.41
162,2021-11-19,107.41
163,2021-11-18,107.41
164,2021-11-17,107.41
165,2021-11-16,107.41
166,2021-11-15,107.41
167,2021-11-14,107.41
168,2021-11-13,107.41
169,2021-11-12,107.41
170,2021-11-11,107.41
171,2021-11-10,107.41
172,2021-11-09,107.41
173,2021-11-08,107.41
174,2021-11-07,107.41
175,2021-11-06,107.41
176,2021-11-05,107.41
177,2021-11-04,112.74
178,2021-11-03,119.02
179,2021-11-02,119.02
180,2021-11-01,118.64
181,2021-10-31,118.22
182,2021-10-30,117.86
183,2021-10-29,117.5
184,2021-10-28,117.14
185,2021-10-27,116.77
186,2021-10-26,116.41
187,2021-10-25,116.41
188,2021-10-24,116.41
189,2021-10-23,116.05
190,2021-10-22,115.69
191,2021-10-21,115.33
192,2021-10-20,114.97
193,2021-10-19,114.6
194,2021-10-18,114.6
195,2021-10-15,113.88
196,2021-10-14,113.52
197,2021-10-13,113.16
198,2021-10-12,113.16
199,2021-10-11,113.16
200,2021-10-10,112.85
201,2021-10-08,112.23
202,2021-10-07,111.92
203,2021-10-06,111.61
204,2021-10-05,111.3
205,2021-10-04,111.04
206,2021-10-03,111.04
207,2021-10-02,110.78
208,2021-10-01,110.52
209,2021-09-30,110.28
210,2021-09-29,110.03
211,2021-09-28,110.03
212,2021-09-27,109.84
213,2021-09-26,109.84
214,2021-09-25,109.84
215,2021-09-24,109.84
216,2021-09-23,109.84
217,2021-09-22,109.84
218,2021-09-21,109.84
219,2021-09-20,109.84
220,2021-09-19,109.84
221,2021-09-18,109.84
222,2021-09-17,109.84
223,2021-09-16,109.84
224,2021-09-15,109.84
225,2021-09-14,109.84
226,2021-09-13,109.84
227,2021-09-12,109.84
228,2021-09-11,109.84
229,2021-09-10,109.84
230,2021-09-09,109.84
231,2021-09-08,109.84
232,2021-09-07,109.84
233,2021-09-06,109.84
234,2021-09-05,109.84
235,2021-09-03,110
236,2021-09-02,110
237,2021-09-01,110
238,2021-08-31,110.17
239,2021-08-30,110.17
240,2021-08-29,110.17
241,2021-08-28,110.17
242,2021-08-27,110.17
243,2021-08-26,110.17
244,2021-08-25,110.17
245,2021-08-24,110.17
246,2021-08-23,110.32
247,2021-08-22,110.32
248,2021-08-21,110.44
249,2021-08-20,110.44
250,2021-08-19,110.44
251,2021-08-18,110.44
252,2021-08-17,110.44
253,2021-08-16,110.44
254,2021-08-15,110.44
255,2021-08-14,110.44
256,2021-08-13,110.44
257,2021-08-12,110.44
258,2021-08-11,110.44
259,2021-08-10,110.44
260,2021-08-09,110.44
261,2021-08-08,110.44
262,2021-08-07,110.44
263,2021-08-06,110.44
264,2021-08-05,110.44
265,2021-08-04,110.44
266,2021-08-03,110.44
267,2021-08-02,110.44
268,2021-08-01,110.44
269,2021-07-31,110.44
270,2021-07-30,110.44
271,2021-07-29,110.44
272,2021-07-28,110.44
273,2021-07-27,110.44
274,2021-07-26,110.44
275,2021-07-25,110.44
276,2021-07-24,110.44
277,2021-07-23,110.44
278,2021-07-22,110.44
279,2021-07-21,110.44
280,2021-07-20,110.44
281,2021-07-19,110.44
282,2021-07-18,110.44
283,2021-07-17,110.44
284,2021-07-16,110.13
285,2021-07-15,110.13
286,2021-07-14,109.77
287,2021-07-13,109.77
288,2021-07-12,109.77
289,2021-07-11,109.48
290,2021-07-10,109.48
291,2021-07-09,109.12
292,2021-07-08,109.12
293,2021-07-07,108.76
294,2021-07-06,108.4
295,2021-07-05,108.4
296,2021-07-04,108.03
297,2021-07-03,107.67
298,2021-07-02,107.67
299,2021-07-01,107.31
300,2021-06-30,107.31
301,2021-06-29,107.31
302,2021-06-28,106.95
303,2021-06-27,106.95
304,2021-06-26,106.59
305,2021-06-25,106.22
306,2021-06-24,106.22
307,2021-06-23,105.96
308,2021-06-22,105.96
309,2021-06-21,105.67
310,2021-06-20,105.67
311,2021-06-19,105.37
312,2021-06-18,105.37
313,2021-06-17,105.09
314,2021-06-16,105.09
315,2021-06-15,104.83
316,2021-06-14,104.83
317,2021-06-13,104.53
318,2021-06-12,104.53
319,2021-06-11,104.25
320,2021-06-10,103.95
321,2021-06-09,103.95
322,2021-06-08,103.69
323,2021-06-07,103.69
324,2021-06-06,103.4
325,2021-06-05,103.12
326,2021-06-04,103.12
327,2021-06-03,102.84
328,2021-06-02,102.84
329,2021-06-01,102.84
330,2021-05-31,102.58
331,2021-05-30,102.28
332,2021-05-29,102.28
333,2021-05-28,102.01
334,2021-05-27,102.01
335,2021-05-26,101.76
336,2021-05-25,101.76
337,2021-05-24,101.52
338,2021-05-23,101.52
339,2021-05-22,101.35
340,2021-05-21,101.35
341,2021-05-20,101.15
342,2021-05-19,101.15
343,2021-05-18,101.15
344,2021-05-17,100.87
345,2021-05-16,100.87
346,2021-05-15,100.62
347,2021-05-14,100.62
348,2021-05-13,100.32
349,2021-05-12,100.32
350,2021-05-11,100.06
351,2021-05-10,99.78
352,2021-05-09,99.52
353,2021-05-08,99.52
354,2021-05-07,99.52
355,2021-05-06,99.23
356,2021-05-05,98.97
357,2021-05-04,98.77
358,2021-05-03,98.55
359,2021-05-02,98.55
360,2021-05-01,98.55
361,2021-04-30,98.55
362,2021-04-29,98.55
363,2021-04-28,98.55
364,2021-04-27,98.55
