,date,price
0,2022-05-01,120.2
1,2022-04-30,120.2
2,2022-04-29,120.2
3,2022-04-28,120.2
4,2022-04-27,120.2
5,2022-04-26,120.2
6,2022-04-25,120.2
7,2022-04-24,120.2
8,2022-04-23,120.2
9,2022-04-22,120.2
10,2022-04-21,120.2
11,2022-04-20,120.2
12,2022-04-19,120.2
13,2022-04-18,120.2
14,2022-04-17,120.2
15,2022-04-16,120.2
16,2022-04-15,120.2
17,2022-04-14,120.2
18,2022-04-13,120.2
19,2022-04-12,120.2
20,2022-04-11,120.2
21,2022-04-10,120.2
22,2022-04-09,120.2
23,2022-04-08,120.2
24,2022-04-07,120.2
25,2022-04-06,120.2
26,2022-04-05,119.32
27,2022-04-04,118.45
28,2022-04-03,118.01
29,2022-04-02,117.14
30,2022-04-01,116.26
31,2022-03-31,116.26
32,2022-03-30,115.39
33,2022-03-29,114.52
34,2022-03-28,113.64
35,2022-03-27,113.32
36,2022-03-26,112.77
37,2022-03-25,111.97
38,2022-03-24,111.09
39,2022-03-23,111.09
40,2022-03-22,110.22
41,2022-03-21,109.35
42,2022-03-20,109.35
43,2022-03-19,109.35
44,2022-03-18,109.35
45,2022-03-17,109.35
46,2022-03-16,109.35
47,2022-03-15,109.35
48,2022-03-14,109.35
49,2022-03-13,109.35
50,2022-03-12,109.35
51,2022-03-11,109.35
52,2022-03-10,109.35
53,2022-03-09,109.35
54,2022-03-08,109.35
55,2022-03-07,109.35
56,2022-03-06,109.35
57,2022-03-05,109.35
58,2022-03-04,109.35
59,2022-03-03,109.35
60,2022-03-02,109.35
61,2022-03-01,109.35
62,2022-02-28,109.35
63,2022-02-27,109.35
64,2022-02-26,109.35
65,2022-02-25,109.35
66,2022-02-24,109.35
67,2022-02-23,109.35
68,2022-02-22,109.35
69,2022-02-21,109.35
70,2022-02-20,109.35
71,2022-02-19,109.35
72,2022-02-18,109.35
73,2022-02-17,109.35
74,2022-02-16,109.35
75,2022-02-15,109.35
76,2022-02-14,109.35
77,2022-02-13,109.35
78,2022-02-12,109.35
79,2022-02-11,109.35
80,2022-02-10,109.35
81,2022-02-09,109.35
82,2022-02-08,109.35
83,2022-02-07,109.35
84,2022-02-06,109.35
85,2022-02-05,109.35
86,2022-02-04,109.35
87,2022-02-03,109.35
88,2022-02-02,109.35
89,2022-02-01,109.35
90,2022-01-31,109.35
91,2022-01-30,109.35
92,2022-01-29,109.35
93,2022-01-28,109.35
94,2022-01-27,109.35
95,2022-01-26,109.35
96,2022-01-25,109.35
97,2022-01-24,109.35
98,2022-01-23,109.35
99,2022-01-22,109.35
100,2022-01-21,109.35
101,2022-01-20,109.35
102,2022-01-19,109.35
103,2022-01-18,109.35
104,2022-01-17,109.35
105,2022-01-16,109.35
106,2022-01-15,109.35
107,2022-01-14,109.35
108,2022-01-13,109.35
109,2022-01-12,109.35
110,2022-01-11,109.35
111,2022-01-10,109.35
112,2022-01-09,109.35
113,2022-01-08,109.35
114,2022-01-07,109.35
115,2022-01-06,109.35
116,2022-01-05,109.35
117,2022-01-04,109.35
118,2022-01-03,109.35
119,2022-01-02,109.35
120,2022-01-01,109.35
121,2021-12-31,109.35
122,2021-12-30,109.35
123,2021-12-29,109.35
124,2021-12-28,109.35
125,2021-12-27,109.35
126,2021-12-26,109.35
127,2021-12-25,109.35
128,2021-12-24,109.35
129,2021-12-23,109.35
130,2021-12-22,109.35
131,2021-12-21,109.35
132,2021-12-20,109.35
133,2021-12-19,109.35
134,2021-12-18,109.35
135,2021-12-17,109.35
136,2021-12-16,109.35
137,2021-12-15,109.35
138,2021-12-14,109.35
139,2021-12-13,109.35
140,2021-12-12,109.35
141,2021-12-11,109.35
142,2021-12-10,109.35
143,2021-12-09,109.35
144,2021-12-08,109.35
145,2021-12-07,109.35
146,2021-12-06,109.35
147,2021-12-05,109.35
148,2021-12-04,109.35
149,2021-12-03,109.35
150,2021-12-02,109.35
151,2021-11-30,109.35
152,2021-11-29,109.35
153,2021-11-28,109.35
154,2021-11-27,109.35
155,2021-11-26,109.35
156,2021-11-25,109.35
157,2021-11-24,109.35
158,2021-11-23,109.35
159,2021-11-22,109.35
160,2021-11-21,109.35
161,2021-11-20,109.35
162,2021-11-19,109.35
163,2021-11-18,109.35
164,2021-11-17,109.35
165,2021-11-16,109.35
166,2021-11-15,109.35
167,2021-11-14,109.35
168,2021-11-13,109.35
169,2021-11-12,109.35
170,2021-11-11,109.35
171,2021-11-10,109.35
172,2021-11-09,109.35
173,2021-11-08,109.35
174,2021-11-07,109.35
175,2021-11-06,109.35
176,2021-11-05,109.35
177,2021-11-04,114.74
178,2021-11-03,121.01
179,2021-11-02,121.01
180,2021-11-01,120.63
181,2021-10-31,120.11
182,2021-10-30,119.75
183,2021-10-29,119.39
184,2021-10-28,119.03
185,2021-10-27,118.67
186,2021-10-26,118.3
187,2021-10-25,118.3
188,2021-10-24,118.3
189,2021-10-23,117.94
190,2021-10-22,117.58
191,2021-10-21,117.22
192,2021-10-20,116.86
193,2021-10-19,116.49
194,2021-10-18,116.49
195,2021-10-15,115.77
196,2021-10-14,115.41
197,2021-10-13,115.05
198,2021-10-12,115.05
199,2021-10-11,115.05
200,2021-10-10,114.74
201,2021-10-08,114.12
202,2021-10-07,113.81
203,2021-10-06,113.5
204,2021-10-05,113.19
205,2021-10-04,112.93
206,2021-10-03,112.93
207,2021-10-02,112.67
208,2021-10-01,112.41
209,2021-09-30,112.17
210,2021-09-29,111.92
211,2021-09-28,111.92
212,2021-09-27,111.73
213,2021-09-26,111.73
214,2021-09-25,111.73
215,2021-09-24,111.73
216,2021-09-23,111.73
217,2021-09-22,111.73
218,2021-09-21,111.73
219,2021-09-20,111.73
220,2021-09-19,111.73
221,2021-09-18,111.73
222,2021-09-17,111.73
223,2021-09-16,111.73
224,2021-09-15,111.73
225,2021-09-14,111.73
226,2021-09-13,111.73
227,2021-09-12,111.73
228,2021-09-11,111.73
229,2021-09-10,111.73
230,2021-09-09,111.73
231,2021-09-08,111.73
232,2021-09-07,111.73
233,2021-09-06,111.73
234,2021-09-05,111.73
235,2021-09-03,111.89
236,2021-09-02,111.89
237,2021-09-01,111.89
238,2021-08-31,112.06
239,2021-08-30,112.06
240,2021-08-29,112.06
241,2021-08-28,112.06
242,2021-08-27,112.06
243,2021-08-26,112.06
244,2021-08-25,112.06
245,2021-08-24,112.06
246,2021-08-23,112.21
247,2021-08-22,112.21
248,2021-08-21,112.18
249,2021-08-20,112.18
250,2021-08-19,112.18
251,2021-08-18,112.18
252,2021-08-17,112.18
253,2021-08-16,112.18
254,2021-08-15,112.18
255,2021-08-14,112.18
256,2021-08-13,112.18
257,2021-08-12,112.18
258,2021-08-11,112.18
259,2021-08-10,112.18
260,2021-08-09,112.18
261,2021-08-08,112.18
262,2021-08-07,112.18
263,2021-08-06,112.18
264,2021-08-05,112.18
265,2021-08-04,112.18
266,2021-08-03,112.18
267,2021-08-02,112.18
268,2021-08-01,112.18
269,2021-07-31,112.18
270,2021-07-30,112.18
271,2021-07-29,112.18
272,2021-07-28,112.18
273,2021-07-27,112.18
274,2021-07-26,112.18
275,2021-07-25,112.18
276,2021-07-24,112.18
277,2021-07-23,112.18
278,2021-07-22,112.18
279,2021-07-21,112.18
280,2021-07-20,112.18
281,2021-07-19,112.18
282,2021-07-18,112.18
283,2021-07-17,112.18
284,2021-07-16,111.87
285,2021-07-15,111.87
286,2021-07-14,111.51
287,2021-07-13,111.51
288,2021-07-12,111.51
289,2021-07-11,111.22
290,2021-07-10,111.22
291,2021-07-09,110.85
292,2021-07-08,110.85
293,2021-07-07,110.49
294,2021-07-06,110.13
295,2021-07-05,110.13
296,2021-07-04,109.77
297,2021-07-03,109.41
298,2021-07-02,109.41
299,2021-07-01,109.05
300,2021-06-30,109.05
301,2021-06-29,109.05
302,2021-06-28,108.68
303,2021-06-27,108.68
304,2021-06-26,108.32
305,2021-06-25,107.96
306,2021-06-24,107.96
307,2021-06-23,107.69
308,2021-06-22,107.69
309,2021-06-21,107.4
310,2021-06-20,107.4
311,2021-06-19,107.1
312,2021-06-18,107.1
313,2021-06-17,106.82
314,2021-06-16,106.82
315,2021-06-15,106.56
316,2021-06-14,106.56
317,2021-06-13,106.26
318,2021-06-12,106.26
319,2021-06-11,105.99
320,2021-06-10,105.69
321,2021-06-09,105.69
322,2021-06-08,105.43
323,2021-06-07,105.43
324,2021-06-06,105.14
325,2021-06-05,104.86
326,2021-06-04,104.86
327,2021-06-03,104.58
328,2021-06-02,104.58
329,2021-06-01,104.58
330,2021-05-31,104.31
331,2021-05-30,104.01
332,2021-05-29,104.01
333,2021-05-28,103.74
334,2021-05-27,103.74
335,2021-05-26,103.49
336,2021-05-25,103.49
337,2021-05-24,103.26
338,2021-05-23,103.26
339,2021-05-22,103.08
340,2021-05-21,103.08
341,2021-05-20,102.88
342,2021-05-19,102.88
343,2021-05-18,102.88
344,2021-05-17,102.61
345,2021-05-16,102.61
346,2021-05-15,102.36
347,2021-05-14,102.36
348,2021-05-13,102.06
349,2021-05-12,102.06
350,2021-05-11,101.8
351,2021-05-10,101.52
352,2021-05-09,101.25
353,2021-05-08,101.25
354,2021-05-07,101.25
355,2021-05-06,100.96
356,2021-05-05,100.7
357,2021-05-04,100.51
358,2021-05-03,100.16
359,2021-05-02,100.16
360,2021-05-01,100.16
361,2021-04-30,100.16
362,2021-04-29,100.16
363,2021-04-28,100.16
364,2021-04-27,100.16
