,date,price
0,2022-05-01,119.75
1,2022-04-30,119.75
2,2022-04-29,119.75
3,2022-04-28,119.75
4,2022-04-27,119.75
5,2022-04-26,119.75
6,2022-04-25,119.75
7,2022-04-24,119.75
8,2022-04-23,119.75
9,2022-04-22,119.75
10,2022-04-21,119.75
11,2022-04-20,119.75
12,2022-04-19,119.75
13,2022-04-18,119.75
14,2022-04-17,119.75
15,2022-04-16,119.75
16,2022-04-15,119.75
17,2022-04-14,119.75
18,2022-04-13,119.75
19,2022-04-12,119.75
20,2022-04-11,119.75
21,2022-04-10,119.75
22,2022-04-09,119.75
23,2022-04-08,119.75
24,2022-04-07,119.75
25,2022-04-06,119.75
26,2022-04-05,118.88
27,2022-04-04,118
28,2022-04-03,117.57
29,2022-04-02,116.69
30,2022-04-01,115.82
31,2022-03-31,115.82
32,2022-03-30,114.95
33,2022-03-29,114.07
34,2022-03-28,113.2
35,2022-03-27,112.87
36,2022-03-26,112.32
37,2022-03-25,111.51
38,2022-03-24,110.64
39,2022-03-23,110.64
40,2022-03-22,109.76
41,2022-03-21,108.61
42,2022-03-20,108.61
43,2022-03-19,108.61
44,2022-03-18,108.61
45,2022-03-17,108.61
46,2022-03-16,108.61
47,2022-03-15,108.61
48,2022-03-14,108.61
49,2022-03-13,108.61
50,2022-03-12,108.61
51,2022-03-11,108.61
52,2022-03-10,108.61
53,2022-03-09,108.61
54,2022-03-08,108.61
55,2022-03-07,108.61
56,2022-03-06,108.61
57,2022-03-05,108.61
58,2022-03-04,108.61
59,2022-03-03,108.61
60,2022-03-02,108.61
61,2022-03-01,108.61
62,2022-02-28,108.61
63,2022-02-27,108.61
64,2022-02-26,108.61
65,2022-02-25,108.61
66,2022-02-24,108.61
67,2022-02-23,108.61
68,2022-02-22,108.61
69,2022-02-21,108.61
70,2022-02-20,108.61
71,2022-02-19,108.61
72,2022-02-18,108.61
73,2022-02-17,108.61
74,2022-02-16,108.61
75,2022-02-15,108.61
76,2022-02-14,108.61
77,2022-02-13,108.61
78,2022-02-12,108.61
79,2022-02-11,108.61
80,2022-02-10,108.61
81,2022-02-09,108.61
82,2022-02-08,108.61
83,2022-02-07,108.61
84,2022-02-06,108.61
85,2022-02-05,108.61
86,2022-02-04,108.61
87,2022-02-03,108.61
88,2022-02-02,108.61
89,2022-02-01,108.61
90,2022-01-31,108.61
91,2022-01-30,108.61
92,2022-01-29,108.61
93,2022-01-28,108.61
94,2022-01-27,108.61
95,2022-01-26,108.61
96,2022-01-25,108.61
97,2022-01-24,108.61
98,2022-01-23,108.61
99,2022-01-22,108.61
100,2022-01-21,108.61
101,2022-01-20,108.61
102,2022-01-19,108.61
103,2022-01-18,108.61
104,2022-01-17,108.61
105,2022-01-16,108.61
106,2022-01-15,108.61
107,2022-01-14,108.61
108,2022-01-13,108.61
109,2022-01-12,108.61
110,2022-01-11,108.61
111,2022-01-10,108.61
112,2022-01-09,108.61
113,2022-01-08,108.61
114,2022-01-07,108.61
115,2022-01-06,108.61
116,2022-01-05,108.61
117,2022-01-04,108.61
118,2022-01-03,108.61
119,2022-01-02,108.61
120,2022-01-01,108.61
121,2021-12-31,108.61
122,2021-12-30,108.61
123,2021-12-29,108.61
124,2021-12-28,108.61
125,2021-12-27,108.61
126,2021-12-26,108.61
127,2021-12-25,108.61
128,2021-12-24,108.61
129,2021-12-23,108.61
130,2021-12-22,108.61
131,2021-12-21,108.61
132,2021-12-20,108.61
133,2021-12-19,108.61
134,2021-12-18,108.61
135,2021-12-17,108.61
136,2021-12-16,108.61
137,2021-12-15,108.61
138,2021-12-14,108.61
139,2021-12-13,108.61
140,2021-12-12,108.61
141,2021-12-11,108.61
142,2021-12-10,108.61
143,2021-12-09,108.61
144,2021-12-08,108.61
145,2021-12-07,108.61
146,2021-12-06,108.61
147,2021-12-05,108.61
148,2021-12-04,108.61
149,2021-12-03,108.61
150,2021-12-02,108.61
151,2021-11-30,108.61
152,2021-11-29,108.61
153,2021-11-28,108.61
154,2021-11-27,108.61
155,2021-11-26,108.61
156,2021-11-25,108.61
157,2021-11-24,108.61
158,2021-11-23,108.61
159,2021-11-22,108.61
160,2021-11-21,108.61
161,2021-11-20,108.61
162,2021-11-19,108.61
163,2021-11-18,108.61
164,2021-11-17,108.61
165,2021-11-16,108.61
166,2021-11-15,108.61
167,2021-11-14,108.61
168,2021-11-13,108.61
169,2021-11-12,108.61
170,2021-11-11,108.61
171,2021-11-10,108.61
172,2021-11-09,108.61
173,2021-11-08,108.61
174,2021-11-07,108.61
175,2021-11-06,108.61
176,2021-11-05,108.61
177,2021-11-04,113.98
178,2021-11-03,120.25
179,2021-11-02,120.25
180,2021-11-01,119.87
181,2021-10-31,119.39
182,2021-10-30,119.03
183,2021-10-29,118.66
184,2021-10-28,118.3
185,2021-10-27,117.94
186,2021-10-26,117.58
187,2021-10-25,117.58
188,2021-10-24,117.58
189,2021-10-23,117.22
190,2021-10-22,116.86
191,2021-10-21,116.49
192,2021-10-20,116.13
193,2021-10-19,115.77
194,2021-10-18,115.77
195,2021-10-15,115.05
196,2021-10-14,114.68
197,2021-10-13,114.32
198,2021-10-12,114.32
199,2021-10-11,114.32
200,2021-10-10,114.01
201,2021-10-08,113.39
202,2021-10-07,113.08
203,2021-10-06,112.77
204,2021-10-05,112.46
205,2021-10-04,112.2
206,2021-10-03,112.2
207,2021-10-02,111.95
208,2021-10-01,111.69
209,2021-09-30,111.44
210,2021-09-29,111.2
211,2021-09-28,111.2
212,2021-09-27,111
213,2021-09-26,111
214,2021-09-25,111
215,2021-09-24,111
216,2021-09-23,111
