,date,price
0,2022-05-01,121.5
1,2022-04-30,121.5
2,2022-04-29,121.5
3,2022-04-28,121.5
4,2022-04-27,121.5
5,2022-04-26,121.5
6,2022-04-25,121.5
7,2022-04-24,121.5
8,2022-04-23,121.5
9,2022-04-22,121.5
10,2022-04-21,121.5
11,2022-04-20,121.5
12,2022-04-19,121.5
13,2022-04-18,121.5
14,2022-04-17,121.5
15,2022-04-16,121.5
16,2022-04-15,121.5
17,2022-04-14,121.5
18,2022-04-13,121.5
19,2022-04-12,121.5
20,2022-04-11,121.5
21,2022-04-10,121.5
22,2022-04-09,121.5
23,2022-04-08,121.5
24,2022-04-07,121.5
25,2022-04-06,121.5
26,2022-04-05,120.66
27,2022-04-04,119.83
28,2022-04-03,119.41
29,2022-04-02,118.57
30,2022-04-01,117.74
31,2022-03-31,117.74
32,2022-03-30,116.9
33,2022-03-29,116.07
34,2022-03-28,115.23
35,2022-03-27,114.92
36,2022-03-26,114.39
37,2022-03-25,113.61
38,2022-03-24,112.77
39,2022-03-23,112.77
40,2022-03-22,111.93
41,2022-03-21,111.09
42,2022-03-20,111.09
43,2022-03-19,111.09
44,2022-03-18,111.09
45,2022-03-17,111.09
46,2022-03-16,111.09
47,2022-03-15,111.09
48,2022-03-14,111.09
49,2022-03-13,111.09
50,2022-03-12,111.09
51,2022-03-11,111.09
52,2022-03-10,111.09
53,2022-03-09,111.09
54,2022-03-08,111.09
55,2022-03-07,111.09
56,2022-03-06,111.09
57,2022-03-05,111.09
58,2022-03-04,111.09
59,2022-03-03,111.09
60,2022-03-02,111.09
61,2022-03-01,111.09
62,2022-02-28,111.09
63,2022-02-27,111.09
64,2022-02-26,111.09
65,2022-02-25,111.09
66,2022-02-24,111.09
67,2022-02-23,111.09
68,2022-02-22,111.09
69,2022-02-21,111.09
70,2022-02-20,111.09
71,2022-02-19,111.09
72,2022-02-18,111.09
73,2022-02-17,111.09
74,2022-02-16,111.09
75,2022-02-15,111.09
76,2022-02-14,111.09
77,2022-02-13,111.09
78,2022-02-12,111.09
79,2022-02-11,111.09
80,2022-02-10,111.09
81,2022-02-09,111.09
82,2022-02-08,111.09
83,2022-02-07,111.09
84,2022-02-06,111.09
85,2022-02-05,111.09
86,2022-02-04,111.09
87,2022-02-03,111.09
88,2022-02-02,111.09
89,2022-02-01,111.09
90,2022-01-31,111.09
91,2022-01-30,111.09
92,2022-01-29,111.09
93,2022-01-28,111.09
94,2022-01-27,111.09
95,2022-01-26,111.09
96,2022-01-25,111.09
97,2022-01-24,111.09
98,2022-01-23,111.09
99,2022-01-22,111.09
100,2022-01-21,111.09
101,2022-01-20,111.09
102,2022-01-19,111.09
103,2022-01-18,111.09
104,2022-01-17,111.09
105,2022-01-16,111.09
106,2022-01-15,111.09
107,2022-01-14,111.09
108,2022-01-13,111.09
109,2022-01-12,111.09
110,2022-01-11,111.09
111,2022-01-10,111.09
112,2022-01-09,111.09
113,2022-01-08,111.09
114,2022-01-07,111.09
115,2022-01-06,111.09
116,2022-01-05,111.09
117,2022-01-04,111.09
118,2022-01-03,111.09
119,2022-01-02,111.09
120,2022-01-01,111.09
121,2021-12-31,111.09
122,2021-12-30,111.09
123,2021-12-29,111.09
124,2021-12-28,111.09
125,2021-12-27,111.09
126,2021-12-26,111.09
127,2021-12-25,111.09
128,2021-12-24,111.09
129,2021-12-23,111.09
130,2021-12-22,111.09
131,2021-12-21,111.09
132,2021-12-20,111.09
133,2021-12-19,111.09
134,2021-12-18,111.09
135,2021-12-17,111.09
136,2021-12-16,111.09
137,2021-12-15,111.09
138,2021-12-14,111.09
139,2021-12-13,111.09
140,2021-12-12,111.09
141,2021-12-11,111.09
142,2021-12-10,111.09
143,2021-12-09,111.09
144,2021-12-08,111.09
145,2021-12-07,111.09
146,2021-12-06,111.09
147,2021-12-05,111.09
148,2021-12-04,111.09
149,2021-12-03,111.09
150,2021-12-02,111.09
151,2021-11-30,111.09
152,2021-11-29,111.09
153,2021-11-28,111.09
154,2021-11-27,111.09
155,2021-11-26,111.09
156,2021-11-25,111.09
157,2021-11-24,111.09
158,2021-11-23,111.09
159,2021-11-22,111.09
160,2021-11-21,111.09
161,2021-11-20,111.09
162,2021-11-19,111.09
163,2021-11-18,111.09
164,2021-11-17,111.09
165,2021-11-16,111.09
166,2021-11-15,111.09
167,2021-11-14,111.09
168,2021-11-13,111.09
169,2021-11-12,111.09
170,2021-11-11,111.09
171,2021-11-10,111.09
172,2021-11-09,111.09
173,2021-11-08,111.09
174,2021-11-07,111.09
175,2021-11-06,111.09
176,2021-11-05,111.09
177,2021-11-04,111.09
178,2021-11-03,116.91
179,2021-11-02,116.91
180,2021-11-01,116.55
181,2021-10-31,116.11
182,2021-10-30,115.77
183,2021-10-29,115.44
184,2021-10-28,115.1
185,2021-10-27,114.77
186,2021-10-26,114.43
187,2021-10-25,114.43
188,2021-10-24,114.43
189,2021-10-23,114.1
190,2021-10-22,113.76
191,2021-10-21,113.42
192,2021-10-20,113.09
193,2021-10-19,112.75
194,2021-10-18,112.75
195,2021-10-15,112.08
196,2021-10-14,111.75
197,2021-10-13,111.41
198,2021-10-12,111.41
199,2021-10-11,111.41
200,2021-10-10,111.12
201,2021-10-09,110.84
202,2021-10-08,110.55
203,2021-10-07,110.26
204,2021-10-06,109.97
205,2021-10-05,109.68
206,2021-10-04,109.44
207,2021-10-03,109.44
208,2021-10-02,109.2
209,2021-10-01,108.97
210,2021-09-30,108.74
211,2021-09-29,108.51
212,2021-09-28,108.51
213,2021-09-27,108.33
214,2021-09-26,108.33
215,2021-09-25,108.33
216,2021-09-24,108.33
217,2021-09-23,108.33
218,2021-09-22,108.33
219,2021-09-21,108.33
220,2021-09-20,108.33
221,2021-09-19,108.33
222,2021-09-18,108.33
223,2021-09-17,108.33
224,2021-09-16,108.33
225,2021-09-15,108.33
226,2021-09-14,108.33
227,2021-09-13,108.33
