,date,price
0,2022-05-01,120.24
1,2022-04-30,120.24
2,2022-04-29,120.24
3,2022-04-28,120.24
4,2022-04-27,120.24
5,2022-04-26,120.24
6,2022-04-25,120.24
7,2022-04-24,120.24
8,2022-04-23,120.24
9,2022-04-22,120.24
10,2022-04-21,120.24
11,2022-04-20,120.24
12,2022-04-19,120.24
13,2022-04-18,120.24
14,2022-04-17,120.24
15,2022-04-16,120.24
16,2022-04-15,120.24
17,2022-04-14,120.24
18,2022-04-13,120.24
19,2022-04-12,120.24
20,2022-04-11,120.24
21,2022-04-10,120.24
22,2022-04-09,120.24
23,2022-04-08,120.24
24,2022-04-07,120.24
25,2022-04-06,120.24
26,2022-04-05,119.41
27,2022-04-04,118.57
28,2022-04-03,118.15
29,2022-04-02,117.32
30,2022-04-01,116.48
31,2022-03-31,116.48
32,2022-03-30,115.64
33,2022-03-29,114.81
34,2022-03-28,113.97
35,2022-03-27,113.66
36,2022-03-26,113.14
37,2022-03-25,112.3
38,2022-03-24,111.46
39,2022-03-23,111.46
40,2022-03-22,110.63
41,2022-03-21,109.78
42,2022-03-20,109.78
43,2022-03-19,109.78
44,2022-03-18,109.78
45,2022-03-17,109.78
46,2022-03-16,109.78
47,2022-03-15,109.78
48,2022-03-14,109.78
49,2022-03-13,109.78
50,2022-03-12,109.78
51,2022-03-11,109.78
52,2022-03-10,109.78
53,2022-03-09,109.78
54,2022-03-08,109.78
55,2022-03-07,109.78
56,2022-03-06,109.78
57,2022-03-05,109.78
58,2022-03-04,109.78
59,2022-03-03,109.78
60,2022-03-02,109.78
61,2022-03-01,109.78
62,2022-02-28,109.78
63,2022-02-27,109.78
64,2022-02-26,109.78
65,2022-02-25,109.78
66,2022-02-24,109.78
67,2022-02-23,109.78
68,2022-02-22,109.78
69,2022-02-21,109.78
70,2022-02-20,109.78
71,2022-02-19,109.78
72,2022-02-18,109.78
73,2022-02-17,109.78
74,2022-02-16,109.78
75,2022-02-15,109.78
76,2022-02-14,109.78
77,2022-02-13,109.78
78,2022-02-12,109.78
79,2022-02-11,109.78
80,2022-02-10,109.78
81,2022-02-09,109.78
82,2022-02-08,109.78
83,2022-02-07,109.78
84,2022-02-06,109.78
85,2022-02-05,109.78
86,2022-02-04,109.78
87,2022-02-03,109.78
88,2022-02-02,109.78
89,2022-02-01,109.78
90,2022-01-31,109.78
91,2022-01-30,109.78
92,2022-01-29,109.78
93,2022-01-28,109.78
94,2022-01-27,109.78
95,2022-01-26,109.78
96,2022-01-25,109.78
97,2022-01-24,109.78
98,2022-01-23,109.78
99,2022-01-22,109.78
100,2022-01-21,109.78
101,2022-01-20,109.78
102,2022-01-19,109.78
103,2022-01-18,109.78
104,2022-01-17,109.78
105,2022-01-16,109.78
106,2022-01-15,109.78
107,2022-01-14,109.78
108,2022-01-13,109.78
109,2022-01-12,109.78
110,2022-01-11,109.78
111,2022-01-10,109.78
112,2022-01-09,109.78
113,2022-01-08,109.78
114,2022-01-07,109.78
115,2022-01-06,109.78
116,2022-01-05,109.78
117,2022-01-04,109.78
118,2022-01-03,109.78
119,2022-01-02,109.78
120,2022-01-01,109.78
121,2021-12-31,109.78
122,2021-12-30,109.78
123,2021-12-29,109.78
124,2021-12-28,109.78
125,2021-12-27,109.78
126,2021-12-26,109.78
127,2021-12-25,109.78
128,2021-12-24,109.78
129,2021-12-23,109.78
130,2021-12-22,109.78
131,2021-12-21,109.78
132,2021-12-20,109.78
133,2021-12-19,109.78
134,2021-12-18,109.78
135,2021-12-17,109.78
136,2021-12-16,109.78
137,2021-12-15,109.78
138,2021-12-14,109.78
139,2021-12-13,109.78
140,2021-12-12,109.78
141,2021-12-11,109.78
142,2021-12-10,109.78
143,2021-12-09,109.78
144,2021-12-08,109.78
145,2021-12-07,109.78
146,2021-12-06,109.78
147,2021-12-05,109.78
148,2021-12-04,109.78
149,2021-12-03,109.78
150,2021-12-02,109.78
151,2021-11-30,109.78
152,2021-11-29,109.78
153,2021-11-28,109.78
154,2021-11-27,109.78
155,2021-11-26,109.78
156,2021-11-25,109.78
157,2021-11-24,109.78
158,2021-11-23,109.78
159,2021-11-22,109.78
160,2021-11-21,109.78
161,2021-11-20,109.78
162,2021-11-19,109.78
163,2021-11-18,109.78
164,2021-11-17,109.78
165,2021-11-16,109.78
166,2021-11-15,109.78
167,2021-11-14,109.78
168,2021-11-13,109.78
169,2021-11-12,109.78
170,2021-11-11,109.78
171,2021-11-10,109.78
172,2021-11-09,109.78
173,2021-11-08,109.78
174,2021-11-07,109.78
175,2021-11-06,109.78
176,2021-11-05,109.78
177,2021-11-04,109.78
178,2021-11-03,115.6
179,2021-11-02,115.6
180,2021-11-01,115.25
181,2021-10-31,114.89
182,2021-10-30,114.56
183,2021-10-29,114.22
184,2021-10-28,113.89
185,2021-10-27,113.55
186,2021-10-26,113.21
187,2021-10-25,113.21
188,2021-10-24,113.21
189,2021-10-23,112.88
190,2021-10-22,112.54
191,2021-10-21,112.21
192,2021-10-20,111.87
193,2021-10-19,111.54
194,2021-10-18,111.54
195,2021-10-15,110.86
196,2021-10-14,110.53
197,2021-10-13,110.19
198,2021-10-12,110.19
199,2021-10-11,110.19
200,2021-10-10,109.91
201,2021-10-09,109.62
202,2021-10-08,109.33
203,2021-10-07,109.04
204,2021-10-06,108.75
205,2021-10-05,108.47
206,2021-10-04,108.23
207,2021-10-03,108.23
208,2021-10-02,107.99
209,2021-10-01,107.75
210,2021-09-30,107.52
211,2021-09-29,107.29
212,2021-09-28,107.29
213,2021-09-27,107.11
214,2021-09-26,107.11
215,2021-09-25,107.11
216,2021-09-24,107.11
217,2021-09-23,107.11
218,2021-09-22,107.11
219,2021-09-21,107.11
220,2021-09-20,107.11
221,2021-09-19,107.11
222,2021-09-18,107.11
223,2021-09-17,107.11
224,2021-09-16,107.11
225,2021-09-15,107.11
226,2021-09-14,107.11
227,2021-09-13,107.11
228,2021-09-12,107.11
229,2021-09-11,107.11
230,2021-09-10,107.11
231,2021-09-09,107.11
232,2021-09-08,107.11
233,2021-09-07,107.11
234,2021-09-06,107.11
235,2021-09-05,107.11
236,2021-09-03,107.27
237,2021-09-02,107.27
238,2021-09-01,107.27
239,2021-08-31,107.42
240,2021-08-30,107.42
241,2021-08-29,107.42
242,2021-08-28,107.42
243,2021-08-27,107.42
244,2021-08-26,107.42
245,2021-08-25,107.42
246,2021-08-24,107.42
247,2021-08-23,107.56
248,2021-08-22,107.56
249,2021-08-21,107.72
250,2021-08-20,107.72
251,2021-08-19,107.72
252,2021-08-18,107.72
253,2021-08-17,107.72
254,2021-08-16,107.72
255,2021-08-15,107.72
256,2021-08-14,107.72
257,2021-08-13,107.72
258,2021-08-12,107.72
259,2021-08-11,107.72
260,2021-08-10,107.72
261,2021-08-09,107.72
262,2021-08-08,107.72
263,2021-08-07,107.72
264,2021-08-06,107.72
265,2021-08-05,107.72
266,2021-08-04,107.72
267,2021-08-03,107.72
268,2021-08-02,107.72
269,2021-08-01,107.72
270,2021-07-31,107.72
271,2021-07-30,107.72
272,2021-07-29,107.72
273,2021-07-28,107.72
274,2021-07-27,107.72
275,2021-07-26,107.72
276,2021-07-25,107.72
277,2021-07-24,107.72
278,2021-07-23,107.72
279,2021-07-22,107.72
280,2021-07-21,107.72
281,2021-07-20,107.72
282,2021-07-19,107.72
283,2021-07-18,107.72
284,2021-07-17,107.72
285,2021-07-16,107.43
286,2021-07-15,107.43
287,2021-07-14,107.1
288,2021-07-13,107.1
289,2021-07-12,107.1
290,2021-07-11,106.83
291,2021-07-10,106.83
292,2021-07-09,106.49
293,2021-07-08,106.49
294,2021-07-07,106.16
295,2021-07-06,105.82
296,2021-07-05,105.82
297,2021-07-04,105.49
298,2021-07-03,105.15
299,2021-07-02,105.15
300,2021-07-01,104.82
301,2021-06-30,104.82
302,2021-06-29,104.82
303,2021-06-28,104.48
304,2021-06-27,104.48
305,2021-06-26,104.14
306,2021-06-25,103.81
307,2021-06-24,103.81
308,2021-06-23,103.56
309,2021-06-22,103.56
310,2021-06-21,103.29
311,2021-06-20,103.29
312,2021-06-19,103.01
313,2021-06-18,103.01
314,2021-06-17,102.75
315,2021-06-16,102.75
316,2021-06-15,102.51
317,2021-06-14,102.51
318,2021-06-13,102.24
319,2021-06-12,102.24
320,2021-06-11,101.98
321,2021-06-10,101.7
322,2021-06-09,101.7
323,2021-06-08,101.46
324,2021-06-07,101.46
325,2021-06-06,101.19
326,2021-06-05,100.93
327,2021-06-04,100.93
328,2021-06-03,100.67
329,2021-06-02,100.67
330,2021-06-01,100.67
331,2021-05-31,100.42
332,2021-05-30,100.14
333,2021-05-29,100.14
334,2021-05-28,99.9
335,2021-05-27,99.9
336,2021-05-26,99.67
337,2021-05-25,99.67
338,2021-05-24,99.44
339,2021-05-23,99.44
340,2021-05-22,99.28
341,2021-05-21,99.28
342,2021-05-20,99.1
343,2021-05-19,99.1
344,2021-05-18,99.1
345,2021-05-17,98.84
346,2021-05-16,98.84
347,2021-05-15,98.61
348,2021-05-14,98.61
349,2021-05-13,98.33
350,2021-05-12,98.33
351,2021-05-11,98.09
352,2021-05-10,97.83
353,2021-05-09,97.58
354,2021-05-08,97.58
355,2021-05-07,97.58
356,2021-05-06,97.32
357,2021-05-05,97.08
358,2021-05-04,96.89
359,2021-05-03,96.73
360,2021-05-02,96.73
361,2021-05-01,96.73
362,2021-04-30,96.73
363,2021-04-29,96.73
364,2021-04-28,96.73
