,date,price
0,2022-05-01,121.69
1,2022-04-30,121.69
2,2022-04-29,121.69
3,2022-04-28,121.69
4,2022-04-27,121.69
5,2022-04-26,121.69
6,2022-04-25,121.69
7,2022-04-24,121.69
8,2022-04-23,121.69
9,2022-04-22,121.69
10,2022-04-21,121.69
11,2022-04-20,121.69
12,2022-04-19,121.69
13,2022-04-18,121.69
14,2022-04-17,121.69
15,2022-04-16,121.69
16,2022-04-15,121.69
17,2022-04-14,121.69
18,2022-04-13,121.69
19,2022-04-12,121.69
20,2022-04-11,121.69
21,2022-04-10,121.69
22,2022-04-09,121.69
23,2022-04-08,121.69
24,2022-04-07,121.69
25,2022-04-06,121.69
26,2022-04-05,120.86
27,2022-04-04,120.02
28,2022-04-03,119.6
29,2022-04-02,118.76
30,2022-04-01,117.93
31,2022-03-31,117.93
32,2022-03-30,117.09
33,2022-03-29,116.26
34,2022-03-28,115.42
35,2022-03-27,115.11
36,2022-03-26,114.58
37,2022-03-25,113.8
38,2022-03-24,112.97
39,2022-03-23,112.97
40,2022-03-22,112.13
41,2022-03-21,111.29
42,2022-03-20,111.29
43,2022-03-19,111.29
44,2022-03-18,111.29
45,2022-03-17,111.29
46,2022-03-16,111.29
47,2022-03-15,111.29
48,2022-03-14,111.29
49,2022-03-13,111.29
50,2022-03-12,111.29
51,2022-03-11,111.29
52,2022-03-10,111.29
53,2022-03-09,111.29
54,2022-03-08,111.29
55,2022-03-07,111.29
56,2022-03-06,111.29
57,2022-03-05,111.29
58,2022-03-04,111.29
59,2022-03-03,111.29
60,2022-03-02,111.29
61,2022-03-01,111.29
62,2022-02-28,111.29
63,2022-02-27,111.29
64,2022-02-26,111.29
65,2022-02-25,111.29
66,2022-02-24,111.29
67,2022-02-23,111.29
68,2022-02-22,111.29
69,2022-02-21,111.29
70,2022-02-20,111.29
71,2022-02-19,111.29
72,2022-02-18,111.29
73,2022-02-17,111.29
74,2022-02-16,111.29
75,2022-02-15,111.29
76,2022-02-14,111.29
77,2022-02-13,111.29
78,2022-02-12,111.29
79,2022-02-11,111.29
80,2022-02-10,111.29
81,2022-02-09,111.29
82,2022-02-08,111.29
83,2022-02-07,111.29
84,2022-02-06,111.29
85,2022-02-05,111.29
86,2022-02-04,111.29
87,2022-02-03,111.29
88,2022-02-02,111.29
89,2022-02-01,111.29
90,2022-01-31,111.29
91,2022-01-30,111.29
92,2022-01-29,111.29
93,2022-01-28,111.29
94,2022-01-27,111.29
