,date,price
0,2022-05-01,122.77
1,2022-04-30,122.77
2,2022-04-29,122.77
3,2022-04-28,122.77
4,2022-04-27,122.77
5,2022-04-26,122.77
6,2022-04-25,122.77
7,2022-04-24,122.77
8,2022-04-23,122.77
9,2022-04-22,122.77
10,2022-04-21,122.77
11,2022-04-20,122.77
12,2022-04-19,122.77
13,2022-04-18,122.77
14,2022-04-17,122.77
15,2022-04-16,122.77
16,2022-04-15,122.77
17,2022-04-14,122.77
18,2022-04-13,122.77
19,2022-04-12,122.77
20,2022-04-11,122.77
21,2022-04-10,122.77
22,2022-04-09,122.77
23,2022-04-08,122.77
24,2022-04-07,122.77
25,2022-04-06,122.77
26,2022-04-05,121.93
27,2022-04-04,121.1
28,2022-04-03,120.68
29,2022-04-02,119.84
30,2022-04-01,119.01
31,2022-03-31,119.01
32,2022-03-30,118.17
33,2022-03-29,117.33
34,2022-03-28,116.5
35,2022-03-27,116.18
36,2022-03-26,115.66
37,2022-03-25,114.91
38,2022-03-24,114.08
39,2022-03-23,114.08
40,2022-03-22,113.24
41,2022-03-21,112.39
42,2022-03-20,112.39
43,2022-03-19,112.39
44,2022-03-18,112.39
45,2022-03-17,112.39
46,2022-03-16,112.39
47,2022-03-15,112.39
48,2022-03-14,112.39
49,2022-03-13,112.39
50,2022-03-12,112.39
51,2022-03-11,112.39
52,2022-03-10,112.39
53,2022-03-09,112.39
54,2022-03-08,112.39
55,2022-03-07,112.39
56,2022-03-06,112.39
57,2022-03-05,112.39
58,2022-03-04,112.39
59,2022-03-03,112.39
60,2022-03-02,112.39
61,2022-03-01,112.39
62,2022-02-28,112.39
63,2022-02-27,112.39
64,2022-02-26,112.39
65,2022-02-25,112.39
66,2022-02-24,112.39
67,2022-02-23,112.39
68,2022-02-22,112.39
69,2022-02-21,112.39
70,2022-02-20,112.39
71,2022-02-19,112.39
72,2022-02-18,112.39
73,2022-02-17,112.39
74,2022-02-16,112.39
75,2022-02-15,112.39
76,2022-02-14,112.39
77,2022-02-13,112.39
78,2022-02-12,112.39
79,2022-02-11,112.39
80,2022-02-10,112.39
81,2022-02-09,112.39
82,2022-02-08,112.39
83,2022-02-07,112.39
84,2022-02-06,112.39
85,2022-02-05,112.39
86,2022-02-04,112.39
87,2022-02-03,112.39
88,2022-02-02,112.39
89,2022-02-01,112.39
90,2022-01-31,112.39
91,2022-01-30,112.39
92,2022-01-29,112.39
93,2022-01-28,112.39
94,2022-01-27,112.39
95,2022-01-26,112.39
96,2022-01-25,112.39
97,2022-01-24,112.39
98,2022-01-23,112.39
99,2022-01-22,112.39
100,2022-01-21,112.39
101,2022-01-20,112.39
102,2022-01-19,112.39
103,2022-01-18,112.39
104,2022-01-17,112.39
105,2022-01-16,112.39
106,2022-01-15,112.39
107,2022-01-14,112.39
108,2022-01-13,112.39
109,2022-01-12,112.39
110,2022-01-11,112.39
111,2022-01-10,112.39
112,2022-01-09,112.39
113,2022-01-08,112.39
114,2022-01-07,112.39
115,2022-01-06,112.39
116,2022-01-05,112.39
117,2022-01-04,112.39
118,2022-01-03,112.39
119,2022-01-02,112.39
120,2022-01-01,112.39
121,2021-12-31,112.39
122,2021-12-30,112.39
123,2021-12-29,112.39
124,2021-12-28,112.39
125,2021-12-27,112.39
126,2021-12-26,112.39
127,2021-12-25,112.39
128,2021-12-24,112.39
129,2021-12-23,112.39
130,2021-12-22,112.39
131,2021-12-21,112.39
132,2021-12-20,112.39
133,2021-12-19,112.39
134,2021-12-18,112.39
135,2021-12-17,112.39
136,2021-12-16,112.39
137,2021-12-15,112.39
138,2021-12-14,112.39
139,2021-12-13,112.39
140,2021-12-12,112.39
141,2021-12-11,112.39
142,2021-12-10,112.39
143,2021-12-09,112.39
144,2021-12-08,112.39
145,2021-12-07,112.39
146,2021-12-06,112.39
147,2021-12-05,112.39
148,2021-12-04,112.39
149,2021-12-03,112.39
150,2021-12-02,112.39
151,2021-11-30,112.39
152,2021-11-29,112.39
153,2021-11-28,112.39
154,2021-11-27,112.39
155,2021-11-26,112.39
156,2021-11-25,112.39
157,2021-11-24,112.39
158,2021-11-23,112.39
159,2021-11-22,112.39
160,2021-11-21,112.39
161,2021-11-20,112.39
162,2021-11-19,112.39
163,2021-11-18,112.39
164,2021-11-17,112.39
165,2021-11-16,112.39
166,2021-11-15,112.39
167,2021-11-14,112.39
168,2021-11-13,112.39
169,2021-11-12,112.39
170,2021-11-11,112.39
171,2021-11-10,112.39
172,2021-11-09,112.39
173,2021-11-08,112.39
174,2021-11-07,112.39
175,2021-11-06,112.39
176,2021-11-05,112.39
177,2021-11-04,112.39
178,2021-11-03,118.21
179,2021-11-02,118.21
180,2021-11-01,117.86
181,2021-10-31,117.35
182,2021-10-30,117.01
183,2021-10-29,116.67
184,2021-10-28,116.34
185,2021-10-27,116
186,2021-10-26,115.67
187,2021-10-25,115.67
188,2021-10-24,115.67
189,2021-10-23,115.33
190,2021-10-22,115
191,2021-10-21,114.66
192,2021-10-20,114.32
193,2021-10-19,113.99
194,2021-10-18,113.99
195,2021-10-15,113.32
196,2021-10-14,112.98
197,2021-10-13,112.65
198,2021-10-12,112.65
199,2021-10-11,112.65
200,2021-10-10,112.36
201,2021-10-09,112.07
202,2021-10-08,111.78
203,2021-10-07,111.5
204,2021-10-06,111.21
