,date,price
0,2022-05-01,123.46
1,2022-04-30,123.46
2,2022-04-29,123.46
3,2022-04-28,123.46
4,2022-04-27,123.46
5,2022-04-26,123.46
6,2022-04-25,123.46
7,2022-04-24,123.46
8,2022-04-23,123.46
9,2022-04-22,123.46
10,2022-04-21,123.46
11,2022-04-20,123.46
12,2022-04-19,123.46
13,2022-04-18,123.46
14,2022-04-17,123.46
15,2022-04-16,123.46
16,2022-04-15,123.46
17,2022-04-14,123.46
18,2022-04-13,123.46
19,2022-04-12,123.46
20,2022-04-11,123.46
21,2022-04-10,123.46
22,2022-04-09,123.46
23,2022-04-08,123.46
24,2022-04-07,123.46
25,2022-04-06,123.46
26,2022-04-05,122.62
27,2022-04-04,121.78
28,2022-04-03,121.37
29,2022-04-02,120.53
30,2022-04-01,119.69
31,2022-03-31,119.69
32,2022-03-30,118.86
33,2022-03-29,118.02
34,2022-03-28,117.19
35,2022-03-27,116.87
36,2022-03-26,116.35
37,2022-03-25,115.63
38,2022-03-24,114.79
39,2022-03-23,114.79
40,2022-03-22,113.95
41,2022-03-21,113.11
42,2022-03-20,113.11
43,2022-03-19,113.11
44,2022-03-18,113.11
45,2022-03-17,113.11
46,2022-03-16,113.11
47,2022-03-15,113.11
48,2022-03-14,113.11
49,2022-03-13,113.11
50,2022-03-12,113.11
51,2022-03-11,113.11
52,2022-03-10,113.11
53,2022-03-09,113.11
54,2022-03-08,113.11
55,2022-03-07,113.11
56,2022-03-06,113.11
57,2022-03-05,113.11
58,2022-03-04,113.11
59,2022-03-03,113.11
60,2022-03-02,113.11
61,2022-03-01,113.11
62,2022-02-28,113.11
63,2022-02-27,113.11
64,2022-02-26,113.11
65,2022-02-25,113.11
66,2022-02-24,113.11
67,2022-02-23,113.11
68,2022-02-22,113.11
69,2022-02-21,113.11
70,2022-02-20,113.11
71,2022-02-19,113.11
72,2022-02-18,113.11
73,2022-02-17,113.11
74,2022-02-16,113.11
75,2022-02-15,113.11
76,2022-02-14,113.11
77,2022-02-13,113.11
78,2022-02-12,113.11
79,2022-02-11,113.11
80,2022-02-10,113.11
81,2022-02-09,113.11
82,2022-02-08,113.11
83,2022-02-07,113.11
84,2022-02-06,113.11
85,2022-02-05,113.11
86,2022-02-04,113.11
87,2022-02-03,113.11
88,2022-02-02,113.11
89,2022-02-01,113.11
90,2022-01-31,113.11
91,2022-01-30,113.11
92,2022-01-29,113.11
93,2022-01-28,113.11
94,2022-01-27,113.11
95,2022-01-26,113.11
96,2022-01-25,113.11
97,2022-01-24,113.11
98,2022-01-23,113.11
99,2022-01-22,113.11
100,2022-01-21,113.11
101,2022-01-20,113.11
102,2022-01-19,113.11
103,2022-01-18,113.11
104,2022-01-17,113.11
105,2022-01-16,113.11
106,2022-01-15,113.11
107,2022-01-14,113.11
108,2022-01-13,113.11
109,2022-01-12,113.11
110,2022-01-11,113.11
111,2022-01-10,113.11
112,2022-01-09,113.11
113,2022-01-08,113.11
