,date,price
0,2022-05-01,120.08
1,2022-04-30,120.08
2,2022-04-29,120.08
3,2022-04-28,120.08
4,2022-04-27,120.08
5,2022-04-26,120.08
6,2022-04-25,120.08
7,2022-04-24,120.08
8,2022-04-23,120.08
9,2022-04-22,120.08
10,2022-04-21,120.08
11,2022-04-20,120.08
12,2022-04-19,120.08
13,2022-04-18,120.08
14,2022-04-17,120.08
15,2022-04-16,120.08
16,2022-04-15,120.08
17,2022-04-14,120.08
18,2022-04-13,120.08
19,2022-04-12,120.08
20,2022-04-11,120.08
21,2022-04-10,120.08
22,2022-04-09,120.08
23,2022-04-08,120.08
24,2022-04-07,120.08
25,2022-04-06,120.08
26,2022-04-05,119.24
27,2022-04-04,118.41
28,2022-04-03,117.99
29,2022-04-02,117.15
30,2022-04-01,116.32
31,2022-03-31,116.32
32,2022-03-30,115.48
33,2022-03-29,114.64
34,2022-03-28,113.81
35,2022-03-27,113.5
36,2022-03-26,112.97
37,2022-03-25,112.14
38,2022-03-24,111.31
39,2022-03-23,111.31
40,2022-03-22,110.47
41,2022-03-21,109.63
42,2022-03-20,109.63
43,2022-03-19,109.63
44,2022-03-18,109.63
45,2022-03-17,109.63
46,2022-03-16,109.63
47,2022-03-15,109.63
48,2022-03-14,109.63
49,2022-03-13,109.63
50,2022-03-12,109.63
51,2022-03-11,109.63
52,2022-03-10,109.63
53,2022-03-09,109.63
54,2022-03-08,109.63
55,2022-03-07,109.63
56,2022-03-06,109.63
57,2022-03-05,109.63
58,2022-03-04,109.63
59,2022-03-03,109.63
60,2022-03-02,109.63
61,2022-03-01,109.63
62,2022-02-28,109.63
63,2022-02-27,109.63
64,2022-02-26,109.63
65,2022-02-25,109.63
66,2022-02-24,109.63
67,2022-02-23,109.63
68,2022-02-22,109.63
69,2022-02-21,109.63
70,2022-02-20,109.63
71,2022-02-19,109.63
72,2022-02-18,109.63
73,2022-02-17,109.63
74,2022-02-16,109.63
75,2022-02-15,109.63
76,2022-02-14,109.63
77,2022-02-13,109.63
78,2022-02-12,109.63
79,2022-02-11,109.63
80,2022-02-10,109.63
81,2022-02-09,109.63
82,2022-02-08,109.63
83,2022-02-07,109.63
84,2022-02-06,109.63
85,2022-02-05,109.63
86,2022-02-04,109.63
87,2022-02-03,109.63
88,2022-02-02,109.63
89,2022-02-01,109.63
90,2022-01-31,109.63
91,2022-01-30,109.63
92,2022-01-29,109.63
93,2022-01-28,109.63
94,2022-01-27,109.63
95,2022-01-26,109.63
96,2022-01-25,109.63
97,2022-01-24,109.63
98,2022-01-23,109.63
99,2022-01-22,109.63
100,2022-01-21,109.63
101,2022-01-20,109.63
102,2022-01-19,109.63
103,2022-01-18,109.63
104,2022-01-17,109.63
105,2022-01-16,109.63
106,2022-01-15,109.63
107,2022-01-14,109.63
108,2022-01-13,109.63
109,2022-01-12,109.63
110,2022-01-11,109.63
111,2022-01-10,109.63
112,2022-01-09,109.63
113,2022-01-08,109.63
114,2022-01-07,109.63
115,2022-01-06,109.63
116,2022-01-05,109.63
117,2022-01-04,109.63
118,2022-01-03,109.63
119,2022-01-02,109.63
120,2022-01-01,109.63
121,2021-12-31,109.63
122,2021-12-30,109.63
123,2021-12-29,109.63
