,date,price
0,2022-05-01,120.6
1,2022-04-30,120.6
2,2022-04-29,120.6
3,2022-04-28,120.6
4,2022-04-27,120.6
5,2022-04-26,120.6
6,2022-04-25,120.6
7,2022-04-24,120.6
8,2022-04-23,120.6
9,2022-04-22,120.6
10,2022-04-21,120.6
11,2022-04-20,120.6
12,2022-04-19,120.6
13,2022-04-18,120.6
14,2022-04-17,120.6
15,2022-04-16,120.6
16,2022-04-15,120.6
17,2022-04-14,120.6
18,2022-04-13,120.6
19,2022-04-12,120.6
20,2022-04-11,120.6
21,2022-04-10,120.6
22,2022-04-09,120.6
23,2022-04-08,120.6
24,2022-04-07,120.6
25,2022-04-06,120.6
26,2022-04-05,119.76
27,2022-04-04,118.92
28,2022-04-03,118.5
29,2022-04-02,117.65
30,2022-04-01,116.81
31,2022-03-31,116.81
32,2022-03-30,115.97
33,2022-03-29,115.13
34,2022-03-28,114.28
35,2022-03-27,113.97
36,2022-03-26,113.44
37,2022-03-25,112.6
38,2022-03-24,111.76
39,2022-03-23,111.76
40,2022-03-22,110.91
41,2022-03-21,110.06
42,2022-03-20,110.06
43,2022-03-19,110.06
44,2022-03-18,110.06
45,2022-03-17,110.06
46,2022-03-16,110.06
47,2022-03-15,110.06
48,2022-03-14,110.06
49,2022-03-13,110.06
50,2022-03-12,110.06
51,2022-03-11,110.06
52,2022-03-10,110.06
53,2022-03-09,110.06
54,2022-03-08,110.06
55,2022-03-07,110.06
56,2022-03-06,110.06
57,2022-03-05,110.06
58,2022-03-04,110.06
59,2022-03-03,110.06
60,2022-03-02,110.06
61,2022-03-01,110.06
62,2022-02-28,110.06
63,2022-02-27,110.06
64,2022-02-26,110.06
65,2022-02-25,110.06
66,2022-02-24,110.06
67,2022-02-23,110.06
68,2022-02-22,110.06
69,2022-02-21,110.06
70,2022-02-20,110.06
71,2022-02-19,110.06
72,2022-02-18,110.06
73,2022-02-17,110.06
74,2022-02-16,110.06
75,2022-02-15,110.06
76,2022-02-14,110.06
77,2022-02-13,110.06
78,2022-02-12,110.06
79,2022-02-11,110.06
80,2022-02-10,110.06
81,2022-02-09,110.06
82,2022-02-08,110.06
83,2022-02-07,110.06
84,2022-02-06,110.06
85,2022-02-05,110.06
86,2022-02-04,110.06
87,2022-02-03,110.06
88,2022-02-02,110.06
89,2022-02-01,110.06
90,2022-01-31,110.06
91,2022-01-30,110.06
92,2022-01-29,110.06
93,2022-01-28,110.06
94,2022-01-27,110.06
95,2022-01-26,110.06
96,2022-01-25,110.06
97,2022-01-24,110.06
98,2022-01-23,110.06
99,2022-01-22,110.06
100,2022-01-21,110.06
101,2022-01-20,110.06
102,2022-01-19,110.06
103,2022-01-18,110.06
104,2022-01-17,110.06
105,2022-01-16,110.06
106,2022-01-15,110.06
107,2022-01-14,110.06
108,2022-01-13,110.06
109,2022-01-12,110.06
110,2022-01-11,110.06
111,2022-01-10,110.06
112,2022-01-09,110.06
113,2022-01-08,110.06
114,2022-01-07,110.06
115,2022-01-06,110.06
116,2022-01-05,110.06
117,2022-01-04,110.06
118,2022-01-03,110.06
119,2022-01-02,110.06
120,2022-01-01,110.06
121,2021-12-31,110.06
122,2021-12-30,110.06
123,2021-12-29,110.06
124,2021-12-28,110.06
125,2021-12-27,110.06
126,2021-12-26,110.06
127,2021-12-25,110.06
128,2021-12-24,110.06
129,2021-12-23,110.06
130,2021-12-22,110.06
131,2021-12-21,110.06
132,2021-12-20,110.06
133,2021-12-19,110.06
134,2021-12-18,110.06
135,2021-12-17,110.06
136,2021-12-16,110.06
137,2021-12-15,110.06
138,2021-12-14,110.06
139,2021-12-13,110.06
140,2021-12-12,110.06
141,2021-12-11,110.06
142,2021-12-10,110.06
143,2021-12-09,110.06
144,2021-12-08,110.06
145,2021-12-07,110.06
146,2021-12-06,110.06
147,2021-12-05,110.06
148,2021-12-04,110.06
149,2021-12-03,110.06
150,2021-12-02,110.06
151,2021-11-30,110.06
152,2021-11-29,110.06
153,2021-11-28,110.06
154,2021-11-27,110.06
155,2021-11-26,110.06
156,2021-11-25,110.06
157,2021-11-24,110.06
158,2021-11-23,110.06
159,2021-11-22,110.06
160,2021-11-21,110.06
161,2021-11-20,110.06
162,2021-11-19,110.06
163,2021-11-18,110.06
164,2021-11-17,110.06
165,2021-11-16,110.06
166,2021-11-15,110.06
167,2021-11-14,110.06
168,2021-11-13,110.06
169,2021-11-12,110.06
170,2021-11-11,110.06
171,2021-11-10,110.06
172,2021-11-09,110.06
173,2021-11-08,110.06
174,2021-11-07,110.06
175,2021-11-06,110.06
176,2021-11-05,110.06
177,2021-11-04,110.06
178,2021-11-03,115.93
179,2021-11-02,115.93
180,2021-11-01,115.57
181,2021-10-31,115.21
182,2021-10-30,114.87
183,2021-10-29,114.53
184,2021-10-28,114.19
185,2021-10-27,113.86
186,2021-10-26,113.52
187,2021-10-25,113.52
188,2021-10-24,113.52
189,2021-10-23,113.18
190,2021-10-22,112.84
191,2021-10-21,112.5
192,2021-10-20,112.16
193,2021-10-19,111.82
194,2021-10-18,111.82
195,2021-10-15,111.15
196,2021-10-14,110.81
197,2021-10-13,110.47
198,2021-10-12,110.47
199,2021-10-11,110.47
200,2021-10-10,110.18
201,2021-10-09,109.89
202,2021-10-08,109.6
203,2021-10-07,109.31
204,2021-10-06,109.02
205,2021-10-05,108.73
206,2021-10-04,108.49
207,2021-10-03,108.49
208,2021-10-02,108.25
209,2021-10-01,108.01
210,2021-09-30,107.78
211,2021-09-29,107.55
212,2021-09-28,107.55
213,2021-09-27,107.37
214,2021-09-26,107.37
215,2021-09-25,107.37
216,2021-09-24,107.37
217,2021-09-23,107.37
218,2021-09-22,107.37
219,2021-09-21,107.37
220,2021-09-20,107.37
221,2021-09-19,107.37
222,2021-09-18,107.37
223,2021-09-17,107.37
224,2021-09-16,107.37
225,2021-09-15,107.37
226,2021-09-14,107.37
227,2021-09-13,107.37
228,2021-09-12,107.37
229,2021-09-11,107.37
230,2021-09-10,107.37
231,2021-09-09,107.37
232,2021-09-08,107.37
233,2021-09-07,107.37
234,2021-09-06,107.37
235,2021-09-05,107.37
236,2021-09-03,107.52
237,2021-09-02,107.52
238,2021-09-01,107.52
239,2021-08-31,107.68
240,2021-08-30,107.68
241,2021-08-29,107.68
242,2021-08-28,107.68
243,2021-08-27,107.68
244,2021-08-26,107.68
245,2021-08-25,107.68
246,2021-08-24,107.68
247,2021-08-23,107.81
248,2021-08-22,107.81
249,2021-08-21,107.97
250,2021-08-20,107.97
251,2021-08-19,107.97
252,2021-08-18,107.97
253,2021-08-17,107.97
254,2021-08-16,107.97
255,2021-08-15,107.97
256,2021-08-14,107.97
257,2021-08-13,107.97
258,2021-08-12,107.97
259,2021-08-11,107.97
260,2021-08-10,107.97
261,2021-08-09,107.97
262,2021-08-08,107.97
263,2021-08-07,107.97
264,2021-08-06,107.97
265,2021-08-05,107.97
266,2021-08-04,107.97
267,2021-08-03,107.97
268,2021-08-02,107.97
269,2021-08-01,107.97
270,2021-07-31,107.97
271,2021-07-30,107.97
272,2021-07-29,107.97
273,2021-07-28,107.97
274,2021-07-27,107.97
275,2021-07-26,107.97
276,2021-07-25,107.97
277,2021-07-24,107.97
278,2021-07-23,107.97
279,2021-07-22,107.97
280,2021-07-21,107.97
281,2021-07-20,107.97
282,2021-07-19,107.97
283,2021-07-18,107.97
284,2021-07-17,107.97
285,2021-07-16,107.68
286,2021-07-15,107.68
287,2021-07-14,107.34
288,2021-07-13,107.34
289,2021-07-12,107.34
290,2021-07-11,107.07
291,2021-07-10,107.07
292,2021-07-09,106.74
293,2021-07-08,106.74
294,2021-07-07,106.4
295,2021-07-06,106.06
296,2021-07-05,106.06
297,2021-07-04,105.72
298,2021-07-03,105.38
299,2021-07-02,105.38
300,2021-07-01,105.04
301,2021-06-30,105.04
302,2021-06-29,105.04
303,2021-06-28,104.71
304,2021-06-27,104.71
305,2021-06-26,104.37
306,2021-06-25,104.03
307,2021-06-24,104.03
308,2021-06-23,103.78
309,2021-06-22,103.78
310,2021-06-21,103.51
311,2021-06-20,103.51
312,2021-06-19,103.23
313,2021-06-18,103.23
314,2021-06-17,102.97
315,2021-06-16,102.97
316,2021-06-15,102.72
317,2021-06-14,102.72
318,2021-06-13,102.44
319,2021-06-12,102.44
320,2021-06-11,102.18
321,2021-06-10,101.9
322,2021-06-09,101.9
323,2021-06-08,101.66
324,2021-06-07,101.66
325,2021-06-06,101.39
326,2021-06-05,101.13
327,2021-06-04,101.13
328,2021-06-03,100.87
329,2021-06-02,100.87
330,2021-06-01,100.87
331,2021-05-31,100.62
332,2021-05-30,100.34
333,2021-05-29,100.34
334,2021-05-28,99.98
335,2021-05-27,99.98
336,2021-05-26,99.85
337,2021-05-25,99.85
338,2021-05-24,99.63
339,2021-05-23,99.63
340,2021-05-22,99.47
341,2021-05-21,99.47
342,2021-05-20,99.28
343,2021-05-19,99.28
344,2021-05-18,99.28
345,2021-05-17,99.02
346,2021-05-16,99.02
347,2021-05-15,98.79
348,2021-05-14,98.79
349,2021-05-13,98.51
350,2021-05-12,98.51
351,2021-05-11,98.27
352,2021-05-10,98.01
353,2021-05-09,97.75
354,2021-05-08,97.75
355,2021-05-07,97.75
356,2021-05-06,97.48
357,2021-05-05,97.24
358,2021-05-04,97.06
359,2021-05-03,96.89
360,2021-05-02,96.89
361,2021-05-01,96.89
362,2021-04-30,96.89
363,2021-04-29,96.89
364,2021-04-28,96.89
