,date,price
0,2022-05-01,110.26
1,2022-04-30,110.26
2,2022-04-29,110.26
3,2022-04-28,110.26
4,2022-04-27,110.26
5,2022-04-26,110.26
6,2022-04-25,110.26
7,2022-04-24,110.26
8,2022-04-23,110.26
9,2022-04-22,110.26
10,2022-04-21,110.26
11,2022-04-20,110.26
12,2022-04-19,110.26
13,2022-04-18,110.26
14,2022-04-17,110.26
15,2022-04-16,110.26
16,2022-04-15,110.26
17,2022-04-14,110.26
18,2022-04-13,110.26
19,2022-04-12,110.26
20,2022-04-11,110.26
21,2022-04-10,110.26
22,2022-04-09,110.26
23,2022-04-08,110.26
24,2022-04-07,110.26
25,2022-04-06,110.26
26,2022-04-05,109.43
27,2022-04-04,108.59
28,2022-04-03,108.17
29,2022-04-02,107.34
30,2022-04-01,106.5
31,2022-03-31,106.5
32,2022-03-30,105.67
33,2022-03-29,104.83
34,2022-03-28,103.99
35,2022-03-27,103.68
36,2022-03-26,103.16
37,2022-03-25,102.32
38,2022-03-24,101.49
39,2022-03-23,101.49
40,2022-03-22,100.65
41,2022-03-21,99.82
42,2022-03-20,99.82
43,2022-03-19,99.82
44,2022-03-18,99.82
45,2022-03-17,99.82
46,2022-03-16,99.82
47,2022-03-15,99.82
48,2022-03-14,99.82
49,2022-03-13,99.82
50,2022-03-12,99.82
51,2022-03-11,99.82
52,2022-03-10,99.82
53,2022-03-09,99.82
54,2022-03-08,99.82
55,2022-03-07,99.82
56,2022-03-06,99.82
57,2022-03-05,99.82
58,2022-03-04,99.82
59,2022-03-03,99.82
60,2022-03-02,99.82
61,2022-03-01,99.82
62,2022-02-28,99.82
63,2022-02-27,99.82
64,2022-02-26,99.82
65,2022-02-25,99.82
66,2022-02-24,99.82
67,2022-02-23,99.82
68,2022-02-22,99.82
69,2022-02-21,99.82
70,2022-02-20,99.82
71,2022-02-19,99.82
72,2022-02-18,99.82
73,2022-02-17,99.82
74,2022-02-16,99.82
75,2022-02-15,99.82
76,2022-02-14,99.82
77,2022-02-13,99.82
78,2022-02-12,99.82
79,2022-02-11,99.82
80,2022-02-10,99.82
81,2022-02-09,99.82
82,2022-02-08,99.82
83,2022-02-07,99.82
84,2022-02-06,99.82
85,2022-02-05,99.82
86,2022-02-04,99.82
87,2022-02-03,99.82
88,2022-02-02,99.82
89,2022-02-01,99.82
90,2022-01-31,99.82
91,2022-01-30,99.82
92,2022-01-29,99.82
93,2022-01-28,99.82
94,2022-01-27,99.82
95,2022-01-26,99.82
96,2022-01-25,99.82
97,2022-01-24,99.82
98,2022-01-23,99.82
99,2022-01-22,99.82
100,2022-01-21,99.82
101,2022-01-20,99.82
102,2022-01-19,99.82
103,2022-01-18,99.82
104,2022-01-17,99.82
105,2022-01-16,99.82
106,2022-01-15,99.82
107,2022-01-14,99.82
108,2022-01-13,99.82
109,2022-01-12,99.82
110,2022-01-11,99.82
111,2022-01-10,99.82
112,2022-01-09,99.82
113,2022-01-08,99.82
114,2022-01-07,99.82
115,2022-01-06,99.82
116,2022-01-05,99.82
117,2022-01-04,99.82
118,2022-01-03,99.82
119,2022-01-02,99.82
120,2022-01-01,99.82
121,2021-12-31,99.82
122,2021-12-30,99.82
123,2021-12-29,99.82
124,2021-12-28,99.82
125,2021-12-27,99.82
126,2021-12-26,99.82
127,2021-12-25,99.82
128,2021-12-24,99.82
129,2021-12-23,99.82
130,2021-12-22,99.82
131,2021-12-21,99.82
132,2021-12-20,99.82
133,2021-12-19,99.82
134,2021-12-18,99.82
135,2021-12-17,99.82
136,2021-12-16,99.82
137,2021-12-15,99.82
138,2021-12-14,99.82
139,2021-12-13,99.82
140,2021-12-12,99.82
141,2021-12-11,99.82
142,2021-12-10,99.82
143,2021-12-09,99.82
144,2021-12-08,99.82
145,2021-12-07,99.82
146,2021-12-06,99.82
147,2021-12-05,99.82
148,2021-12-04,99.82
149,2021-12-03,99.82
150,2021-12-02,99.82
151,2021-11-30,99.82
152,2021-11-29,99.82
153,2021-11-28,99.82
154,2021-11-27,99.82
155,2021-11-26,99.82
156,2021-11-25,99.82
157,2021-11-24,99.82
158,2021-11-23,99.82
159,2021-11-22,99.82
160,2021-11-21,99.82
161,2021-11-20,99.82
162,2021-11-19,99.82
163,2021-11-18,99.82
164,2021-11-17,99.82
165,2021-11-16,99.82
166,2021-11-15,99.82
167,2021-11-14,99.82
168,2021-11-13,99.82
169,2021-11-12,99.82
170,2021-11-11,99.82
171,2021-11-10,99.82
172,2021-11-09,99.82
173,2021-11-08,99.82
174,2021-11-07,99.82
175,2021-11-06,99.82
176,2021-11-05,99.82
177,2021-11-04,105.27
178,2021-11-03,111.41
179,2021-11-02,111.41
180,2021-11-01,111.05
181,2021-10-31,110.62
182,2021-10-30,110.27
183,2021-10-29,109.91
184,2021-10-28,109.56
185,2021-10-27,109.2
186,2021-10-26,108.85
187,2021-10-25,108.85
188,2021-10-24,108.85
189,2021-10-23,108.5
190,2021-10-22,108.14
191,2021-10-21,107.79
192,2021-10-20,107.43
193,2021-10-13,105.66
194,2021-10-12,105.66
195,2021-10-11,105.66
196,2021-10-10,105.36
197,2021-10-09,105.05
198,2021-10-08,104.74
199,2021-10-07,104.43
200,2021-10-06,104.13
201,2021-10-05,103.83
202,2021-10-04,103.57
203,2021-10-03,103.57
204,2021-10-02,103.32
205,2021-10-01,103.07
206,2021-09-30,102.81
207,2021-09-29,102.56
208,2021-09-28,102.56
209,2021-09-27,102.34
210,2021-09-26,102.34
211,2021-09-25,102.34
212,2021-09-24,102.34
213,2021-09-23,102.34
214,2021-09-22,102.34
215,2021-09-21,102.34
216,2021-09-20,102.34
217,2021-09-19,102.34
218,2021-09-18,102.34
219,2021-09-17,102.34
220,2021-09-16,102.34
221,2021-09-15,102.34
222,2021-09-14,102.34
223,2021-09-13,102.34
224,2021-09-12,102.34
225,2021-09-11,102.34
226,2021-09-10,102.34
227,2021-09-09,102.34
228,2021-09-08,102.34
229,2021-09-07,102.34
230,2021-09-06,102.34
231,2021-09-05,102.34
232,2021-09-03,105.88
233,2021-09-02,105.88
234,2021-09-01,105.88
235,2021-08-31,106.03
236,2021-08-30,106.03
237,2021-08-29,106.03
238,2021-08-28,106.03
239,2021-08-27,106.03
240,2021-08-26,106.03
241,2021-08-25,106.03
242,2021-08-24,106.03
243,2021-08-23,106.18
244,2021-08-22,106.18
245,2021-08-21,106.36
246,2021-08-20,106.36
247,2021-08-19,106.36
248,2021-08-18,106.14
249,2021-08-17,106.14
250,2021-08-16,106.14
251,2021-08-15,106.14
252,2021-08-14,106.14
253,2021-08-13,106.14
254,2021-08-12,106.14
255,2021-08-11,106.14
256,2021-08-10,106.14
257,2021-08-09,106.14
258,2021-08-08,106.14
259,2021-08-07,106.14
260,2021-08-06,106.14
261,2021-08-05,106.14
262,2021-08-04,106.14
263,2021-08-03,106.14
264,2021-08-02,106.14
265,2021-08-01,106.14
266,2021-07-31,106.14
267,2021-07-30,106.14
268,2021-07-29,106.14
269,2021-07-28,106.14
270,2021-07-27,106.14
271,2021-07-26,106.14
272,2021-07-25,106.14
273,2021-07-24,106.14
274,2021-07-23,106.14
275,2021-07-22,106.14
276,2021-07-21,106.14
277,2021-07-20,106.14
278,2021-07-19,106.14
279,2021-07-18,106.14
280,2021-07-17,106.14
281,2021-07-16,105.83
282,2021-07-15,105.83
283,2021-07-14,105.46
284,2021-07-13,105.46
285,2021-07-12,105.46
286,2021-07-11,105.17
287,2021-07-10,105.17
288,2021-07-09,104.8
289,2021-07-08,104.8
290,2021-07-07,104.44
291,2021-07-06,104.07
292,2021-07-05,104.07
293,2021-07-04,103.7
294,2021-07-03,103.34
295,2021-07-02,103.34
296,2021-07-01,102.97
297,2021-06-30,102.97
298,2021-06-29,102.97
299,2021-06-28,102.6
300,2021-06-27,102.6
301,2021-06-26,102.24
302,2021-06-25,101.87
303,2021-06-24,101.87
304,2021-06-23,101.6
305,2021-06-22,101.6
306,2021-06-21,101.31
307,2021-06-20,101.31
308,2021-06-19,101
309,2021-06-18,101
310,2021-06-17,100.72
311,2021-06-16,100.72
312,2021-06-15,100.46
313,2021-06-14,100.46
314,2021-06-13,100.15
315,2021-06-12,100.15
316,2021-06-11,99.87
317,2021-06-10,99.57
318,2021-06-09,99.57
319,2021-06-08,99.3
320,2021-06-07,99.3
321,2021-06-06,98.98
322,2021-06-05,98.73
323,2021-06-04,98.73
324,2021-06-03,98.45
325,2021-06-02,98.45
326,2021-06-01,98.45
327,2021-05-31,98.17
328,2021-05-30,97.87
329,2021-05-29,97.87
330,2021-05-28,97.6
331,2021-05-27,97.6
332,2021-05-26,97.35
333,2021-05-25,97.35
334,2021-05-24,97.11
335,2021-05-23,97.11
336,2021-05-22,98.93
337,2021-05-21,98.93
338,2021-05-20,96.73
339,2021-05-19,96.73
340,2021-05-18,96.73
341,2021-05-17,96.45
342,2021-05-16,96.45
343,2021-05-15,96.19
344,2021-05-14,96.19
345,2021-05-13,95.89
346,2021-05-12,95.89
347,2021-05-11,95.63
348,2021-05-10,95.35
349,2021-05-09,95.08
350,2021-05-08,95.08
351,2021-05-07,95.08
352,2021-05-06,94.79
353,2021-05-05,94.55
354,2021-05-04,94.37
355,2021-05-03,94.23
356,2021-05-02,94.23
357,2021-05-01,94.23
358,2021-04-30,94.23
359,2021-04-29,94.23
360,2021-04-28,94.23
361,2021-04-27,94.23
362,2021-04-26,94.23
363,2021-04-25,94.23
364,2021-04-24,94.23
