,date,price
0,2022-05-01,115.43
1,2022-04-30,115.43
2,2022-04-29,115.43
3,2022-04-28,115.43
4,2022-04-27,115.43
5,2022-04-26,115.43
6,2022-04-25,115.43
7,2022-04-24,115.43
8,2022-04-23,115.43
9,2022-04-22,115.43
10,2022-04-21,115.43
11,2022-04-20,115.43
12,2022-04-19,115.43
13,2022-04-18,115.43
14,2022-04-17,115.43
15,2022-04-16,115.43
16,2022-04-15,115.43
17,2022-04-14,115.43
18,2022-04-13,115.43
19,2022-04-12,115.43
20,2022-04-11,115.43
21,2022-04-10,115.43
22,2022-04-09,115.43
23,2022-04-08,115.43
24,2022-04-07,115.43
25,2022-04-06,115.43
26,2022-04-05,114.57
27,2022-04-04,113.72
28,2022-04-03,113.29
29,2022-04-02,112.43
30,2022-04-01,111.58
31,2022-03-31,111.58
32,2022-03-30,110.72
33,2022-03-29,109.86
34,2022-03-28,109.01
35,2022-03-27,108.69
36,2022-03-26,108.15
37,2022-03-25,107.39
38,2022-03-24,106.54
39,2022-03-23,106.54
40,2022-03-22,105.68
41,2022-03-21,104.82
42,2022-03-20,104.82
43,2022-03-19,104.82
44,2022-03-18,104.82
45,2022-03-17,104.82
46,2022-03-16,104.82
47,2022-03-15,104.82
48,2022-03-14,104.82
49,2022-03-13,104.82
50,2022-03-12,104.82
51,2022-03-11,104.82
52,2022-03-10,104.82
53,2022-03-09,104.82
54,2022-03-08,104.82
55,2022-03-07,104.82
56,2022-03-06,104.82
57,2022-03-05,104.82
58,2022-03-04,104.82
59,2022-03-03,104.82
60,2022-03-02,104.82
61,2022-03-01,104.82
62,2022-02-28,104.82
63,2022-02-27,104.82
64,2022-02-26,104.82
65,2022-02-25,104.82
66,2022-02-24,104.82
67,2022-02-23,104.82
68,2022-02-22,104.82
69,2022-02-21,104.82
70,2022-02-20,104.82
71,2022-02-19,104.82
72,2022-02-18,104.82
73,2022-02-17,104.82
74,2022-02-16,104.82
75,2022-02-15,104.82
76,2022-02-14,104.82
77,2022-02-13,104.82
78,2022-02-12,104.82
79,2022-02-11,104.82
80,2022-02-10,104.82
81,2022-02-09,104.82
82,2022-02-08,104.82
83,2022-02-07,104.82
84,2022-02-06,104.82
85,2022-02-05,104.82
86,2022-02-04,104.82
87,2022-02-03,104.82
88,2022-02-02,104.82
89,2022-02-01,104.82
90,2022-01-31,104.82
91,2022-01-30,104.82
92,2022-01-29,104.82
93,2022-01-28,104.82
94,2022-01-27,104.82
95,2022-01-26,104.82
96,2022-01-25,104.82
97,2022-01-24,104.82
98,2022-01-23,104.82
99,2022-01-22,104.82
100,2022-01-21,104.82
101,2022-01-20,104.82
102,2022-01-19,104.82
103,2022-01-18,104.82
104,2022-01-17,104.82
105,2022-01-16,104.82
106,2022-01-15,104.82
107,2022-01-14,104.82
108,2022-01-13,104.82
109,2022-01-12,104.82
110,2022-01-11,104.82
111,2022-01-10,104.82
112,2022-01-09,104.82
113,2022-01-08,104.82
114,2022-01-07,104.82
115,2022-01-06,104.82
116,2022-01-05,104.82
117,2022-01-04,104.82
118,2022-01-03,104.82
119,2022-01-02,104.82
120,2022-01-01,104.82
121,2021-12-31,104.82
122,2021-12-30,104.82
123,2021-12-29,104.82
124,2021-12-28,104.82
125,2021-12-27,104.82
126,2021-12-26,104.82
127,2021-12-25,104.82
128,2021-12-24,104.82
129,2021-12-23,104.82
130,2021-12-22,104.82
131,2021-12-21,104.82
132,2021-12-20,104.82
133,2021-12-19,104.82
134,2021-12-18,104.82
135,2021-12-17,104.82
136,2021-12-16,104.82
137,2021-12-15,104.82
138,2021-12-14,104.82
139,2021-12-13,104.82
140,2021-12-12,104.82
141,2021-12-11,104.82
142,2021-12-10,104.82
143,2021-12-09,104.82
144,2021-12-08,104.82
145,2021-12-07,104.82
146,2021-12-06,104.82
147,2021-12-05,104.82
148,2021-12-04,104.82
