,date,price
0,2022-05-01,112.48
1,2022-04-30,112.48
2,2022-04-29,112.48
3,2022-04-28,112.48
4,2022-04-27,112.48
5,2022-04-26,112.48
6,2022-04-25,112.48
7,2022-04-24,112.48
8,2022-04-23,112.48
9,2022-04-22,112.48
10,2022-04-21,112.48
11,2022-04-20,112.48
12,2022-04-19,112.48
13,2022-04-18,112.48
14,2022-04-17,112.48
15,2022-04-16,112.48
16,2022-04-15,112.48
17,2022-04-14,112.48
18,2022-04-13,112.48
19,2022-04-12,112.48
20,2022-04-11,112.48
21,2022-04-10,112.48
22,2022-04-09,112.48
23,2022-04-08,112.48
24,2022-04-07,112.48
25,2022-04-06,112.48
26,2022-04-05,111.62
27,2022-04-04,110.77
28,2022-04-03,110.34
29,2022-04-02,109.48
30,2022-04-01,108.63
31,2022-03-31,108.63
32,2022-03-30,107.77
33,2022-03-29,106.91
34,2022-03-28,106.06
35,2022-03-27,105.74
36,2022-03-26,105.2
37,2022-03-25,104.35
38,2022-03-24,103.49
39,2022-03-23,103.49
40,2022-03-22,102.64
41,2022-03-21,101.78
42,2022-03-20,101.78
43,2022-03-19,101.78
44,2022-03-18,101.78
45,2022-03-17,101.78
46,2022-03-16,101.78
47,2022-03-15,101.78
48,2022-03-14,101.78
49,2022-03-13,101.78
50,2022-03-12,101.78
51,2022-03-11,101.78
52,2022-03-10,101.78
53,2022-03-09,101.78
54,2022-03-08,101.78
55,2022-03-07,101.78
56,2022-03-06,101.78
57,2022-03-05,101.78
58,2022-03-04,101.78
59,2022-03-03,101.78
60,2022-03-02,101.78
61,2022-03-01,101.78
62,2022-02-28,101.78
63,2022-02-27,101.78
64,2022-02-26,101.78
65,2022-02-25,101.78
66,2022-02-24,101.78
67,2022-02-23,101.78
68,2022-02-22,101.78
69,2022-02-21,101.78
70,2022-02-20,101.78
71,2022-02-19,101.78
72,2022-02-18,101.78
73,2022-02-17,101.78
74,2022-02-16,101.78
75,2022-02-15,101.78
76,2022-02-14,101.78
77,2022-02-13,101.78
78,2022-02-12,101.78
79,2022-02-11,101.78
80,2022-02-10,101.78
81,2022-02-09,101.78
82,2022-02-08,101.78
83,2022-02-07,101.78
84,2022-02-06,101.78
85,2022-02-05,101.78
86,2022-02-04,101.78
87,2022-02-03,101.78
88,2022-02-02,101.78
89,2022-02-01,101.78
90,2022-01-31,101.78
91,2022-01-30,101.78
92,2022-01-29,101.78
93,2022-01-28,101.78
94,2022-01-27,101.78
95,2022-01-26,101.78
96,2022-01-25,101.78
97,2022-01-24,101.78
98,2022-01-23,101.78
99,2022-01-22,101.78
100,2022-01-21,101.78
101,2022-01-20,101.78
102,2022-01-19,101.78
103,2022-01-18,101.78
104,2022-01-17,101.78
105,2022-01-16,101.78
106,2022-01-15,101.78
107,2022-01-14,101.78
108,2022-01-13,101.78
109,2022-01-12,101.78
110,2022-01-11,101.78
111,2022-01-10,101.78
112,2022-01-09,101.78
113,2022-01-08,101.78
114,2022-01-07,101.78
115,2022-01-06,101.78
116,2022-01-05,101.78
117,2022-01-04,101.78
118,2022-01-03,101.78
119,2022-01-02,101.78
120,2022-01-01,101.78
121,2021-12-31,101.78
122,2021-12-30,101.78
123,2021-12-29,101.78
124,2021-12-28,101.78
125,2021-12-27,101.78
126,2021-12-26,101.78
127,2021-12-25,101.78
128,2021-12-24,101.78
129,2021-12-23,101.78
130,2021-12-22,101.78
131,2021-12-21,101.78
132,2021-12-20,101.78
133,2021-12-19,101.78
134,2021-12-18,101.78
135,2021-12-17,101.78
