,date,price
0,2022-05-01,114.94
1,2022-04-30,114.94
2,2022-04-29,114.94
3,2022-04-28,114.94
4,2022-04-27,114.94
5,2022-04-26,114.94
6,2022-04-25,114.94
7,2022-04-24,114.94
8,2022-04-23,114.94
9,2022-04-22,114.94
10,2022-04-21,114.94
11,2022-04-20,114.94
12,2022-04-19,114.94
13,2022-04-18,114.94
14,2022-04-17,114.94
15,2022-04-16,114.94
16,2022-04-15,114.94
17,2022-04-14,114.94
18,2022-04-13,114.94
19,2022-04-12,114.94
20,2022-04-11,114.94
21,2022-04-10,114.94
22,2022-04-09,114.94
23,2022-04-08,114.94
24,2022-04-07,114.94
25,2022-04-06,114.94
26,2022-04-05,114.09
27,2022-04-04,113.23
28,2022-04-03,112.8
29,2022-04-02,111.95
30,2022-04-01,111.09
31,2022-03-31,111.09
32,2022-03-30,110.23
33,2022-03-29,109.38
34,2022-03-28,108.52
35,2022-03-27,108.2
36,2022-03-26,107.67
37,2022-03-25,106.89
38,2022-03-24,106.04
39,2022-03-23,106.04
40,2022-03-22,105.18
41,2022-03-21,104.32
42,2022-03-20,104.32
43,2022-03-19,104.32
44,2022-03-18,104.32
45,2022-03-17,104.32
46,2022-03-16,104.32
47,2022-03-15,104.32
48,2022-03-14,104.32
49,2022-03-13,104.32
50,2022-03-12,104.32
51,2022-03-11,104.32
52,2022-03-10,104.32
53,2022-03-09,104.32
54,2022-03-08,104.32
55,2022-03-07,104.32
56,2022-03-06,104.32
57,2022-03-05,104.32
58,2022-03-04,104.32
59,2022-03-03,104.32
60,2022-03-02,104.32
61,2022-03-01,104.32
62,2022-02-28,104.32
63,2022-02-27,104.32
64,2022-02-26,104.32
65,2022-02-25,104.32
66,2022-02-24,104.32
67,2022-02-23,104.32
68,2022-02-22,104.32
69,2022-02-21,104.32
70,2022-02-20,104.32
71,2022-02-19,104.32
72,2022-02-18,104.32
73,2022-02-17,104.32
74,2022-02-16,104.32
75,2022-02-15,104.32
76,2022-02-14,104.32
77,2022-02-13,104.32
78,2022-02-12,104.32
79,2022-02-11,104.32
80,2022-02-10,104.32
81,2022-02-09,104.32
82,2022-02-08,104.32
83,2022-02-07,104.32
84,2022-02-06,104.32
85,2022-02-05,104.32
86,2022-02-04,104.32
87,2022-02-03,104.32
88,2022-02-02,104.32
89,2022-02-01,104.32
90,2022-01-31,104.32
91,2022-01-30,104.32
92,2022-01-29,104.32
93,2022-01-28,104.32
94,2022-01-27,104.32
95,2022-01-26,104.32
96,2022-01-25,104.32
97,2022-01-24,104.32
98,2022-01-23,104.32
99,2022-01-22,104.32
100,2022-01-21,104.32
101,2022-01-20,104.32
102,2022-01-19,104.32
103,2022-01-18,104.32
104,2022-01-17,104.32
105,2022-01-16,104.32
106,2022-01-15,104.32
107,2022-01-14,104.32
108,2022-01-13,104.32
109,2022-01-12,104.32
110,2022-01-11,104.32
111,2022-01-10,104.32
112,2022-01-09,104.32
113,2022-01-08,104.32
114,2022-01-07,104.32
115,2022-01-06,104.32
116,2022-01-05,104.32
117,2022-01-04,104.32
118,2022-01-03,104.32
119,2022-01-02,104.32
120,2022-01-01,104.32
121,2021-12-31,104.32
122,2021-12-30,104.32
123,2021-12-29,104.32
124,2021-12-28,104.32
125,2021-12-27,104.32
126,2021-12-26,104.32
127,2021-12-25,104.32
128,2021-12-24,104.32
129,2021-12-23,104.32
130,2021-12-22,104.32
131,2021-12-21,104.32
132,2021-12-20,104.32
133,2021-12-19,104.32
134,2021-12-18,104.32
135,2021-12-17,104.32
136,2021-12-16,104.32
137,2021-12-15,104.32
138,2021-12-14,104.32
139,2021-12-13,104.32
140,2021-12-12,104.32
141,2021-12-11,104.32
142,2021-12-10,104.32
143,2021-12-09,104.32
144,2021-12-08,104.32
145,2021-12-07,104.32
146,2021-12-06,104.32
147,2021-12-05,104.32
148,2021-12-04,104.32
149,2021-12-03,104.32
150,2021-12-02,104.32
151,2021-11-30,104.32
152,2021-11-29,104.32
