,date,price
0,2022-05-01,112.5
1,2022-04-30,112.5
2,2022-04-29,112.5
3,2022-04-28,112.5
4,2022-04-27,112.5
5,2022-04-26,112.5
6,2022-04-25,112.5
7,2022-04-24,112.5
8,2022-04-23,112.5
9,2022-04-22,112.5
10,2022-04-21,112.5
11,2022-04-20,112.5
12,2022-04-19,112.5
13,2022-04-18,112.5
14,2022-04-17,112.5
15,2022-04-16,112.5
16,2022-04-15,112.5
17,2022-04-14,112.5
18,2022-04-13,112.5
19,2022-04-12,112.5
20,2022-04-11,112.5
21,2022-04-10,112.5
22,2022-04-09,112.5
23,2022-04-08,112.5
24,2022-04-07,112.5
25,2022-04-06,112.5
26,2022-04-05,111.65
27,2022-04-04,110.79
28,2022-04-03,110.36
29,2022-04-02,109.51
30,2022-04-01,108.65
31,2022-03-31,108.65
32,2022-03-30,107.79
33,2022-03-29,106.94
34,2022-03-28,106.08
35,2022-03-27,105.76
36,2022-03-26,105.23
37,2022-03-25,104.37
38,2022-03-24,103.52
39,2022-03-23,103.52
40,2022-03-22,102.66
41,2022-03-21,101.8
42,2022-03-20,101.8
43,2022-03-19,101.8
44,2022-03-18,101.8
45,2022-03-17,101.8
46,2022-03-16,101.8
47,2022-03-15,101.8
48,2022-03-14,101.8
49,2022-03-13,101.8
50,2022-03-12,101.8
51,2022-03-11,101.8
52,2022-03-10,101.8
53,2022-03-09,101.8
54,2022-03-08,101.8
55,2022-03-07,101.8
56,2022-03-06,101.8
57,2022-03-05,101.8
58,2022-03-04,101.8
59,2022-03-03,101.8
60,2022-03-02,101.8
61,2022-03-01,101.8
62,2022-02-28,101.8
63,2022-02-27,101.8
64,2022-02-26,101.8
65,2022-02-25,101.8
66,2022-02-24,101.8
67,2022-02-23,101.8
68,2022-02-22,101.8
69,2022-02-21,101.8
70,2022-02-20,101.8
71,2022-02-19,101.8
72,2022-02-18,101.8
73,2022-02-17,101.8
74,2022-02-16,101.8
75,2022-02-15,101.8
76,2022-02-14,101.8
77,2022-02-13,101.8
78,2022-02-12,101.8
79,2022-02-11,101.8
80,2022-02-10,101.8
81,2022-02-09,101.8
82,2022-02-08,101.8
83,2022-02-07,101.8
84,2022-02-06,101.8
85,2022-02-05,101.8
86,2022-02-04,101.8
87,2022-02-03,101.8
88,2022-02-02,101.8
89,2022-02-01,101.8
90,2022-01-31,101.8
91,2022-01-30,101.8
92,2022-01-29,101.8
93,2022-01-28,101.8
94,2022-01-27,101.8
95,2022-01-26,101.8
96,2022-01-25,101.8
97,2022-01-24,101.8
98,2022-01-23,101.8
99,2022-01-22,101.8
100,2022-01-21,101.8
101,2022-01-20,101.8
102,2022-01-19,101.8
103,2022-01-18,101.8
104,2022-01-17,101.8
105,2022-01-16,101.8
106,2022-01-15,101.8
107,2022-01-14,101.8
108,2022-01-13,101.8
109,2022-01-12,101.8
110,2022-01-11,101.8
111,2022-01-10,101.8
