,date,price
0,2022-05-01,61.4
1,2022-04-30,61.4
2,2022-04-29,61.4
3,2022-04-28,61.4
4,2022-04-27,61.4
5,2022-04-26,61.4
6,2022-04-25,61.4
7,2022-04-24,61.4
8,2022-04-23,61.4
9,2022-04-22,61.4
10,2022-04-21,61.4
11,2022-04-20,61.4
12,2022-04-19,61.4
13,2022-04-18,61.4
14,2022-04-17,61.4
15,2022-04-16,61.4
16,2022-04-15,61.4
17,2022-04-14,61.4
18,2022-04-13,61.4
19,2022-04-12,61.4
20,2022-04-11,61.4
21,2022-04-10,61.4
22,2022-04-09,61.4
23,2022-04-08,61.4
24,2022-04-07,61.4
25,2022-04-06,61.4
26,2022-04-05,61.4
27,2022-04-04,61.4
28,2022-04-03,61.4
29,2022-04-02,61.4
30,2022-04-01,61.4
31,2022-03-31,61.4
32,2022-03-30,61.4
33,2022-03-29,61.4
34,2022-03-28,61.4
35,2022-03-27,61.4
36,2022-03-26,61.4
37,2022-03-25,61.4
38,2022-03-24,61.4
39,2022-03-23,61.4
40,2022-03-22,61.4
41,2022-03-21,61.4
42,2022-03-20,61.4
43,2022-03-19,61.4
44,2022-03-18,61.4
45,2022-03-17,61.4
46,2022-03-16,61.4
47,2022-03-15,61.4
48,2022-03-14,61.4
49,2022-03-13,61.4
50,2022-03-12,61.4
51,2022-03-11,61.4
52,2022-03-10,61.4
53,2022-03-09,61.4
54,2022-03-08,61.4
55,2022-03-07,61.4
56,2022-03-06,61.4
57,2022-03-05,61.4
58,2022-03-04,61.4
59,2022-03-03,61.4
60,2022-03-02,61.4
61,2022-03-01,61.4
62,2022-02-28,61.4
63,2022-02-27,61.4
64,2022-02-26,61.4
65,2022-02-25,61.4
66,2022-02-24,61.4
67,2022-02-23,61.4
68,2022-02-22,61.4
69,2022-02-21,61.4
70,2022-02-20,61.4
71,2022-02-19,61.4
72,2022-02-18,61.4
73,2022-02-17,61.4
74,2022-02-16,61.4
75,2022-02-15,61.4
76,2022-02-14,61.4
77,2022-02-13,61.4
78,2022-02-12,61.4
79,2022-02-11,61.4
80,2022-02-10,61.4
81,2022-02-09,61.4
82,2022-02-08,61.4
83,2022-02-07,61.4
84,2022-02-06,61.4
85,2022-02-05,61.4
86,2022-02-04,61.4
87,2022-02-03,61.4
88,2022-02-02,61.4
89,2022-02-01,61.4
90,2022-01-31,61.4
91,2022-01-30,61.4
92,2022-01-29,61.4
93,2022-01-28,61.4
94,2022-01-27,61.4
95,2022-01-26,61.4
96,2022-01-25,61.4
97,2022-01-24,61.4
98,2022-01-23,61.4
99,2022-01-22,61.4
100,2022-01-21,61.4
101,2022-01-20,61.4
102,2022-01-19,61.4
103,2022-01-18,61.4
104,2022-01-17,61.4
105,2022-01-16,61.4
106,2022-01-15,61.4
107,2022-01-14,61.4
108,2022-01-13,61.4
109,2022-01-12,61.4
110,2022-01-11,61.4
111,2022-01-10,61.4
112,2022-01-09,61.4
113,2022-01-08,61.4
114,2022-01-07,61.4
115,2022-01-06,61.4
116,2022-01-05,61.4
117,2022-01-04,61.4
118,2022-01-03,61.4
119,2022-01-02,61.4
120,2022-01-01,61.4
121,2021-12-31,61.4
122,2021-12-30,61.4
123,2021-12-29,61.4
124,2021-12-28,61.4
125,2021-12-27,61.4
126,2021-12-26,61.4
127,2021-12-25,61.4
128,2021-12-24,61.4
129,2021-12-23,61.4
130,2021-12-22,61.4
131,2021-12-21,61.4
132,2021-12-20,61.4
133,2021-12-19,61.4
134,2021-12-18,61.4
135,2021-12-17,61.4
136,2021-12-16,61.4
137,2021-12-15,61.4
138,2021-12-14,61.4
139,2021-12-13,61.4
140,2021-12-12,61.4
141,2021-12-11,61.4
142,2021-12-10,61.4
143,2021-12-09,61.4
144,2021-12-08,61.4
145,2021-12-07,61.4
146,2021-12-06,61.4
147,2021-12-05,61.4
148,2021-12-04,61.4
149,2021-12-03,61.4
150,2021-12-02,61.4
151,2021-11-30,61.4
152,2021-11-29,61.4
153,2021-11-28,61.4
154,2021-11-27,61.4
155,2021-11-26,61.4
