,date,price
0,2022-05-01,105.16
1,2022-04-30,105.16
2,2022-04-29,105.16
3,2022-04-28,105.16
4,2022-04-27,105.16
5,2022-04-26,105.16
6,2022-04-25,105.16
7,2022-04-24,105.16
8,2022-04-23,105.16
9,2022-04-22,105.16
10,2022-04-21,105.16
11,2022-04-20,105.16
12,2022-04-19,105.16
13,2022-04-18,105.16
14,2022-04-17,105.16
15,2022-04-16,105.16
16,2022-04-15,105.16
17,2022-04-14,105.16
18,2022-04-13,105.16
19,2022-04-12,105.16
20,2022-04-11,105.16
21,2022-04-10,105.16
22,2022-04-09,105.16
23,2022-04-08,105.16
24,2022-04-07,105.16
25,2022-04-06,105.16
26,2022-04-05,104.38
27,2022-04-04,103.59
28,2022-04-03,103.2
29,2022-04-02,102.41
30,2022-04-01,101.63
31,2022-03-31,101.63
32,2022-03-30,100.84
33,2022-03-29,100.05
34,2022-03-28,99.27
35,2022-03-27,98.97
36,2022-03-26,98.48
37,2022-03-25,97.75
38,2022-03-24,96.96
39,2022-03-23,96.96
40,2022-03-22,96.17
41,2022-03-21,95.39
42,2022-03-20,95.39
43,2022-03-19,95.39
44,2022-03-18,95.39
45,2022-03-17,95.39
46,2022-03-16,95.39
47,2022-03-15,95.39
48,2022-03-14,95.39
49,2022-03-13,95.39
50,2022-03-12,95.39
51,2022-03-11,95.39
52,2022-03-10,95.39
53,2022-03-09,95.39
54,2022-03-08,95.39
55,2022-03-07,95.39
56,2022-03-06,95.39
57,2022-03-05,95.39
58,2022-03-04,95.39
59,2022-03-03,95.39
60,2022-03-02,95.39
61,2022-03-01,95.39
62,2022-02-28,95.39
63,2022-02-27,95.39
64,2022-02-26,95.39
65,2022-02-25,95.39
66,2022-02-24,95.39
67,2022-02-23,95.39
68,2022-02-22,95.39
69,2022-02-21,95.39
70,2022-02-20,95.39
71,2022-02-19,95.39
72,2022-02-18,95.39
73,2022-02-17,95.39
74,2022-02-16,95.39
75,2022-02-15,95.39
76,2022-02-14,95.39
77,2022-02-13,95.39
78,2022-02-12,95.39
79,2022-02-11,95.39
80,2022-02-10,95.39
81,2022-02-09,95.39
82,2022-02-08,95.39
83,2022-02-07,95.39
84,2022-02-06,95.39
85,2022-02-05,95.39
86,2022-02-04,95.39
87,2022-02-03,95.39
88,2022-02-02,95.39
89,2022-02-01,95.39
90,2022-01-31,95.39
91,2022-01-30,95.39
92,2022-01-29,95.39
93,2022-01-28,95.39
94,2022-01-27,95.39
95,2022-01-26,95.39
96,2022-01-25,95.39
97,2022-01-24,95.39
98,2022-01-23,95.39
99,2022-01-22,95.39
100,2022-01-21,95.39
101,2022-01-20,95.39
102,2022-01-19,95.39
103,2022-01-18,95.39
104,2022-01-17,95.39
105,2022-01-16,95.39
106,2022-01-15,95.39
107,2022-01-14,95.39
108,2022-01-13,95.39
109,2022-01-12,95.39
110,2022-01-11,95.39
111,2022-01-10,95.39
112,2022-01-09,95.39
113,2022-01-08,95.39
114,2022-01-07,95.39
115,2022-01-06,95.39
116,2022-01-05,95.39
117,2022-01-04,95.39
118,2022-01-03,95.39
119,2022-01-02,95.39
120,2022-01-01,95.39
121,2021-12-31,95.39
122,2021-12-30,95.39
123,2021-12-29,95.39
124,2021-12-28,95.39
125,2021-12-27,95.39
126,2021-12-26,95.39
127,2021-12-25,95.39
128,2021-12-24,95.39
129,2021-12-23,95.39
130,2021-12-22,95.39
131,2021-12-21,95.39
132,2021-12-20,95.39
133,2021-12-19,95.39
134,2021-12-18,95.39
135,2021-12-17,95.39
136,2021-12-16,95.39
137,2021-12-15,95.39
138,2021-12-14,95.39
139,2021-12-13,95.39
140,2021-12-12,95.39
141,2021-12-11,95.39
142,2021-12-10,95.39
143,2021-12-09,95.39
144,2021-12-08,95.39
145,2021-12-07,95.39
146,2021-12-06,95.39
147,2021-12-05,95.39
148,2021-12-04,95.39
149,2021-12-03,95.39
150,2021-12-02,95.39
151,2021-11-30,95.39
152,2021-11-29,95.39
153,2021-11-28,95.39
154,2021-11-27,95.39
155,2021-11-26,95.39
156,2021-11-25,95.39
157,2021-11-24,95.39
158,2021-11-23,95.39
159,2021-11-22,95.39
160,2021-11-21,95.39
161,2021-11-20,95.39
162,2021-11-19,95.39
163,2021-11-18,95.39
164,2021-11-17,95.39
165,2021-11-16,95.39
166,2021-11-15,95.39
167,2021-11-14,95.39
168,2021-11-13,95.39
169,2021-11-12,95.39
170,2021-11-11,95.39
171,2021-11-10,95.39
172,2021-11-09,95.39
173,2021-11-08,95.39
174,2021-11-07,95.39
175,2021-11-06,95.39
176,2021-11-05,95.39
177,2021-11-04,102.37
178,2021-11-03,108.25
179,2021-11-02,108.25
