,date,price
0,2022-05-01,105.3
1,2022-04-30,105.3
2,2022-04-29,105.3
3,2022-04-28,105.3
4,2022-04-27,105.3
5,2022-04-26,105.3
6,2022-04-25,105.3
7,2022-04-24,105.3
8,2022-04-23,105.3
9,2022-04-22,105.3
10,2022-04-21,105.3
11,2022-04-20,105.3
12,2022-04-19,105.3
13,2022-04-18,105.3
14,2022-04-17,105.3
15,2022-04-16,105.3
16,2022-04-15,105.3
17,2022-04-14,105.3
18,2022-04-13,105.3
19,2022-04-12,105.3
20,2022-04-11,105.3
21,2022-04-10,105.3
22,2022-04-09,105.3
23,2022-04-08,105.3
24,2022-04-07,105.3
25,2022-04-06,105.3
26,2022-04-05,104.52
27,2022-04-04,103.75
28,2022-04-03,103.37
29,2022-04-02,102.6
30,2022-04-01,101.82
31,2022-03-31,101.82
32,2022-03-30,101.05
33,2022-03-29,100.28
34,2022-03-28,99.51
35,2022-03-27,99.22
36,2022-03-26,98.74
37,2022-03-25,97.99
38,2022-03-24,97.22
39,2022-03-23,97.22
40,2022-03-22,96.45
41,2022-03-21,95.68
42,2022-03-20,95.68
43,2022-03-19,95.68
44,2022-03-18,95.68
45,2022-03-17,95.68
46,2022-03-16,95.68
47,2022-03-15,95.68
48,2022-03-14,95.68
49,2022-03-13,95.68
50,2022-03-12,95.68
51,2022-03-11,95.68
52,2022-03-10,95.68
53,2022-03-09,95.68
54,2022-03-08,95.68
55,2022-03-07,95.68
56,2022-03-06,95.68
57,2022-03-05,95.68
58,2022-03-04,95.68
59,2022-03-03,95.68
60,2022-03-02,95.68
61,2022-03-01,95.68
62,2022-02-28,95.68
63,2022-02-27,95.68
64,2022-02-26,95.68
65,2022-02-25,95.68
66,2022-02-24,95.68
67,2022-02-23,95.68
68,2022-02-22,95.68
69,2022-02-21,95.68
70,2022-02-20,95.68
71,2022-02-19,95.68
72,2022-02-18,95.68
73,2022-02-17,95.68
74,2022-02-16,95.68
75,2022-02-15,95.68
76,2022-02-14,95.68
77,2022-02-13,95.68
78,2022-02-12,95.68
79,2022-02-11,95.68
80,2022-02-10,95.68
81,2022-02-09,95.68
82,2022-02-08,95.68
83,2022-02-07,95.68
84,2022-02-06,95.68
