,date,price
0,2022-05-01,104.54
1,2022-04-30,104.54
2,2022-04-29,104.54
3,2022-04-28,104.54
4,2022-04-27,104.54
5,2022-04-26,104.54
6,2022-04-25,104.54
7,2022-04-24,104.54
8,2022-04-23,104.54
9,2022-04-22,104.54
10,2022-04-21,104.54
11,2022-04-20,104.54
12,2022-04-19,104.54
13,2022-04-18,104.54
14,2022-04-17,104.54
15,2022-04-16,104.54
16,2022-04-15,104.54
17,2022-04-14,104.54
18,2022-04-13,104.54
19,2022-04-12,104.54
20,2022-04-11,104.54
21,2022-04-10,104.54
22,2022-04-09,104.54
23,2022-04-08,104.54
24,2022-04-07,104.54
25,2022-04-06,104.54
26,2022-04-05,103.77
27,2022-04-04,103
28,2022-04-03,102.62
29,2022-04-02,101.85
30,2022-04-01,101.07
31,2022-03-31,101.07
32,2022-03-30,100.3
33,2022-03-29,99.53
34,2022-03-28,98.76
35,2022-03-27,98.47
36,2022-03-26,97.99
37,2022-03-25,97.22
38,2022-03-24,96.45
39,2022-03-23,96.45
40,2022-03-22,95.68
41,2022-03-21,94.92
42,2022-03-20,94.92
43,2022-03-19,94.92
44,2022-03-18,94.92
45,2022-03-17,94.92
46,2022-03-16,94.92
47,2022-03-15,94.92
48,2022-03-14,94.92
49,2022-03-13,94.92
50,2022-03-12,94.92
51,2022-03-11,94.92
52,2022-03-10,94.92
53,2022-03-09,94.92
54,2022-03-08,94.92
55,2022-03-07,94.92
56,2022-03-06,94.92
57,2022-03-05,94.92
58,2022-03-04,94.92
59,2022-03-03,94.92
60,2022-03-02,94.92
61,2022-03-01,94.92
62,2022-02-28,94.92
63,2022-02-27,94.92
64,2022-02-26,94.92
65,2022-02-25,94.92
66,2022-02-24,94.92
67,2022-02-23,94.92
68,2022-02-22,94.92
69,2022-02-21,94.92
70,2022-02-20,94.92
71,2022-02-19,94.92
72,2022-02-18,94.92
73,2022-02-17,94.92
74,2022-02-16,94.92
75,2022-02-15,94.92
76,2022-02-14,94.92
77,2022-02-13,94.92
78,2022-02-12,94.92
79,2022-02-11,94.92
80,2022-02-10,94.92
81,2022-02-09,94.92
82,2022-02-08,94.92
83,2022-02-07,94.92
84,2022-02-06,94.92
85,2022-02-05,94.92
86,2022-02-04,94.92
87,2022-02-03,94.92
88,2022-02-02,94.92
89,2022-02-01,94.92
90,2022-01-31,94.92
91,2022-01-30,94.92
92,2022-01-29,94.92
93,2022-01-28,94.92
94,2022-01-27,94.92
95,2022-01-26,94.92
96,2022-01-25,94.92
97,2022-01-24,94.92
98,2022-01-23,94.92
99,2022-01-22,94.92
100,2022-01-21,94.92
