,date,price
0,2022-05-01,104.93
1,2022-04-30,104.93
2,2022-04-29,104.93
3,2022-04-28,104.93
4,2022-04-27,104.93
5,2022-04-26,104.93
6,2022-04-25,104.93
7,2022-04-24,104.93
8,2022-04-23,104.93
9,2022-04-22,104.93
10,2022-04-21,104.93
11,2022-04-20,104.93
12,2022-04-19,104.93
13,2022-04-18,104.93
14,2022-04-17,104.93
15,2022-04-16,104.93
16,2022-04-15,104.93
17,2022-04-14,104.93
18,2022-04-13,104.93
19,2022-04-12,104.93
20,2022-04-11,104.93
21,2022-04-10,104.93
22,2022-04-09,104.93
23,2022-04-08,104.93
24,2022-04-07,104.93
25,2022-04-06,104.93
26,2022-04-05,104.15
27,2022-04-04,103.38
28,2022-04-03,103
29,2022-04-02,102.23
30,2022-04-01,101.46
31,2022-03-31,101.46
32,2022-03-30,100.68
33,2022-03-29,99.91
34,2022-03-28,99.14
35,2022-03-27,98.85
36,2022-03-26,98.37
37,2022-03-25,97.61
38,2022-03-24,96.84
39,2022-03-23,96.84
40,2022-03-22,96.07
41,2022-03-21,95.3
42,2022-03-20,95.3
43,2022-03-19,95.3
44,2022-03-18,95.3
45,2022-03-17,95.3
46,2022-03-16,95.3
47,2022-03-15,95.3
48,2022-03-14,95.3
49,2022-03-13,95.3
50,2022-03-12,95.3
51,2022-03-11,95.3
52,2022-03-10,95.3
53,2022-03-09,95.3
54,2022-03-08,95.3
55,2022-03-07,95.3
56,2022-03-06,95.3
57,2022-03-05,95.3
58,2022-03-04,95.3
59,2022-03-03,95.3
60,2022-03-02,95.3
61,2022-03-01,95.3
62,2022-02-28,95.3
63,2022-02-27,95.3
64,2022-02-26,95.3
65,2022-02-25,95.3
66,2022-02-24,95.3
67,2022-02-23,95.3
68,2022-02-22,95.3
69,2022-02-21,95.3
70,2022-02-20,95.3
71,2022-02-19,95.3
72,2022-02-18,95.3
73,2022-02-17,95.3
74,2022-02-16,95.3
75,2022-02-15,95.3
76,2022-02-14,95.3
77,2022-02-13,95.3
78,2022-02-12,95.3
79,2022-02-11,95.3
80,2022-02-10,95.3
81,2022-02-09,95.3
82,2022-02-08,95.3
83,2022-02-07,95.3
84,2022-02-06,95.3
85,2022-02-05,95.3
86,2022-02-04,95.3
87,2022-02-03,95.3
88,2022-02-02,95.3
89,2022-02-01,95.3
90,2022-01-31,95.3
91,2022-01-30,95.3
92,2022-01-29,95.3
93,2022-01-28,95.3
94,2022-01-27,95.3
95,2022-01-26,95.3
96,2022-01-25,95.3
97,2022-01-24,95.3
98,2022-01-23,95.3
99,2022-01-22,95.3
