,date,price
0,2022-05-01,117.82
1,2022-04-30,117.82
2,2022-04-29,117.82
3,2022-04-28,117.82
4,2022-04-27,117.82
5,2022-04-26,117.82
6,2022-04-25,117.82
7,2022-04-24,117.82
8,2022-04-23,117.82
9,2022-04-22,117.82
10,2022-04-21,117.82
11,2022-04-20,117.82
12,2022-04-19,117.82
13,2022-04-18,117.82
14,2022-04-17,117.82
15,2022-04-16,117.82
16,2022-04-15,117.82
17,2022-04-14,117.82
18,2022-04-13,117.82
19,2022-04-12,117.82
20,2022-04-11,117.82
21,2022-04-10,117.82
22,2022-04-09,117.82
23,2022-04-08,117.82
24,2022-04-07,117.82
25,2022-04-06,117.82
26,2022-04-05,116.94
27,2022-04-04,116.06
28,2022-04-03,115.62
29,2022-04-02,114.74
30,2022-04-01,113.87
31,2022-03-31,113.87
32,2022-03-30,112.99
33,2022-03-29,112.11
34,2022-03-28,111.23
35,2022-03-27,110.9
36,2022-03-26,110.35
37,2022-03-25,109.47
38,2022-03-24,108.6
39,2022-03-23,108.6
40,2022-03-22,107.72
41,2022-03-21,106.84
42,2022-03-20,106.84
43,2022-03-19,106.84
44,2022-03-18,106.84
45,2022-03-17,106.84
46,2022-03-16,106.84
47,2022-03-15,106.84
48,2022-03-14,106.84
49,2022-03-13,106.84
50,2022-03-12,106.84
51,2022-03-11,106.84
52,2022-03-10,106.84
53,2022-03-09,106.84
54,2022-03-08,106.84
55,2022-03-07,106.84
56,2022-03-06,106.84
57,2022-03-05,106.84
58,2022-03-04,106.84
59,2022-03-03,106.84
60,2022-03-02,106.84
61,2022-03-01,106.84
62,2022-02-28,106.84
63,2022-02-27,106.84
64,2022-02-26,106.84
65,2022-02-25,106.84
66,2022-02-24,106.84
67,2022-02-23,106.84
68,2022-02-22,106.84
69,2022-02-21,106.84
70,2022-02-20,106.84
71,2022-02-19,106.84
72,2022-02-18,106.84
73,2022-02-17,106.84
74,2022-02-16,106.84
75,2022-02-15,106.84
76,2022-02-14,106.84
77,2022-02-13,106.84
78,2022-02-12,106.84
79,2022-02-11,106.84
80,2022-02-10,106.84
81,2022-02-09,106.84
82,2022-02-08,106.84
83,2022-02-07,106.84
84,2022-02-06,106.84
85,2022-02-05,106.84
86,2022-02-04,106.84
87,2022-02-03,106.84
88,2022-02-02,106.84
89,2022-02-01,106.84
90,2022-01-31,106.84
91,2022-01-30,106.84
92,2022-01-29,106.84
93,2022-01-28,106.84
94,2022-01-27,106.84
95,2022-01-26,106.84
96,2022-01-25,106.84
97,2022-01-24,106.84
98,2022-01-23,106.84
99,2022-01-22,106.84
100,2022-01-21,106.84
101,2022-01-20,106.84
102,2022-01-19,106.84
103,2022-01-18,106.84
104,2022-01-17,106.84
105,2022-01-16,106.84
106,2022-01-15,106.84
107,2022-01-14,106.84
108,2022-01-13,106.84
109,2022-01-12,106.84
110,2022-01-11,106.84
111,2022-01-10,106.84
112,2022-01-09,106.84
113,2022-01-08,106.84
114,2022-01-07,106.84
115,2022-01-06,106.84
116,2022-01-05,106.84
117,2022-01-04,106.84
118,2022-01-03,106.84
119,2022-01-02,106.84
120,2022-01-01,106.84
121,2021-12-31,106.84
122,2021-12-30,106.84
123,2021-12-29,106.84
124,2021-12-28,106.84
125,2021-12-27,106.84
126,2021-12-26,106.84
127,2021-12-25,106.84
128,2021-12-24,106.84
129,2021-12-23,106.84
130,2021-12-22,106.84
131,2021-12-21,106.84
132,2021-12-20,106.84
133,2021-12-19,106.84
134,2021-12-18,106.84
135,2021-12-17,106.84
