,date,price
0,2022-05-01,117.49
1,2022-04-30,117.49
2,2022-04-29,117.49
3,2022-04-28,117.49
4,2022-04-27,117.49
5,2022-04-26,117.49
6,2022-04-25,117.49
7,2022-04-24,117.49
8,2022-04-23,117.49
9,2022-04-22,117.49
10,2022-04-21,117.49
11,2022-04-20,117.49
12,2022-04-19,117.49
13,2022-04-18,117.49
14,2022-04-17,117.49
15,2022-04-16,117.49
16,2022-04-15,117.49
17,2022-04-14,117.49
18,2022-04-13,117.49
19,2022-04-12,117.49
20,2022-04-11,117.49
21,2022-04-10,117.49
22,2022-04-09,117.49
23,2022-04-08,117.49
24,2022-04-07,117.49
25,2022-04-06,117.49
26,2022-04-05,116.61
27,2022-04-04,115.74
28,2022-04-03,115.3
29,2022-04-02,114.42
30,2022-04-01,113.54
31,2022-03-31,113.54
32,2022-03-30,112.66
33,2022-03-29,111.78
34,2022-03-28,110.9
35,2022-03-27,110.57
36,2022-03-26,110.02
37,2022-03-25,109.14
38,2022-03-24,108.26
39,2022-03-23,108.26
40,2022-03-22,107.39
41,2022-03-21,106.51
42,2022-03-20,106.51
43,2022-03-19,106.51
44,2022-03-18,106.51
45,2022-03-17,106.51
46,2022-03-16,106.51
47,2022-03-15,106.51
48,2022-03-14,106.51
49,2022-03-13,106.51
50,2022-03-12,106.51
51,2022-03-11,106.51
52,2022-03-10,106.51
53,2022-03-09,106.51
54,2022-03-08,106.51
55,2022-03-07,106.51
56,2022-03-06,106.51
57,2022-03-05,106.51
58,2022-03-04,106.51
59,2022-03-03,106.51
60,2022-03-02,106.51
61,2022-03-01,106.51
62,2022-02-28,106.51
63,2022-02-27,106.51
64,2022-02-26,106.51
65,2022-02-25,106.51
66,2022-02-24,106.51
67,2022-02-23,106.51
68,2022-02-22,106.51
69,2022-02-21,106.51
70,2022-02-20,106.51
71,2022-02-19,106.51
72,2022-02-18,106.51
73,2022-02-17,106.51
74,2022-02-16,106.51
75,2022-02-15,106.51
76,2022-02-14,106.51
77,2022-02-13,106.51
78,2022-02-12,106.51
79,2022-02-11,106.51
80,2022-02-10,106.51
81,2022-02-09,106.51
82,2022-02-08,106.51
83,2022-02-07,106.51
84,2022-02-06,106.51
85,2022-02-05,106.51
86,2022-02-04,106.51
87,2022-02-03,106.51
88,2022-02-02,106.51
89,2022-02-01,106.51
90,2022-01-31,106.51
91,2022-01-30,106.51
92,2022-01-29,106.51
93,2022-01-28,106.51
94,2022-01-27,106.51
95,2022-01-26,106.51
96,2022-01-25,106.51
97,2022-01-24,106.51
98,2022-01-23,106.51
99,2022-01-22,106.51
100,2022-01-21,106.51
101,2022-01-20,106.51
102,2022-01-19,106.51
103,2022-01-18,106.51
104,2022-01-17,106.51
105,2022-01-16,106.51
106,2022-01-15,106.51
107,2022-01-14,106.51
108,2022-01-13,106.51
109,2022-01-12,106.51
110,2022-01-11,106.51
111,2022-01-10,106.51
112,2022-01-09,106.51
113,2022-01-08,106.51
114,2022-01-07,106.51
115,2022-01-06,106.51
116,2022-01-05,106.51
117,2022-01-04,106.51
118,2022-01-03,106.51
119,2022-01-02,106.51
120,2022-01-01,106.51
121,2021-12-31,106.51
122,2021-12-30,106.51
123,2021-12-29,106.51
124,2021-12-28,106.51
125,2021-12-27,106.51
126,2021-12-26,106.51
127,2021-12-25,106.51
128,2021-12-24,106.51
129,2021-12-23,106.51
130,2021-12-22,106.51
131,2021-12-21,106.51
132,2021-12-20,106.51
133,2021-12-19,106.51
134,2021-12-18,106.51
135,2021-12-17,106.51
136,2021-12-16,106.51
137,2021-12-15,106.51
138,2021-12-14,106.51
139,2021-12-13,106.51
140,2021-12-12,106.51
141,2021-12-11,106.51
142,2021-12-10,106.51
143,2021-12-09,106.51
144,2021-12-08,106.51
145,2021-12-07,106.51
146,2021-12-06,106.51
147,2021-12-05,106.51
148,2021-12-04,106.51
149,2021-12-03,106.51
150,2021-12-02,106.51
151,2021-11-30,106.51
152,2021-11-29,106.51
153,2021-11-28,106.51
154,2021-11-27,106.51
155,2021-11-26,106.51
156,2021-11-25,106.51
157,2021-11-24,106.51
158,2021-11-23,106.51
159,2021-11-22,106.51
160,2021-11-21,106.51
161,2021-11-20,106.51
162,2021-11-19,106.51
163,2021-11-18,106.51
164,2021-11-17,106.51
165,2021-11-16,106.51
166,2021-11-15,110.53
167,2021-11-14,110.53
168,2021-11-13,110.53
169,2021-11-12,110.53
170,2021-11-11,110.53
171,2021-11-10,110.53
172,2021-11-09,110.53
173,2021-11-08,110.53
174,2021-11-07,110.53
175,2021-11-06,110.53
176,2021-11-05,110.53
177,2021-11-04,110.53
178,2021-11-03,116.88
179,2021-11-02,116.88
180,2021-11-01,116.49
181,2021-10-31,116.11
182,2021-10-30,115.74
183,2021-10-29,115.37
184,2021-10-28,115.01
185,2021-10-27,114.64
186,2021-10-26,114.27
187,2021-10-25,114.27
188,2021-10-24,114.27
189,2021-10-23,113.91
190,2021-10-22,113.54
191,2021-10-21,113.18
192,2021-10-20,112.81
193,2021-10-19,112.44
194,2021-10-18,112.44
195,2021-10-15,111.71
196,2021-10-14,111.34
197,2021-10-13,110.98
198,2021-10-12,110.98
199,2021-10-11,110.98
200,2021-10-10,110.66
201,2021-10-09,110.35
202,2021-10-08,110.04
203,2021-10-07,109.72
204,2021-10-06,109.41
205,2021-10-05,109.09
206,2021-10-04,108.83
207,2021-10-03,108.83
208,2021-10-02,108.57
209,2021-10-01,108.31
210,2021-09-30,108.06
211,2021-09-29,107.81
212,2021-09-28,107.81
213,2021-09-27,107.62
214,2021-09-26,107.62
215,2021-09-25,107.62
216,2021-09-24,107.62
217,2021-09-23,107.62
218,2021-09-22,107.62
219,2021-09-21,107.62
220,2021-09-20,107.62
221,2021-09-19,107.62
222,2021-09-18,107.62
223,2021-09-17,107.62
224,2021-09-16,107.62
225,2021-09-15,107.62
226,2021-09-14,107.62
227,2021-09-13,107.62
228,2021-09-12,107.62
229,2021-09-11,107.62
230,2021-09-10,107.62
231,2021-09-09,107.62
232,2021-09-08,107.62
233,2021-09-07,107.62
234,2021-09-06,107.62
235,2021-09-05,107.62
236,2021-09-03,107.78
237,2021-09-02,107.78
238,2021-09-01,107.78
239,2021-08-31,107.95
240,2021-08-30,107.95
241,2021-08-29,107.95
242,2021-08-28,107.95
243,2021-08-27,107.95
244,2021-08-26,107.95
245,2021-08-25,107.95
246,2021-08-24,107.95
247,2021-08-23,108.1
248,2021-08-22,108.1
249,2021-08-21,108.28
250,2021-08-20,108.28
251,2021-08-19,108.28
252,2021-08-18,108.28
253,2021-08-17,108.28
254,2021-08-16,108.28
255,2021-08-15,108.28
256,2021-08-14,108.28
257,2021-08-13,108.28
258,2021-08-12,108.28
259,2021-08-11,108.28
260,2021-08-10,108.28
261,2021-08-09,108.28
262,2021-08-08,108.28
263,2021-08-07,108.28
264,2021-08-06,108.28
265,2021-08-05,108.28
266,2021-08-04,108.28
267,2021-08-03,108.28
268,2021-08-02,108.28
269,2021-08-01,108.28
270,2021-07-31,108.28
271,2021-07-30,108.28
272,2021-07-29,108.28
273,2021-07-28,108.28
274,2021-07-27,108.28
275,2021-07-26,108.28
276,2021-07-25,108.28
277,2021-07-24,108.28
278,2021-07-23,108.28
279,2021-07-22,108.28
280,2021-07-21,108.28
281,2021-07-20,108.28
282,2021-07-19,108.28
283,2021-07-18,108.28
284,2021-07-17,108.28
285,2021-07-16,107.97
286,2021-07-15,107.97
287,2021-07-14,107.6
288,2021-07-13,107.6
289,2021-07-12,107.6
290,2021-07-11,107.31
291,2021-07-10,107.31
292,2021-07-09,106.94
293,2021-07-08,106.94
294,2021-07-07,106.58
295,2021-07-06,106.21
296,2021-07-05,106.21
297,2021-07-04,105.84
298,2021-07-03,105.48
299,2021-07-02,105.48
300,2021-07-01,105.11
301,2021-06-30,105.11
302,2021-06-29,105.11
303,2021-06-28,104.74
304,2021-06-27,104.74
305,2021-06-26,104.38
306,2021-06-25,104.01
307,2021-06-24,104.01
308,2021-06-23,103.74
309,2021-06-22,103.74
310,2021-06-21,103.45
311,2021-06-20,103.45
312,2021-06-19,103.14
313,2021-06-18,103.14
314,2021-06-17,102.86
315,2021-06-16,102.86
316,2021-06-15,102.6
317,2021-06-14,102.6
318,2021-06-13,102.3
319,2021-06-12,102.3
320,2021-06-11,102.01
321,2021-06-10,101.71
322,2021-06-09,101.71
323,2021-06-08,101.45
324,2021-06-07,101.45
325,2021-06-06,101.15
326,2021-06-05,100.87
327,2021-06-04,100.87
328,2021-06-03,100.59
329,2021-06-02,100.59
330,2021-06-01,100.59
331,2021-05-31,100.32
332,2021-05-30,100.01
333,2021-05-29,100.01
334,2021-05-28,99.74
335,2021-05-27,99.74
336,2021-05-26,99.49
337,2021-05-25,99.49
338,2021-05-24,99.25
339,2021-05-23,99.25
340,2021-05-22,99.07
341,2021-05-21,99.07
342,2021-05-20,98.87
343,2021-05-19,98.87
344,2021-05-18,98.87
345,2021-05-17,98.59
346,2021-05-16,98.59
347,2021-05-15,98.34
348,2021-05-14,98.34
349,2021-05-13,98.03
350,2021-05-12,98.03
351,2021-05-11,97.77
352,2021-05-10,97.49
353,2021-05-09,97.22
354,2021-05-08,97.22
355,2021-05-07,97.22
356,2021-05-06,96.93
357,2021-05-05,96.66
358,2021-05-04,96.46
359,2021-05-03,96.29
360,2021-05-02,96.29
361,2021-05-01,96.29
362,2021-04-30,96.29
363,2021-04-29,96.29
364,2021-04-28,96.29
