,date,price
0,2022-05-01,118.44
1,2022-04-30,118.44
2,2022-04-29,118.44
3,2022-04-28,118.44
4,2022-04-27,118.44
5,2022-04-26,118.44
6,2022-04-25,118.44
7,2022-04-24,118.44
8,2022-04-23,118.44
9,2022-04-22,118.44
10,2022-04-21,118.44
11,2022-04-20,118.44
12,2022-04-19,118.44
13,2022-04-18,118.44
14,2022-04-17,118.44
15,2022-04-16,118.44
16,2022-04-15,118.44
17,2022-04-14,118.44
18,2022-04-13,118.44
19,2022-04-12,118.44
20,2022-04-11,118.44
21,2022-04-10,118.44
22,2022-04-09,118.44
23,2022-04-08,118.44
24,2022-04-07,118.44
25,2022-04-06,118.44
26,2022-04-05,117.56
27,2022-04-04,116.68
28,2022-04-03,116.24
29,2022-04-02,115.36
30,2022-04-01,114.49
31,2022-03-31,114.49
32,2022-03-30,113.61
33,2022-03-29,112.73
34,2022-03-28,111.85
35,2022-03-27,111.52
36,2022-03-26,110.97
37,2022-03-25,110.12
38,2022-03-24,109.24
39,2022-03-23,109.24
40,2022-03-22,108.36
41,2022-03-21,107.48
42,2022-03-20,107.48
43,2022-03-19,107.48
44,2022-03-18,107.48
45,2022-03-17,107.48
46,2022-03-16,107.48
47,2022-03-15,107.48
48,2022-03-14,107.48
49,2022-03-13,107.48
50,2022-03-12,107.48
51,2022-03-11,107.48
52,2022-03-10,107.48
53,2022-03-09,107.48
54,2022-03-08,107.48
55,2022-03-07,107.48
56,2022-03-06,107.48
57,2022-03-05,107.48
58,2022-03-04,107.48
59,2022-03-03,107.48
60,2022-03-02,107.48
61,2022-03-01,107.48
62,2022-02-28,107.48
63,2022-02-27,107.48
64,2022-02-26,107.48
65,2022-02-25,107.48
66,2022-02-24,107.48
67,2022-02-23,107.48
68,2022-02-22,107.48
69,2022-02-21,107.48
70,2022-02-20,107.48
71,2022-02-19,107.48
72,2022-02-18,107.48
73,2022-02-17,107.48
74,2022-02-16,107.48
75,2022-02-15,107.48
76,2022-02-14,107.48
77,2022-02-13,107.48
78,2022-02-12,107.48
79,2022-02-11,107.48
80,2022-02-10,107.48
81,2022-02-09,107.48
82,2022-02-08,107.48
83,2022-02-07,107.48
84,2022-02-06,107.48
85,2022-02-05,107.48
86,2022-02-04,107.48
87,2022-02-03,107.48
88,2022-02-02,107.48
89,2022-02-01,107.48
90,2022-01-31,107.48
91,2022-01-30,107.48
92,2022-01-29,107.48
93,2022-01-28,107.48
94,2022-01-27,107.48
95,2022-01-26,107.48
96,2022-01-25,107.48
97,2022-01-24,107.48
98,2022-01-23,107.48
99,2022-01-22,107.48
100,2022-01-21,107.48
101,2022-01-20,107.48
102,2022-01-19,107.48
103,2022-01-18,107.48
104,2022-01-17,107.48
105,2022-01-16,107.48
106,2022-01-15,107.48
107,2022-01-14,107.48
108,2022-01-13,107.48
109,2022-01-12,107.48
110,2022-01-11,107.48
111,2022-01-10,107.48
112,2022-01-09,107.48
113,2022-01-08,107.48
114,2022-01-07,107.48
115,2022-01-06,107.48
116,2022-01-05,107.48
117,2022-01-04,107.48
118,2022-01-03,107.48
119,2022-01-02,107.48
120,2022-01-01,107.48
121,2021-12-31,107.48
122,2021-12-30,107.48
