,date,price
0,2022-05-01,119.9
1,2022-04-30,119.9
2,2022-04-29,119.9
3,2022-04-28,119.9
4,2022-04-27,119.9
5,2022-04-26,119.9
6,2022-04-25,119.9
7,2022-04-24,119.9
8,2022-04-23,119.9
9,2022-04-22,119.9
10,2022-04-21,119.9
11,2022-04-20,119.9
12,2022-04-19,119.9
13,2022-04-18,119.9
14,2022-04-17,119.9
15,2022-04-16,119.9
16,2022-04-15,119.9
17,2022-04-14,119.9
18,2022-04-13,119.9
19,2022-04-12,119.9
20,2022-04-11,119.9
21,2022-04-10,119.9
22,2022-04-09,119.9
23,2022-04-08,119.9
24,2022-04-07,119.9
25,2022-04-06,119.9
26,2022-04-05,119.02
27,2022-04-04,118.14
28,2022-04-03,117.7
29,2022-04-02,116.82
30,2022-04-01,115.94
31,2022-03-31,115.94
32,2022-03-30,115.06
33,2022-03-29,114.18
34,2022-03-28,113.31
35,2022-03-27,112.98
36,2022-03-26,112.43
37,2022-03-25,111.62
38,2022-03-24,110.73
39,2022-03-23,110.73
40,2022-03-22,109.85
41,2022-03-21,108.97
42,2022-03-20,108.97
43,2022-03-19,108.97
44,2022-03-18,108.97
45,2022-03-17,108.97
46,2022-03-16,108.97
47,2022-03-15,108.97
48,2022-03-14,108.97
49,2022-03-13,108.97
50,2022-03-12,108.97
51,2022-03-11,108.97
52,2022-03-10,108.97
53,2022-03-09,108.97
54,2022-03-08,108.97
55,2022-03-07,108.97
56,2022-03-06,108.97
57,2022-03-05,108.97
58,2022-03-04,108.97
59,2022-03-03,108.97
60,2022-03-02,108.97
61,2022-03-01,108.97
62,2022-02-28,108.97
63,2022-02-27,108.97
64,2022-02-26,108.97
65,2022-02-25,108.97
66,2022-02-24,108.97
67,2022-02-23,108.97
68,2022-02-22,108.97
69,2022-02-21,108.97
70,2022-02-20,108.97
71,2022-02-19,108.97
72,2022-02-18,108.97
73,2022-02-17,108.97
74,2022-02-16,108.97
75,2022-02-15,108.97
76,2022-02-14,108.97
77,2022-02-13,108.97
78,2022-02-12,108.97
79,2022-02-11,108.97
80,2022-02-10,108.97
81,2022-02-09,108.97
82,2022-02-08,108.97
83,2022-02-07,108.97
84,2022-02-06,108.97
85,2022-02-05,108.97
86,2022-02-04,108.97
87,2022-02-03,108.97
88,2022-02-02,108.97
89,2022-02-01,108.97
90,2022-01-31,108.97
91,2022-01-30,108.97
92,2022-01-29,108.97
93,2022-01-28,108.97
94,2022-01-27,108.97
95,2022-01-26,108.97
96,2022-01-25,108.97
97,2022-01-24,108.97
98,2022-01-23,108.97
99,2022-01-22,108.97
100,2022-01-21,108.97
101,2022-01-20,108.97
102,2022-01-19,108.97
103,2022-01-18,108.97
104,2022-01-17,108.97
105,2022-01-16,108.97
106,2022-01-15,108.97
107,2022-01-14,108.97
108,2022-01-13,108.97
109,2022-01-12,108.97
110,2022-01-11,108.97
111,2022-01-10,108.97
112,2022-01-09,108.97
113,2022-01-08,108.97
114,2022-01-07,108.97
115,2022-01-06,108.97
116,2022-01-05,108.97
117,2022-01-04,108.97
118,2022-01-03,108.97
119,2022-01-02,108.97
120,2022-01-01,108.97
121,2021-12-31,108.97
122,2021-12-30,108.97
123,2021-12-29,108.97
124,2021-12-28,108.97
125,2021-12-27,108.97
126,2021-12-26,108.97
127,2021-12-25,108.97
128,2021-12-24,108.97
129,2021-12-23,108.97
130,2021-12-22,108.97
131,2021-12-21,108.97
132,2021-12-20,108.97
133,2021-12-19,108.97
134,2021-12-18,108.97
135,2021-12-17,108.97
136,2021-12-16,108.97
137,2021-12-15,108.97
138,2021-12-14,108.97
139,2021-12-13,108.97
140,2021-12-12,108.97
141,2021-12-11,108.97
142,2021-12-10,108.97
143,2021-12-09,108.97
144,2021-12-08,108.97
145,2021-12-07,108.97
146,2021-12-06,108.97
147,2021-12-05,108.97
148,2021-12-04,108.97
149,2021-12-03,108.97
150,2021-12-02,108.97
151,2021-11-30,108.97
152,2021-11-29,108.97
153,2021-11-28,108.97
154,2021-11-27,108.97
155,2021-11-26,108.97
156,2021-11-25,108.97
157,2021-11-24,108.97
158,2021-11-23,108.97
159,2021-11-22,108.97
160,2021-11-21,108.97
161,2021-11-20,108.97
162,2021-11-19,108.97
163,2021-11-18,108.97
164,2021-11-17,108.97
165,2021-11-16,108.97
166,2021-11-15,113.08
167,2021-11-14,113.08
168,2021-11-13,113.08
169,2021-11-12,113.08
170,2021-11-11,113.08
171,2021-11-10,113.08
172,2021-11-09,113.08
173,2021-11-08,113.08
174,2021-11-07,113.08
175,2021-11-06,113.08
176,2021-11-05,113.08
177,2021-11-04,113.08
178,2021-11-03,119.44
179,2021-11-02,119.44
180,2021-11-01,119.05
181,2021-10-31,118.53
182,2021-10-30,118.16
183,2021-10-29,117.8
184,2021-10-28,117.43
185,2021-10-27,117.07
186,2021-10-26,116.7
187,2021-10-25,116.7
188,2021-10-24,116.7
189,2021-10-23,116.33
190,2021-10-22,115.97
191,2021-10-21,115.6
192,2021-10-20,115.23
193,2021-10-19,114.87
194,2021-10-18,114.87
195,2021-10-15,114.13
196,2021-10-14,113.77
197,2021-10-13,113.4
198,2021-10-12,113.4
199,2021-10-11,113.4
200,2021-10-10,113.09
201,2021-10-09,112.77
202,2021-10-08,112.46
203,2021-10-07,112.15
204,2021-10-06,111.83
205,2021-10-05,111.52
206,2021-10-04,111.26
207,2021-10-03,111.26
208,2021-10-02,110.99
209,2021-10-01,110.73
210,2021-09-30,110.48
211,2021-09-29,110.24
212,2021-09-28,110.24
213,2021-09-27,110.04
214,2021-09-26,110.04
215,2021-09-25,110.04
216,2021-09-24,110.04
217,2021-09-23,110.04
218,2021-09-22,110.04
219,2021-09-21,110.04
220,2021-09-20,110.04
221,2021-09-19,110.04
222,2021-09-18,110.04
223,2021-09-17,110.04
224,2021-09-16,110.04
225,2021-09-15,110.04
226,2021-09-14,110.04
227,2021-09-13,110.04
228,2021-09-12,110.04
229,2021-09-11,110.04
230,2021-09-10,110.04
231,2021-09-09,110.04
232,2021-09-08,110.04
233,2021-09-07,110.04
234,2021-09-06,110.04
235,2021-09-05,110.04
236,2021-09-03,110.21
237,2021-09-02,110.21
238,2021-09-01,110.21
239,2021-08-31,110.38
240,2021-08-30,110.38
241,2021-08-29,110.38
242,2021-08-28,110.38
243,2021-08-27,110.38
244,2021-08-26,110.38
245,2021-08-25,110.38
246,2021-08-24,110.38
247,2021-08-23,110.52
248,2021-08-22,110.52
249,2021-08-21,110.51
250,2021-08-20,110.51
251,2021-08-19,110.51
252,2021-08-18,110.51
253,2021-08-17,110.51
254,2021-08-16,110.51
255,2021-08-15,110.51
256,2021-08-14,110.51
257,2021-08-13,110.51
258,2021-08-12,110.51
259,2021-08-11,110.51
260,2021-08-10,110.51
261,2021-08-09,110.51
262,2021-08-08,110.51
263,2021-08-07,110.51
264,2021-08-06,110.51
265,2021-08-05,110.51
266,2021-08-04,110.51
267,2021-08-03,110.51
268,2021-08-02,110.51
269,2021-08-01,110.51
270,2021-07-31,110.51
271,2021-07-30,110.51
272,2021-07-29,110.51
273,2021-07-28,110.51
274,2021-07-27,110.51
275,2021-07-26,110.51
276,2021-07-25,110.51
277,2021-07-24,110.51
278,2021-07-23,110.51
279,2021-07-22,110.51
280,2021-07-21,110.51
281,2021-07-20,110.51
282,2021-07-19,110.51
283,2021-07-18,110.51
284,2021-07-17,110.51
285,2021-07-16,110.2
286,2021-07-15,110.2
287,2021-07-14,109.83
288,2021-07-13,109.83
289,2021-07-12,109.83
290,2021-07-11,109.54
291,2021-07-10,109.54
292,2021-07-09,109.17
293,2021-07-08,109.17
294,2021-07-07,108.8
295,2021-07-06,108.44
296,2021-07-05,108.44
297,2021-07-04,108.07
298,2021-07-03,107.71
299,2021-07-02,107.71
300,2021-07-01,107.34
301,2021-06-30,107.34
302,2021-06-29,107.34
303,2021-06-28,106.97
304,2021-06-27,106.97
305,2021-06-26,106.61
306,2021-06-25,106.24
307,2021-06-24,106.24
308,2021-06-23,105.97
309,2021-06-22,105.97
310,2021-06-21,105.67
311,2021-06-20,105.67
312,2021-06-19,105.37
313,2021-06-18,105.37
314,2021-06-17,105.09
315,2021-06-16,105.09
316,2021-06-15,104.83
317,2021-06-14,104.83
318,2021-06-13,104.52
319,2021-06-12,104.52
320,2021-06-11,104.24
321,2021-06-10,103.94
322,2021-06-09,103.94
323,2021-06-08,103.68
324,2021-06-07,103.68
325,2021-06-06,103.38
326,2021-06-05,103.1
327,2021-06-04,103.1
328,2021-06-03,102.82
329,2021-06-02,102.82
330,2021-06-01,102.82
331,2021-05-31,102.54
332,2021-05-30,102.24
333,2021-05-29,102.24
334,2021-05-28,101.97
335,2021-05-27,101.97
336,2021-05-26,101.72
337,2021-05-25,101.72
338,2021-05-24,101.48
339,2021-05-23,101.48
340,2021-05-22,101.3
341,2021-05-21,101.3
342,2021-05-20,101.1
343,2021-05-19,101.1
344,2021-05-18,101.1
345,2021-05-17,100.82
346,2021-05-16,100.82
347,2021-05-15,100.57
348,2021-05-14,100.57
349,2021-05-13,100.26
350,2021-05-12,100.26
351,2021-05-11,100
352,2021-05-10,99.72
353,2021-05-09,99.45
354,2021-05-08,99.45
355,2021-05-07,99.45
356,2021-05-06,99.15
357,2021-05-05,98.89
358,2021-05-04,98.69
359,2021-05-03,98.35
360,2021-05-02,98.35
361,2021-05-01,98.35
362,2021-04-30,98.35
363,2021-04-29,98.35
364,2021-04-28,98.35
