,date,price
0,2022-05-01,111.47
1,2022-04-30,111.47
2,2022-04-29,111.47
3,2022-04-28,111.47
4,2022-04-27,111.47
5,2022-04-26,111.47
6,2022-04-25,111.47
7,2022-04-24,111.47
8,2022-04-23,111.47
9,2022-04-22,111.47
10,2022-04-21,111.47
11,2022-04-20,111.47
12,2022-04-19,111.47
13,2022-04-18,111.47
14,2022-04-17,111.47
15,2022-04-16,111.47
16,2022-04-15,111.47
17,2022-04-14,111.47
18,2022-04-13,111.47
19,2022-04-12,111.47
20,2022-04-11,111.47
21,2022-04-10,111.47
22,2022-04-09,111.47
23,2022-04-08,111.47
24,2022-04-07,111.47
25,2022-04-06,111.47
26,2022-04-05,110.71
27,2022-04-04,109.95
28,2022-04-03,109.58
29,2022-04-02,108.82
30,2022-04-01,108.06
31,2022-03-31,108.06
32,2022-03-30,107.31
33,2022-03-29,106.55
34,2022-03-28,105.8
35,2022-03-27,105.51
36,2022-03-26,105.04
37,2022-03-25,104.29
38,2022-03-24,103.54
39,2022-03-23,103.54
40,2022-03-22,102.78
41,2022-03-21,102.03
42,2022-03-20,102.03
43,2022-03-19,102.03
44,2022-03-18,102.03
45,2022-03-17,102.03
46,2022-03-16,102.03
47,2022-03-15,102.03
48,2022-03-14,102.03
49,2022-03-13,102.03
50,2022-03-12,102.03
51,2022-03-11,102.03
52,2022-03-10,102.03
53,2022-03-09,102.03
54,2022-03-08,102.03
55,2022-03-07,102.03
56,2022-03-06,102.03
57,2022-03-05,102.03
58,2022-03-04,102.03
59,2022-03-03,102.03
60,2022-03-02,102.03
61,2022-03-01,102.03
62,2022-02-28,102.03
63,2022-02-27,102.03
64,2022-02-26,102.03
65,2022-02-25,102.03
66,2022-02-24,102.03
67,2022-02-23,102.03
68,2022-02-22,102.03
69,2022-02-21,102.03
70,2022-02-20,102.03
71,2022-02-19,102.03
72,2022-02-18,102.03
73,2022-02-17,102.03
74,2022-02-16,102.03
75,2022-02-15,102.03
76,2022-02-14,102.03
77,2022-02-13,102.03
78,2022-02-12,102.03
79,2022-02-11,102.03
80,2022-02-10,102.03
81,2022-02-09,102.03
82,2022-02-08,102.03
83,2022-02-07,102.03
84,2022-02-06,102.03
85,2022-02-05,102.03
86,2022-02-04,102.03
87,2022-02-03,102.03
88,2022-02-02,102.03
89,2022-02-01,102.03
90,2022-01-31,102.03
91,2022-01-30,102.03
92,2022-01-29,102.03
93,2022-01-28,102.03
94,2022-01-27,102.03
95,2022-01-26,102.03
96,2022-01-25,102.03
97,2022-01-24,102.03
98,2022-01-23,102.03
99,2022-01-22,102.03
100,2022-01-21,102.03
101,2022-01-20,102.03
102,2022-01-19,102.03
103,2022-01-18,102.03
104,2022-01-17,102.03
105,2022-01-16,102.03
106,2022-01-15,102.03
107,2022-01-14,102.03
108,2022-01-13,102.03
109,2022-01-12,102.03
110,2022-01-11,102.03
111,2022-01-10,102.03
112,2022-01-09,102.03
113,2022-01-08,102.03
114,2022-01-07,102.03
115,2022-01-06,102.03
116,2022-01-05,102.03
117,2022-01-04,102.03
118,2022-01-03,102.03
119,2022-01-02,102.03
120,2022-01-01,102.03
121,2021-12-31,102.03
122,2021-12-30,102.03
123,2021-12-29,102.03
124,2021-12-28,102.03
125,2021-12-27,102.03
126,2021-12-26,102.03
127,2021-12-25,102.03
128,2021-12-24,102.03
129,2021-12-23,102.03
130,2021-12-22,102.03
131,2021-12-21,102.03
132,2021-12-20,102.03
133,2021-12-19,102.03
134,2021-12-18,102.03
135,2021-12-17,102.03
136,2021-12-16,102.03
137,2021-12-15,102.03
138,2021-12-14,102.03
139,2021-12-13,102.03
140,2021-12-12,102.03
141,2021-12-11,102.03
142,2021-12-10,102.03
143,2021-12-09,102.03
144,2021-12-08,102.03
145,2021-12-07,102.03
146,2021-12-06,102.03
147,2021-12-05,102.03
148,2021-12-04,102.03
149,2021-12-03,102.03
150,2021-12-02,102.03
151,2021-11-30,102.03
152,2021-11-29,102.03
153,2021-11-28,102.03
154,2021-11-27,102.03
155,2021-11-26,102.03
156,2021-11-25,102.03
157,2021-11-24,102.03
158,2021-11-23,102.03
159,2021-11-22,102.03
160,2021-11-21,102.03
161,2021-11-20,102.03
162,2021-11-19,102.03
163,2021-11-18,102.03
164,2021-11-17,102.03
165,2021-11-16,102.03
166,2021-11-15,102.03
167,2021-11-14,102.03
168,2021-11-13,102.03
169,2021-11-12,102.03
170,2021-11-11,102.03
171,2021-11-10,102.03
172,2021-11-09,102.03
173,2021-11-08,102.03
174,2021-11-07,102.03
175,2021-11-06,102.03
176,2021-11-05,102.03
177,2021-11-04,102.03
178,2021-11-03,107.29
179,2021-11-02,107.29
180,2021-11-01,106.97
181,2021-10-31,106.63
182,2021-10-30,106.33
183,2021-10-29,106.02
184,2021-10-28,105.72
185,2021-10-27,105.42
186,2021-10-26,105.11
187,2021-10-25,105.11
188,2021-10-24,105.11
189,2021-10-23,104.81
190,2021-10-22,104.51
191,2021-10-21,104.2
192,2021-10-20,103.9
193,2021-10-19,103.59
194,2021-10-18,103.59
195,2021-10-15,102.99
196,2021-10-14,102.68
197,2021-10-13,102.38
198,2021-10-12,102.38
199,2021-10-11,102.38
200,2021-10-10,102.12
201,2021-10-09,101.86
202,2021-10-08,101.6
203,2021-10-07,101.34
204,2021-10-06,101.08
205,2021-10-05,100.82
206,2021-10-04,100.6
207,2021-10-03,100.6
208,2021-10-02,100.39
209,2021-10-01,100.17
210,2021-09-30,99.96
211,2021-09-29,99.76
212,2021-09-28,99.76
213,2021-09-27,99.6
214,2021-09-26,99.6
215,2021-09-25,99.6
216,2021-09-24,99.6
217,2021-09-23,99.6
218,2021-09-22,99.6
219,2021-09-21,99.6
220,2021-09-20,99.6
221,2021-09-19,99.6
222,2021-09-18,99.6
223,2021-09-17,99.6
224,2021-09-16,99.6
225,2021-09-15,99.6
226,2021-09-14,99.6
227,2021-09-13,99.6
228,2021-09-12,99.6
229,2021-09-11,99.6
230,2021-09-10,99.6
231,2021-09-09,99.6
232,2021-09-08,99.6
233,2021-09-07,99.6
234,2021-09-06,99.6
235,2021-09-05,99.6
236,2021-09-03,99.74
237,2021-09-02,99.74
238,2021-09-01,99.74
239,2021-08-31,99.87
240,2021-08-30,99.87
241,2021-08-29,99.87
242,2021-08-28,99.87
243,2021-08-27,99.87
244,2021-08-26,99.87
245,2021-08-25,99.87
246,2021-08-24,99.87
247,2021-08-23,100
248,2021-08-22,100
249,2021-08-21,100.12
250,2021-08-20,100.12
251,2021-08-19,100.12
252,2021-08-18,103.25
253,2021-08-17,103.25
254,2021-08-16,103.25
255,2021-08-15,103.25
256,2021-08-14,103.25
257,2021-08-13,103.25
258,2021-08-12,103.25
259,2021-08-11,103.25
260,2021-08-10,103.25
261,2021-08-09,103.25
262,2021-08-08,103.25
263,2021-08-07,103.25
264,2021-08-06,103.25
265,2021-08-05,103.25
266,2021-08-04,103.25
267,2021-08-03,103.25
268,2021-08-02,103.25
269,2021-08-01,103.25
270,2021-07-31,103.25
271,2021-07-30,103.25
272,2021-07-29,103.25
273,2021-07-28,103.25
274,2021-07-27,103.25
275,2021-07-26,103.25
276,2021-07-25,103.25
277,2021-07-24,103.25
278,2021-07-23,103.25
279,2021-07-22,103.25
280,2021-07-21,103.25
281,2021-07-20,103.25
282,2021-07-19,103.25
283,2021-07-18,103.25
284,2021-07-17,103.25
285,2021-07-16,102.99
286,2021-07-15,102.99
287,2021-07-14,102.68
288,2021-07-13,102.68
289,2021-07-12,102.68
290,2021-07-11,102.43
291,2021-07-10,102.43
292,2021-07-09,102.12
293,2021-07-08,102.12
294,2021-07-07,101.81
295,2021-07-06,101.5
296,2021-07-05,101.5
297,2021-07-04,101.2
298,2021-07-03,100.89
299,2021-07-02,100.89
300,2021-07-01,100.56
301,2021-06-30,100.56
302,2021-06-29,100.56
303,2021-06-28,100.25
304,2021-06-27,100.25
305,2021-06-26,99.94
306,2021-06-25,99.63
307,2021-06-24,99.63
308,2021-06-23,99.4
309,2021-06-22,99.4
310,2021-06-21,99.16
311,2021-06-20,99.16
312,2021-06-19,98.9
313,2021-06-18,98.9
314,2021-06-17,98.66
315,2021-06-16,98.66
316,2021-06-15,98.44
317,2021-06-14,98.44
318,2021-06-13,98.19
319,2021-06-12,98.19
320,2021-06-11,97.95
321,2021-06-10,97.69
322,2021-06-09,97.69
323,2021-06-08,97.47
324,2021-06-07,97.47
325,2021-06-06,97.22
326,2021-06-05,96.99
327,2021-06-04,96.99
328,2021-06-03,96.75
329,2021-06-02,96.75
330,2021-06-01,96.75
331,2021-05-31,96.52
332,2021-05-30,96.26
333,2021-05-29,96.26
334,2021-05-28,96.03
335,2021-05-27,96.03
336,2021-05-26,95.82
337,2021-05-25,95.82
338,2021-05-24,95.62
339,2021-05-23,95.62
340,2021-05-22,95.47
341,2021-05-21,95.47
342,2021-05-20,95.3
343,2021-05-19,95.3
344,2021-05-18,95.3
345,2021-05-17,95.06
346,2021-05-16,95.06
347,2021-05-15,94.85
348,2021-05-14,94.85
349,2021-05-13,94.59
350,2021-05-12,94.59
351,2021-05-11,94.37
352,2021-05-10,94.14
353,2021-05-09,93.91
354,2021-05-08,93.91
355,2021-05-07,93.91
356,2021-05-06,93.66
357,2021-05-05,93.44
358,2021-05-04,93.27
359,2021-05-03,93.1
360,2021-05-02,93.1
361,2021-05-01,93.1
362,2021-04-30,93.1
363,2021-04-29,93.1
