,date,price
0,2022-05-01,111.45
1,2022-04-30,111.45
2,2022-04-29,111.45
3,2022-04-28,111.45
4,2022-04-27,111.45
5,2022-04-26,111.45
6,2022-04-25,111.45
7,2022-04-24,111.45
8,2022-04-23,111.45
9,2022-04-22,111.45
10,2022-04-21,111.45
11,2022-04-20,111.45
12,2022-04-19,111.45
13,2022-04-18,111.45
14,2022-04-17,111.45
15,2022-04-16,111.45
16,2022-04-15,111.45
17,2022-04-14,111.45
18,2022-04-13,111.45
19,2022-04-12,111.45
20,2022-04-11,111.45
21,2022-04-10,111.45
22,2022-04-09,111.45
23,2022-04-08,111.45
24,2022-04-07,111.45
25,2022-04-06,111.45
26,2022-04-05,110.69
27,2022-04-04,109.93
28,2022-04-03,109.56
29,2022-04-02,108.8
30,2022-04-01,108.04
31,2022-03-31,108.04
32,2022-03-30,107.29
33,2022-03-29,106.53
34,2022-03-28,105.78
35,2022-03-27,105.49
36,2022-03-26,105.02
37,2022-03-25,104.27
38,2022-03-24,103.52
39,2022-03-23,103.52
40,2022-03-22,102.76
41,2022-03-21,102
42,2022-03-20,102
43,2022-03-19,102
44,2022-03-18,102
45,2022-03-17,102
46,2022-03-16,102
47,2022-03-15,102
48,2022-03-14,102
49,2022-03-13,102
50,2022-03-12,102
51,2022-03-11,102
52,2022-03-10,102
53,2022-03-09,102
54,2022-03-08,102
55,2022-03-07,102
56,2022-03-06,102
57,2022-03-05,102
58,2022-03-04,102
59,2022-03-03,102
60,2022-03-02,102
61,2022-03-01,102
62,2022-02-28,102
63,2022-02-27,102
64,2022-02-26,102
65,2022-02-25,102
66,2022-02-24,102
67,2022-02-23,102
68,2022-02-22,102
69,2022-02-21,102
70,2022-02-20,102
71,2022-02-19,102
72,2022-02-18,102
73,2022-02-17,102
74,2022-02-16,102
75,2022-02-15,102
76,2022-02-14,102
77,2022-02-13,102
78,2022-02-12,102
79,2022-02-11,102
80,2022-02-10,102
81,2022-02-09,102
82,2022-02-08,102
83,2022-02-07,102
84,2022-02-06,102
85,2022-02-05,102
86,2022-02-04,102
87,2022-02-03,102
88,2022-02-02,102
89,2022-02-01,102
90,2022-01-31,102
91,2022-01-30,102
92,2022-01-29,102
93,2022-01-28,102
94,2022-01-27,102
95,2022-01-26,102
96,2022-01-25,102
97,2022-01-24,102
98,2022-01-23,102
99,2022-01-22,102
100,2022-01-21,102
101,2022-01-20,102
102,2022-01-19,102
103,2022-01-18,102
104,2022-01-17,102
105,2022-01-16,102
106,2022-01-15,102
107,2022-01-14,102
108,2022-01-13,102
109,2022-01-12,102
110,2022-01-11,102
111,2022-01-10,102
112,2022-01-09,102
113,2022-01-08,102
114,2022-01-07,102
115,2022-01-06,102
116,2022-01-05,102
117,2022-01-04,102
118,2022-01-03,102
119,2022-01-02,102
120,2022-01-01,102
121,2021-12-31,102
122,2021-12-30,102
123,2021-12-29,102
124,2021-12-28,102
125,2021-12-27,102
126,2021-12-26,102
127,2021-12-25,102
128,2021-12-24,102
129,2021-12-23,102
130,2021-12-22,102
131,2021-12-21,102
132,2021-12-20,102
133,2021-12-19,102
134,2021-12-18,102
135,2021-12-17,102
136,2021-12-16,102
137,2021-12-15,102
138,2021-12-14,102
139,2021-12-13,102
140,2021-12-12,102
141,2021-12-11,102
142,2021-12-10,102
143,2021-12-09,102
144,2021-12-08,102
145,2021-12-07,102
146,2021-12-06,102
147,2021-12-05,102
148,2021-12-04,102
149,2021-12-03,102
150,2021-12-02,102
151,2021-11-30,102
152,2021-11-29,102
153,2021-11-28,102
154,2021-11-27,102
155,2021-11-26,102
156,2021-11-25,102
157,2021-11-24,102
158,2021-11-23,102
159,2021-11-22,102
160,2021-11-21,102
161,2021-11-20,102
162,2021-11-19,102
163,2021-11-18,102
164,2021-11-17,102
165,2021-11-16,102
166,2021-11-15,102
167,2021-11-14,102
168,2021-11-13,102
169,2021-11-12,102
170,2021-11-11,102
