,date,price
0,2022-05-01,111.14
1,2022-04-30,111.14
2,2022-04-29,111.14
3,2022-04-28,111.14
4,2022-04-27,111.14
5,2022-04-26,111.14
6,2022-04-25,111.14
7,2022-04-24,111.14
8,2022-04-23,111.14
9,2022-04-22,111.14
10,2022-04-21,111.14
11,2022-04-20,111.14
12,2022-04-19,111.14
13,2022-04-18,111.14
14,2022-04-17,111.14
15,2022-04-16,111.14
16,2022-04-15,111.14
17,2022-04-14,111.14
18,2022-04-13,111.14
19,2022-04-12,111.14
20,2022-04-11,111.14
21,2022-04-10,111.14
22,2022-04-09,111.14
23,2022-04-08,111.14
24,2022-04-07,111.14
25,2022-04-06,111.14
26,2022-04-05,110.39
27,2022-04-04,109.63
28,2022-04-03,109.25
29,2022-04-02,108.5
30,2022-04-01,107.74
31,2022-03-31,107.74
32,2022-03-30,106.99
33,2022-03-29,106.23
34,2022-03-28,105.47
35,2022-03-27,105.19
36,2022-03-26,104.72
37,2022-03-25,103.96
38,2022-03-24,103.21
39,2022-03-23,103.21
40,2022-03-22,102.45
41,2022-03-21,101.69
42,2022-03-20,101.69
43,2022-03-19,101.69
44,2022-03-18,101.69
45,2022-03-17,101.69
46,2022-03-16,101.69
47,2022-03-15,101.69
48,2022-03-14,101.69
49,2022-03-13,101.69
50,2022-03-12,101.69
51,2022-03-11,101.69
52,2022-03-10,101.69
53,2022-03-09,101.69
54,2022-03-08,101.69
55,2022-03-07,101.69
56,2022-03-06,101.69
57,2022-03-05,101.69
58,2022-03-04,101.69
59,2022-03-03,101.69
60,2022-03-02,101.69
61,2022-03-01,101.69
62,2022-02-28,101.69
63,2022-02-27,101.69
64,2022-02-26,101.69
65,2022-02-25,101.69
66,2022-02-24,101.69
67,2022-02-23,101.69
68,2022-02-22,101.69
69,2022-02-21,101.69
70,2022-02-20,101.69
71,2022-02-19,101.69
72,2022-02-18,101.69
73,2022-02-17,101.69
74,2022-02-16,101.69
75,2022-02-15,101.69
76,2022-02-14,101.69
77,2022-02-13,101.69
78,2022-02-12,101.69
79,2022-02-11,101.69
80,2022-02-10,101.69
81,2022-02-09,101.69
82,2022-02-08,101.69
83,2022-02-07,101.69
84,2022-02-06,101.69
85,2022-02-05,101.69
86,2022-02-04,101.69
87,2022-02-03,101.69
88,2022-02-02,101.69
89,2022-02-01,101.69
90,2022-01-31,101.69
91,2022-01-30,101.69
92,2022-01-29,101.69
93,2022-01-28,101.69
94,2022-01-27,101.69
95,2022-01-26,101.69
96,2022-01-25,101.69
97,2022-01-24,101.69
98,2022-01-23,101.69
99,2022-01-22,101.69
100,2022-01-21,101.69
101,2022-01-20,101.69
102,2022-01-19,101.69
103,2022-01-18,101.69
104,2022-01-17,101.69
105,2022-01-16,101.69
106,2022-01-15,101.69
107,2022-01-14,101.69
108,2022-01-13,101.69
109,2022-01-12,101.69
110,2022-01-11,101.69
111,2022-01-10,101.69
112,2022-01-09,101.69
113,2022-01-08,101.69
114,2022-01-07,101.69
115,2022-01-06,101.69
116,2022-01-05,101.69
117,2022-01-04,101.69
118,2022-01-03,101.69
119,2022-01-02,101.69
120,2022-01-01,101.69
121,2021-12-31,101.69
122,2021-12-30,101.69
123,2021-12-29,101.69
124,2021-12-28,101.69
125,2021-12-27,101.69
126,2021-12-26,101.69
127,2021-12-25,101.69
128,2021-12-24,101.69
129,2021-12-23,101.69
130,2021-12-22,101.69
131,2021-12-21,101.69
132,2021-12-20,101.69
133,2021-12-19,101.69
134,2021-12-18,101.69
135,2021-12-17,101.69
136,2021-12-16,101.69
137,2021-12-15,101.69
138,2021-12-14,101.69
139,2021-12-13,101.69
140,2021-12-12,101.69
141,2021-12-11,101.69
142,2021-12-10,101.69
143,2021-12-09,101.69
144,2021-12-08,101.69
145,2021-12-07,101.69
146,2021-12-06,101.69
147,2021-12-05,101.69
148,2021-12-04,101.69
149,2021-12-03,101.69
150,2021-12-02,101.69
151,2021-11-30,101.69
152,2021-11-29,101.69
153,2021-11-28,101.69
154,2021-11-27,101.69
155,2021-11-26,101.69
156,2021-11-25,101.69
157,2021-11-24,101.69
158,2021-11-23,101.69
159,2021-11-22,101.69
160,2021-11-21,101.69
161,2021-11-20,101.69
162,2021-11-19,101.69
163,2021-11-18,101.69
164,2021-11-17,101.69
165,2021-11-16,101.69
166,2021-11-15,101.69
167,2021-11-14,101.69
168,2021-11-13,101.69
169,2021-11-12,101.69
170,2021-11-11,101.69
171,2021-11-10,101.69
172,2021-11-09,101.69
173,2021-11-08,101.69
174,2021-11-07,101.69
175,2021-11-06,101.69
176,2021-11-05,101.69
177,2021-11-04,101.69
178,2021-11-03,106.96
179,2021-11-02,106.96
180,2021-11-01,106.64
181,2021-10-31,106.32
182,2021-10-30,106.01
183,2021-10-29,105.71
184,2021-10-28,105.41
185,2021-10-27,105.1
186,2021-10-26,104.8
187,2021-10-25,104.8
188,2021-10-24,104.8
189,2021-10-23,104.5
190,2021-10-22,104.19
191,2021-10-21,103.89
192,2021-10-20,103.58
193,2021-10-19,103.28
194,2021-10-18,103.28
195,2021-10-15,102.67
196,2021-10-14,102.37
197,2021-10-13,102.07
198,2021-10-12,102.07
199,2021-10-11,102.07
200,2021-10-10,101.81
201,2021-10-09,101.55
202,2021-10-08,101.29
203,2021-10-07,101.03
204,2021-10-06,100.77
205,2021-10-05,100.51
206,2021-10-04,100.29
207,2021-10-03,100.29
208,2021-10-02,100.07
209,2021-10-01,99.86
210,2021-09-30,99.65
211,2021-09-29,99.45
212,2021-09-28,99.45
213,2021-09-27,99.28
214,2021-09-26,99.28
215,2021-09-25,99.28
216,2021-09-24,99.28
217,2021-09-23,99.28
218,2021-09-22,99.28
219,2021-09-21,99.28
220,2021-09-20,99.28
221,2021-09-19,99.28
222,2021-09-18,99.28
223,2021-09-17,99.28
224,2021-09-16,99.28
225,2021-09-15,99.28
226,2021-09-14,99.28
227,2021-09-13,99.28
228,2021-09-12,99.28
229,2021-09-11,99.28
230,2021-09-10,99.28
231,2021-09-09,99.28
232,2021-09-08,99.28
233,2021-09-07,99.28
234,2021-09-06,99.28
235,2021-09-05,99.28
236,2021-09-03,99.42
237,2021-09-02,99.42
238,2021-09-01,99.42
