,date,price
0,2022-05-01,121.78
1,2022-04-30,121.78
2,2022-04-29,121.78
3,2022-04-28,121.78
4,2022-04-27,121.78
5,2022-04-26,121.78
6,2022-04-25,121.78
7,2022-04-24,121.78
8,2022-04-23,121.78
9,2022-04-22,121.78
10,2022-04-21,121.78
11,2022-04-20,121.78
12,2022-04-19,121.78
13,2022-04-18,121.78
14,2022-04-17,121.78
15,2022-04-16,121.78
16,2022-04-15,121.78
17,2022-04-14,121.78
18,2022-04-13,121.78
19,2022-04-12,121.78
20,2022-04-11,121.78
21,2022-04-10,121.78
22,2022-04-09,121.78
23,2022-04-08,121.78
24,2022-04-07,121.78
25,2022-04-06,121.78
26,2022-04-05,120.87
27,2022-04-04,119.97
28,2022-04-03,119.52
29,2022-04-02,118.61
30,2022-04-01,117.71
31,2022-03-31,117.71
32,2022-03-30,116.8
33,2022-03-29,115.9
34,2022-03-28,114.99
35,2022-03-27,114.66
36,2022-03-26,114.09
37,2022-03-25,113.28
38,2022-03-24,112.37
39,2022-03-23,112.37
40,2022-03-22,111.47
41,2022-03-21,110.56
42,2022-03-20,110.56
43,2022-03-19,110.56
44,2022-03-18,110.56
45,2022-03-17,110.56
46,2022-03-16,110.56
47,2022-03-15,110.56
48,2022-03-14,110.56
49,2022-03-13,110.56
50,2022-03-12,110.56
51,2022-03-11,110.56
52,2022-03-10,110.56
53,2022-03-09,110.56
54,2022-03-08,110.56
55,2022-03-07,110.56
56,2022-03-06,110.56
57,2022-03-05,110.56
58,2022-03-04,110.56
59,2022-03-03,110.56
60,2022-03-02,110.56
61,2022-03-01,110.56
62,2022-02-28,110.56
63,2022-02-27,110.56
64,2022-02-26,110.56
65,2022-02-25,110.56
66,2022-02-24,110.56
67,2022-02-23,110.56
68,2022-02-22,110.56
69,2022-02-21,110.56
70,2022-02-20,110.56
71,2022-02-19,110.56
72,2022-02-18,110.56
73,2022-02-17,110.56
74,2022-02-16,110.56
75,2022-02-15,110.56
76,2022-02-14,110.56
77,2022-02-13,110.56
78,2022-02-12,110.56
