,date,price
0,2022-05-01,119.65
1,2022-04-30,119.65
2,2022-04-29,119.65
3,2022-04-28,119.65
4,2022-04-27,119.65
5,2022-04-26,119.65
6,2022-04-25,119.65
7,2022-04-24,119.65
8,2022-04-23,119.65
9,2022-04-22,119.65
10,2022-04-21,119.65
11,2022-04-20,119.65
12,2022-04-19,119.65
13,2022-04-18,119.65
14,2022-04-17,119.65
15,2022-04-16,119.65
16,2022-04-15,119.65
17,2022-04-14,119.65
18,2022-04-13,119.65
19,2022-04-12,119.65
20,2022-04-11,119.65
21,2022-04-10,119.65
22,2022-04-09,119.65
23,2022-04-08,119.65
24,2022-04-07,119.65
25,2022-04-06,119.65
26,2022-04-05,118.74
27,2022-04-04,117.84
28,2022-04-03,117.39
29,2022-04-02,116.48
30,2022-04-01,115.58
31,2022-03-31,115.58
32,2022-03-30,114.67
33,2022-03-29,113.77
34,2022-03-28,112.86
35,2022-03-27,112.52
36,2022-03-26,111.96
37,2022-03-25,111.08
38,2022-03-24,110.17
39,2022-03-23,110.17
40,2022-03-22,109.27
41,2022-03-21,108.36
42,2022-03-20,108.36
43,2022-03-19,108.36
44,2022-03-18,108.36
45,2022-03-17,108.36
46,2022-03-16,108.36
47,2022-03-15,108.36
48,2022-03-14,108.36
49,2022-03-13,108.36
50,2022-03-12,108.36
51,2022-03-11,108.36
52,2022-03-10,108.36
53,2022-03-09,108.36
54,2022-03-08,108.36
55,2022-03-07,108.36
56,2022-03-06,108.36
57,2022-03-05,108.36
58,2022-03-04,108.36
59,2022-03-03,108.36
60,2022-03-02,108.36
61,2022-03-01,108.36
62,2022-02-28,108.36
63,2022-02-27,108.36
64,2022-02-26,108.36
65,2022-02-25,108.36
66,2022-02-24,108.36
67,2022-02-23,108.36
68,2022-02-22,108.36
69,2022-02-21,108.36
70,2022-02-20,108.36
71,2022-02-19,108.36
72,2022-02-18,108.36
73,2022-02-17,108.36
74,2022-02-16,108.36
75,2022-02-15,108.36
76,2022-02-14,108.36
77,2022-02-13,108.36
78,2022-02-12,108.36
79,2022-02-11,108.36
80,2022-02-10,108.36
81,2022-02-09,108.36
82,2022-02-08,108.36
83,2022-02-07,108.36
84,2022-02-06,108.36
85,2022-02-05,108.36
86,2022-02-04,108.36
87,2022-02-03,108.36
88,2022-02-02,108.36
89,2022-02-01,108.36
90,2022-01-31,108.36
91,2022-01-30,108.36
92,2022-01-29,108.36
93,2022-01-28,108.36
94,2022-01-27,108.36
95,2022-01-26,108.36
96,2022-01-25,108.36
97,2022-01-24,108.36
98,2022-01-23,108.36
99,2022-01-22,108.36
100,2022-01-21,108.36
101,2022-01-20,108.36
102,2022-01-19,108.36
103,2022-01-18,108.36
104,2022-01-17,108.36
105,2022-01-16,108.36
106,2022-01-15,108.36
107,2022-01-14,108.36
108,2022-01-13,108.36
109,2022-01-12,108.36
110,2022-01-11,108.36
111,2022-01-10,108.36
112,2022-01-09,108.36
113,2022-01-08,108.36
114,2022-01-07,108.36
115,2022-01-06,108.36
116,2022-01-05,108.36
117,2022-01-04,108.36
118,2022-01-03,108.36
119,2022-01-02,108.36
120,2022-01-01,108.36
121,2021-12-31,108.36
122,2021-12-30,108.36
123,2021-12-29,108.36
124,2021-12-28,108.36
125,2021-12-27,108.36
126,2021-12-26,108.36
127,2021-12-25,108.36
128,2021-12-24,108.36
129,2021-12-23,108.36
130,2021-12-22,108.36
131,2021-12-21,108.36
132,2021-12-20,108.36
133,2021-12-19,108.36
134,2021-12-18,108.36
135,2021-12-17,108.36
136,2021-12-16,108.36
137,2021-12-15,108.36
138,2021-12-14,108.36
139,2021-12-13,108.36
140,2021-12-12,108.36
141,2021-12-11,108.36
142,2021-12-10,108.36
143,2021-12-09,108.36
144,2021-12-08,108.36
145,2021-12-07,108.36
146,2021-12-06,108.36
147,2021-12-05,108.36
148,2021-12-04,108.36
149,2021-12-03,108.36
150,2021-12-02,108.36
151,2021-11-30,108.36
152,2021-11-29,108.36
153,2021-11-28,108.36
154,2021-11-27,108.36
155,2021-11-26,108.36
156,2021-11-25,108.36
157,2021-11-24,108.36
158,2021-11-23,108.36
159,2021-11-22,108.36
160,2021-11-21,108.36
161,2021-11-20,108.36
162,2021-11-19,108.36
163,2021-11-18,108.36
164,2021-11-17,108.36
165,2021-11-16,108.36
166,2021-11-15,108.36
167,2021-11-14,108.36
168,2021-11-13,108.36
169,2021-11-12,108.36
170,2021-11-11,108.36
171,2021-11-10,108.36
172,2021-11-09,108.36
173,2021-11-08,108.36
174,2021-11-07,108.36
175,2021-11-06,108.36
176,2021-11-05,108.36
177,2021-11-04,108.36
178,2021-11-03,114.66
179,2021-11-02,114.66
180,2021-11-01,114.28
181,2021-10-31,113.85
182,2021-10-30,113.49
183,2021-10-29,113.13
184,2021-10-28,112.76
185,2021-10-27,112.4
186,2021-10-26,112.04
187,2021-10-25,112.04
188,2021-10-24,112.04
189,2021-10-23,111.67
190,2021-10-22,111.31
191,2021-10-21,110.95
192,2021-10-20,110.58
193,2021-10-19,110.22
194,2021-10-18,110.22
195,2021-10-15,109.5
196,2021-10-14,109.13
197,2021-10-13,108.77
198,2021-10-12,108.77
199,2021-10-11,108.77
200,2021-10-10,108.46
201,2021-10-09,108.15
202,2021-10-08,107.84
203,2021-10-07,107.52
204,2021-10-06,107.21
205,2021-10-05,106.9
206,2021-10-04,106.64
207,2021-10-03,106.64
208,2021-10-02,106.38
209,2021-10-01,106.12
210,2021-09-30,105.88
211,2021-09-29,105.63
212,2021-09-28,105.63
213,2021-09-27,105.44
214,2021-09-26,105.44
215,2021-09-25,105.44
216,2021-09-24,105.44
217,2021-09-23,105.44
218,2021-09-22,105.44
219,2021-09-21,105.44
220,2021-09-20,105.44
221,2021-09-19,105.44
222,2021-09-18,105.44
223,2021-09-17,105.44
224,2021-09-16,105.44
225,2021-09-15,105.44
226,2021-09-14,105.44
227,2021-09-13,105.44
228,2021-09-12,105.44
229,2021-09-11,105.44
230,2021-09-10,105.44
231,2021-09-09,105.44
232,2021-09-08,105.44
233,2021-09-07,105.44
234,2021-09-06,105.44
235,2021-09-05,105.44
236,2021-09-03,105.6
237,2021-09-02,105.6
