,date,price
0,2022-05-01,119.55
1,2022-04-30,119.55
2,2022-04-29,119.55
3,2022-04-28,119.55
4,2022-04-27,119.55
5,2022-04-26,119.55
6,2022-04-25,119.55
7,2022-04-24,119.55
8,2022-04-23,119.55
9,2022-04-22,119.55
10,2022-04-21,119.55
11,2022-04-20,119.55
12,2022-04-19,119.55
13,2022-04-18,119.55
14,2022-04-17,119.55
15,2022-04-16,119.55
16,2022-04-15,119.55
17,2022-04-14,119.55
18,2022-04-13,119.55
19,2022-04-12,119.55
20,2022-04-11,119.55
21,2022-04-10,119.55
22,2022-04-09,119.55
23,2022-04-08,119.55
24,2022-04-07,119.55
25,2022-04-06,119.55
26,2022-04-05,118.64
27,2022-04-04,117.74
28,2022-04-03,117.29
29,2022-04-02,116.38
30,2022-04-01,115.48
31,2022-03-31,115.48
32,2022-03-30,114.57
33,2022-03-29,113.67
34,2022-03-28,112.76
35,2022-03-27,112.43
36,2022-03-26,111.86
37,2022-03-25,110.98
38,2022-03-24,110.07
39,2022-03-23,110.07
40,2022-03-22,109.17
41,2022-03-21,108.26
42,2022-03-20,108.26
43,2022-03-19,108.26
44,2022-03-18,108.26
45,2022-03-17,108.26
46,2022-03-16,108.26
47,2022-03-15,108.26
48,2022-03-14,108.26
49,2022-03-13,108.26
50,2022-03-12,108.26
51,2022-03-11,108.26
52,2022-03-10,108.26
53,2022-03-09,108.26
54,2022-03-08,108.26
55,2022-03-07,108.26
56,2022-03-06,108.26
57,2022-03-05,108.26
58,2022-03-04,108.26
59,2022-03-03,108.26
60,2022-03-02,108.26
61,2022-03-01,108.26
62,2022-02-28,108.26
63,2022-02-27,108.26
64,2022-02-26,108.26
65,2022-02-25,108.26
66,2022-02-24,108.26
67,2022-02-23,108.26
68,2022-02-22,108.26
69,2022-02-21,108.26
70,2022-02-20,108.26
71,2022-02-19,108.26
72,2022-02-18,108.26
73,2022-02-17,108.26
74,2022-02-16,108.26
75,2022-02-15,108.26
76,2022-02-14,108.26
77,2022-02-13,108.26
78,2022-02-12,108.26
79,2022-02-11,108.26
80,2022-02-10,108.26
81,2022-02-09,108.26
82,2022-02-08,108.26
83,2022-02-07,108.26
84,2022-02-06,108.26
85,2022-02-05,108.26
86,2022-02-04,108.26
87,2022-02-03,108.26
88,2022-02-02,108.26
89,2022-02-01,108.26
90,2022-01-31,108.26
91,2022-01-30,108.26
92,2022-01-29,108.26
93,2022-01-28,108.26
94,2022-01-27,108.26
95,2022-01-26,108.26
96,2022-01-25,108.26
97,2022-01-24,108.26
98,2022-01-23,108.26
99,2022-01-22,108.26
100,2022-01-21,108.26
101,2022-01-20,108.26
102,2022-01-19,108.26
103,2022-01-18,108.26
104,2022-01-17,108.26
105,2022-01-16,108.26
106,2022-01-15,108.26
107,2022-01-14,108.26
108,2022-01-13,108.26
109,2022-01-12,108.26
110,2022-01-11,108.26
111,2022-01-10,108.26
112,2022-01-09,108.26
113,2022-01-08,108.26
114,2022-01-07,108.26
115,2022-01-06,108.26
116,2022-01-05,108.26
117,2022-01-04,108.26
118,2022-01-03,108.26
119,2022-01-02,108.26
120,2022-01-01,108.26
121,2021-12-31,108.26
122,2021-12-30,108.26
123,2021-12-29,108.26
124,2021-12-28,108.26
125,2021-12-27,108.26
126,2021-12-26,108.26
127,2021-12-25,108.26
128,2021-12-24,108.26
