,date,price
0,2022-05-01,119.86
1,2022-04-30,119.86
2,2022-04-29,119.86
3,2022-04-28,119.86
4,2022-04-27,119.86
5,2022-04-26,119.86
6,2022-04-25,119.86
7,2022-04-24,119.86
8,2022-04-23,119.86
9,2022-04-22,119.86
10,2022-04-21,119.86
11,2022-04-20,119.86
12,2022-04-19,119.86
13,2022-04-18,119.86
14,2022-04-17,119.86
15,2022-04-16,119.86
16,2022-04-15,119.86
17,2022-04-14,119.86
18,2022-04-13,119.86
19,2022-04-12,119.86
20,2022-04-11,119.86
21,2022-04-10,119.86
22,2022-04-09,119.86
23,2022-04-08,119.86
24,2022-04-07,119.86
25,2022-04-06,119.86
26,2022-04-05,118.95
27,2022-04-04,118.05
28,2022-04-03,117.6
29,2022-04-02,116.69
30,2022-04-01,115.79
31,2022-03-31,115.79
32,2022-03-30,114.88
33,2022-03-29,113.98
34,2022-03-28,113.08
35,2022-03-27,112.74
36,2022-03-26,112.17
37,2022-03-25,111.29
38,2022-03-24,110.39
39,2022-03-23,110.39
40,2022-03-22,109.48
41,2022-03-21,108.52
42,2022-03-20,108.52
43,2022-03-19,108.52
44,2022-03-18,108.52
45,2022-03-17,108.52
46,2022-03-16,108.52
47,2022-03-15,108.52
48,2022-03-14,108.52
49,2022-03-13,108.52
50,2022-03-12,108.52
51,2022-03-11,108.52
52,2022-03-10,108.52
53,2022-03-09,108.52
54,2022-03-08,108.52
55,2022-03-07,108.52
56,2022-03-06,108.52
57,2022-03-05,108.52
58,2022-03-04,108.52
59,2022-03-03,108.52
60,2022-03-02,108.52
61,2022-03-01,108.52
62,2022-02-28,108.52
63,2022-02-27,108.52
64,2022-02-26,108.52
65,2022-02-25,108.52
66,2022-02-24,108.52
67,2022-02-23,108.52
68,2022-02-22,108.52
69,2022-02-21,108.52
70,2022-02-20,108.52
71,2022-02-19,108.52
72,2022-02-18,108.52
73,2022-02-17,108.52
74,2022-02-16,108.52
75,2022-02-15,108.52
76,2022-02-14,108.52
77,2022-02-13,108.52
78,2022-02-12,108.52
79,2022-02-11,108.52
80,2022-02-10,108.52
81,2022-02-09,108.52
82,2022-02-08,108.52
83,2022-02-07,108.52
84,2022-02-06,108.52
85,2022-02-05,108.52
86,2022-02-04,108.52
87,2022-02-03,108.52
88,2022-02-02,108.52
89,2022-02-01,108.52
90,2022-01-31,108.52
91,2022-01-30,108.52
92,2022-01-29,108.52
93,2022-01-28,108.52
94,2022-01-27,108.52
95,2022-01-26,108.52
96,2022-01-25,108.52
97,2022-01-24,108.52
98,2022-01-23,108.52
99,2022-01-22,108.52
100,2022-01-21,108.52
101,2022-01-20,108.52
102,2022-01-19,108.52
103,2022-01-18,108.52
104,2022-01-17,108.52
105,2022-01-16,108.52
106,2022-01-15,108.52
107,2022-01-14,108.52
108,2022-01-13,108.52
109,2022-01-12,108.52
110,2022-01-11,108.52
111,2022-01-10,108.52
112,2022-01-09,108.52
113,2022-01-08,108.52
114,2022-01-07,108.52
115,2022-01-06,108.52
116,2022-01-05,108.52
117,2022-01-04,108.52
118,2022-01-03,108.52
119,2022-01-02,108.52
120,2022-01-01,108.52
121,2021-12-31,108.52
122,2021-12-30,108.52
123,2021-12-29,108.52
124,2021-12-28,108.52
125,2021-12-27,108.52
126,2021-12-26,108.52
127,2021-12-25,108.52
128,2021-12-24,108.52
129,2021-12-23,108.52
130,2021-12-22,108.52
131,2021-12-21,108.52
132,2021-12-20,108.52
133,2021-12-19,108.52
134,2021-12-18,108.52
135,2021-12-17,108.52
136,2021-12-16,108.52
137,2021-12-15,108.52
138,2021-12-14,108.52
139,2021-12-13,108.52
140,2021-12-12,108.52
141,2021-12-11,108.52
142,2021-12-10,108.52
143,2021-12-09,108.52
144,2021-12-08,108.52
145,2021-12-07,108.52
146,2021-12-06,108.52
147,2021-12-05,108.52
148,2021-12-04,108.52
149,2021-12-03,108.52
150,2021-12-02,108.52
151,2021-11-30,108.52
152,2021-11-29,108.52
153,2021-11-28,108.52
154,2021-11-27,108.52
155,2021-11-26,108.52
156,2021-11-25,108.52
157,2021-11-24,108.52
158,2021-11-23,108.52
159,2021-11-22,108.52
160,2021-11-21,108.52
161,2021-11-20,108.52
162,2021-11-19,108.52
163,2021-11-18,108.52
164,2021-11-17,108.52
165,2021-11-16,108.52
166,2021-11-15,108.52
167,2021-11-14,108.52
168,2021-11-13,108.52
169,2021-11-12,108.52
170,2021-11-11,108.52
171,2021-11-10,108.52
172,2021-11-09,108.52
