,date,price
0,2022-05-01,118.97
1,2022-04-30,118.97
2,2022-04-29,118.97
3,2022-04-28,118.97
4,2022-04-27,118.97
5,2022-04-26,118.97
6,2022-04-25,118.97
7,2022-04-24,118.97
8,2022-04-23,118.97
9,2022-04-22,118.97
10,2022-04-21,118.97
11,2022-04-20,118.97
12,2022-04-19,118.97
13,2022-04-18,118.97
14,2022-04-17,118.97
15,2022-04-16,118.97
16,2022-04-15,118.97
17,2022-04-14,118.97
18,2022-04-13,118.97
19,2022-04-12,118.97
20,2022-04-11,118.97
21,2022-04-10,118.97
22,2022-04-09,118.97
23,2022-04-08,118.97
24,2022-04-07,118.97
25,2022-04-06,118.97
26,2022-04-05,118.07
27,2022-04-04,117.17
28,2022-04-03,116.71
29,2022-04-02,115.81
30,2022-04-01,114.9
31,2022-03-31,114.9
32,2022-03-30,114
33,2022-03-29,113.1
34,2022-03-28,112.19
35,2022-03-27,111.85
36,2022-03-26,111.29
37,2022-03-25,110.38
38,2022-03-24,109.48
39,2022-03-23,109.48
40,2022-03-22,108.57
41,2022-03-21,107.67
42,2022-03-20,107.67
43,2022-03-19,107.67
44,2022-03-18,107.67
45,2022-03-17,107.67
46,2022-03-16,107.67
47,2022-03-15,107.67
48,2022-03-14,107.67
49,2022-03-13,107.67
50,2022-03-12,107.67
51,2022-03-11,107.67
52,2022-03-10,107.67
53,2022-03-09,107.67
54,2022-03-08,107.67
55,2022-03-07,107.67
56,2022-03-06,107.67
57,2022-03-05,107.67
58,2022-03-04,107.67
59,2022-03-03,107.67
60,2022-03-02,107.67
61,2022-03-01,107.67
62,2022-02-28,107.67
63,2022-02-27,107.67
64,2022-02-26,107.67
65,2022-02-25,107.67
66,2022-02-24,107.67
67,2022-02-23,107.67
68,2022-02-22,107.67
69,2022-02-21,107.67
70,2022-02-20,107.67
71,2022-02-19,107.67
72,2022-02-18,107.67
73,2022-02-17,107.67
74,2022-02-16,107.67
75,2022-02-15,107.67
76,2022-02-14,107.67
77,2022-02-13,107.67
78,2022-02-12,107.67
79,2022-02-11,107.67
80,2022-02-10,107.67
81,2022-02-09,107.67
82,2022-02-08,107.67
83,2022-02-07,107.67
84,2022-02-06,107.67
85,2022-02-05,107.67
86,2022-02-04,107.67
87,2022-02-03,107.67
88,2022-02-02,107.67
89,2022-02-01,107.67
90,2022-01-31,107.67
91,2022-01-30,107.67
92,2022-01-29,107.67
93,2022-01-28,107.67
94,2022-01-27,107.67
95,2022-01-26,107.67
96,2022-01-25,107.67
97,2022-01-24,107.67
98,2022-01-23,107.67
99,2022-01-22,107.67
100,2022-01-21,107.67
101,2022-01-20,107.67
102,2022-01-19,107.67
103,2022-01-18,107.67
104,2022-01-17,107.67
105,2022-01-16,107.67
106,2022-01-15,107.67
107,2022-01-14,107.67
108,2022-01-13,107.67
109,2022-01-12,107.67
110,2022-01-11,107.67
111,2022-01-10,107.67
112,2022-01-09,107.67
113,2022-01-08,107.67
114,2022-01-07,107.67
115,2022-01-06,107.67
116,2022-01-05,107.67
117,2022-01-04,107.67
118,2022-01-03,107.67
119,2022-01-02,107.67
120,2022-01-01,107.67
121,2021-12-31,107.67
122,2021-12-30,107.67
123,2021-12-29,107.67
124,2021-12-28,107.67
125,2021-12-27,107.67
126,2021-12-26,107.67
127,2021-12-25,107.67
128,2021-12-24,107.67
129,2021-12-23,107.67
130,2021-12-22,107.67
131,2021-12-21,107.67
132,2021-12-20,107.67
133,2021-12-19,107.67
134,2021-12-18,107.67
135,2021-12-17,107.67
136,2021-12-16,107.67
137,2021-12-15,107.67
138,2021-12-14,107.67
139,2021-12-13,107.67
140,2021-12-12,107.67
141,2021-12-11,107.67
142,2021-12-10,107.67
143,2021-12-09,107.67
144,2021-12-08,107.67
145,2021-12-07,107.67
146,2021-12-06,107.67
147,2021-12-05,107.67
148,2021-12-04,107.67
149,2021-12-03,107.67
150,2021-12-02,107.67
151,2021-11-30,107.67
152,2021-11-29,107.67
153,2021-11-28,107.67
154,2021-11-27,107.67
155,2021-11-26,107.67
156,2021-11-25,107.67
157,2021-11-24,107.67
158,2021-11-23,107.67
159,2021-11-22,107.67
160,2021-11-21,107.67
161,2021-11-20,107.67
162,2021-11-19,107.67
163,2021-11-18,107.67
164,2021-11-17,107.67
165,2021-11-16,107.67
166,2021-11-15,107.67
167,2021-11-14,107.67
168,2021-11-13,107.67
169,2021-11-12,107.67
170,2021-11-11,107.67
171,2021-11-10,107.67
172,2021-11-09,107.67
173,2021-11-08,107.67
174,2021-11-07,107.67
175,2021-11-06,107.67
176,2021-11-05,107.67
177,2021-11-04,107.67
178,2021-11-03,113.97
179,2021-11-02,113.97
180,2021-11-01,113.58
181,2021-10-31,113.2
182,2021-10-30,112.84
183,2021-10-29,112.47
184,2021-10-28,112.11
185,2021-10-27,111.75
186,2021-10-26,111.38
187,2021-10-25,111.38
188,2021-10-24,111.38
189,2021-10-23,111.02
190,2021-10-22,110.66
191,2021-10-21,110.29
192,2021-10-20,109.93
193,2021-10-19,109.57
194,2021-10-18,109.57
195,2021-10-15,108.84
196,2021-10-14,108.48
197,2021-10-13,108.12
198,2021-10-12,108.12
199,2021-10-11,108.12
200,2021-10-10,107.8
201,2021-10-09,107.49
202,2021-10-08,107.18
203,2021-10-07,106.87
204,2021-10-06,106.56
205,2021-10-05,106.25
206,2021-10-04,105.99
207,2021-10-03,105.99
208,2021-10-02,105.73
209,2021-10-01,105.47
210,2021-09-30,105.22
211,2021-09-29,104.98
212,2021-09-28,104.98
213,2021-09-27,104.79
214,2021-09-26,104.79
215,2021-09-25,104.79
216,2021-09-24,104.79
217,2021-09-23,104.79
218,2021-09-22,104.79
219,2021-09-21,104.79
220,2021-09-20,104.79
221,2021-09-19,104.79
222,2021-09-18,104.79
223,2021-09-17,104.79
224,2021-09-16,104.79
225,2021-09-15,104.79
226,2021-09-14,104.79
227,2021-09-13,104.79
228,2021-09-12,104.79
229,2021-09-11,104.79
230,2021-09-10,104.79
231,2021-09-09,104.79
232,2021-09-08,104.79
233,2021-09-07,104.79
234,2021-09-06,104.79
235,2021-09-05,104.79
236,2021-09-03,104.95
