,date,price
0,2022-05-01,105.38
1,2022-04-30,105.38
2,2022-04-29,105.38
3,2022-04-28,105.38
4,2022-04-27,105.38
5,2022-04-26,105.38
6,2022-04-25,105.38
7,2022-04-24,105.38
8,2022-04-23,105.38
9,2022-04-22,105.38
10,2022-04-21,105.38
11,2022-04-20,105.38
12,2022-04-19,105.38
13,2022-04-18,105.38
14,2022-04-17,105.38
15,2022-04-16,105.38
16,2022-04-15,105.38
17,2022-04-14,105.38
18,2022-04-13,105.38
19,2022-04-12,105.38
20,2022-04-11,105.38
21,2022-04-10,105.38
22,2022-04-09,105.38
23,2022-04-08,105.38
24,2022-04-07,105.38
25,2022-04-06,105.38
26,2022-04-05,104.58
27,2022-04-04,103.78
28,2022-04-03,103.38
29,2022-04-02,102.59
30,2022-04-01,101.79
31,2022-03-31,101.79
32,2022-03-30,100.99
33,2022-03-29,100.19
34,2022-03-28,99.39
35,2022-03-27,99.09
36,2022-03-26,98.59
37,2022-03-25,97.8
38,2022-03-24,97.01
39,2022-03-23,97.01
40,2022-03-22,96.21
41,2022-03-21,95.41
42,2022-03-20,95.41
43,2022-03-19,95.41
44,2022-03-18,95.41
45,2022-03-17,95.41
46,2022-03-16,95.41
47,2022-03-15,95.41
48,2022-03-14,95.41
49,2022-03-13,95.41
50,2022-03-12,95.41
51,2022-03-11,95.41
52,2022-03-10,95.41
53,2022-03-09,95.41
54,2022-03-08,95.41
55,2022-03-07,95.41
56,2022-03-06,95.41
57,2022-03-05,95.41
58,2022-03-04,95.41
59,2022-03-03,95.41
60,2022-03-02,95.41
61,2022-03-01,95.41
62,2022-02-28,95.41
63,2022-02-27,95.41
64,2022-02-26,95.41
65,2022-02-25,95.41
66,2022-02-24,95.41
67,2022-02-23,95.41
68,2022-02-22,95.41
69,2022-02-21,95.41
70,2022-02-20,95.41
71,2022-02-19,95.41
72,2022-02-18,95.41
73,2022-02-17,95.41
74,2022-02-16,95.41
75,2022-02-15,95.41
76,2022-02-14,95.41
77,2022-02-13,95.41
78,2022-02-12,95.41
79,2022-02-11,95.41
80,2022-02-10,95.41
81,2022-02-09,95.41
82,2022-02-08,95.41
83,2022-02-07,95.41
84,2022-02-06,95.41
85,2022-02-05,95.41
86,2022-02-04,95.41
87,2022-02-03,95.41
88,2022-02-02,95.41
89,2022-02-01,95.41
90,2022-01-31,95.41
91,2022-01-30,95.41
92,2022-01-29,95.41
93,2022-01-28,95.41
94,2022-01-27,95.41
95,2022-01-26,95.41
96,2022-01-25,95.41
97,2022-01-24,95.41
98,2022-01-23,95.41
99,2022-01-22,95.41
100,2022-01-21,95.41
101,2022-01-20,95.41
102,2022-01-19,95.41
103,2022-01-18,95.41
104,2022-01-17,95.41
105,2022-01-16,95.41
106,2022-01-15,95.41
107,2022-01-14,95.41
108,2022-01-13,95.41
109,2022-01-12,95.41
110,2022-01-11,95.41
111,2022-01-10,95.41
112,2022-01-09,95.41
113,2022-01-08,95.41
114,2022-01-07,95.41
115,2022-01-06,95.41
116,2022-01-05,95.41
117,2022-01-04,95.41
118,2022-01-03,95.41
119,2022-01-02,95.41
120,2022-01-01,95.41
121,2021-12-31,95.41
122,2021-12-30,95.41
123,2021-12-29,95.41
124,2021-12-28,95.41
125,2021-12-27,95.41
126,2021-12-26,95.41
127,2021-12-25,95.41
128,2021-12-24,95.41
129,2021-12-23,95.41
130,2021-12-22,95.41
131,2021-12-21,95.41
132,2021-12-20,95.41
133,2021-12-19,95.41
134,2021-12-18,95.41
135,2021-12-17,95.41
136,2021-12-16,95.41
