,date,price
0,2022-05-01,105.1
1,2022-04-30,105.1
2,2022-04-29,105.1
3,2022-04-28,105.1
4,2022-04-27,105.1
5,2022-04-26,105.1
6,2022-04-25,105.1
7,2022-04-24,105.1
8,2022-04-23,105.1
9,2022-04-22,105.1
10,2022-04-21,105.1
11,2022-04-20,105.1
12,2022-04-19,105.1
13,2022-04-18,105.1
14,2022-04-17,105.1
15,2022-04-16,105.1
16,2022-04-15,105.1
17,2022-04-14,105.1
18,2022-04-13,105.1
19,2022-04-12,105.1
20,2022-04-11,105.1
21,2022-04-10,105.1
22,2022-04-09,105.1
23,2022-04-08,105.1
24,2022-04-07,105.1
25,2022-04-06,105.1
26,2022-04-05,104.3
27,2022-04-04,103.5
28,2022-04-03,103.1
29,2022-04-02,102.3
30,2022-04-01,101.51
31,2022-03-31,101.51
32,2022-03-30,100.71
33,2022-03-29,99.91
34,2022-03-28,99.11
35,2022-03-27,98.81
36,2022-03-26,98.31
37,2022-03-25,97.52
38,2022-03-24,96.72
39,2022-03-23,96.72
40,2022-03-22,95.92
41,2022-03-21,95.12
42,2022-03-20,95.12
43,2022-03-19,95.12
44,2022-03-18,95.12
45,2022-03-17,95.12
46,2022-03-16,95.12
47,2022-03-15,95.12
48,2022-03-14,95.12
49,2022-03-13,95.12
50,2022-03-12,95.12
51,2022-03-11,95.12
52,2022-03-10,95.12
53,2022-03-09,95.12
54,2022-03-08,95.12
55,2022-03-07,95.12
56,2022-03-06,95.12
57,2022-03-05,95.12
58,2022-03-04,95.12
59,2022-03-03,95.12
60,2022-03-02,95.12
61,2022-03-01,95.12
62,2022-02-28,95.12
63,2022-02-27,95.12
64,2022-02-26,95.12
65,2022-02-25,95.12
66,2022-02-24,95.12
67,2022-02-23,95.12
68,2022-02-22,95.12
69,2022-02-21,95.12
70,2022-02-20,95.12
71,2022-02-19,95.12
72,2022-02-18,95.12
73,2022-02-17,95.12
74,2022-02-16,95.12
75,2022-02-15,95.12
76,2022-02-14,95.12
77,2022-02-13,95.12
78,2022-02-12,95.12
79,2022-02-11,95.12
80,2022-02-10,95.12
81,2022-02-09,95.12
82,2022-02-08,95.12
83,2022-02-07,95.12
84,2022-02-06,95.12
85,2022-02-05,95.12
86,2022-02-04,95.12
87,2022-02-03,95.12
88,2022-02-02,95.12
89,2022-02-01,95.12
90,2022-01-31,95.12
91,2022-01-30,95.12
92,2022-01-29,95.12
93,2022-01-28,95.12
94,2022-01-27,95.12
95,2022-01-26,95.12
96,2022-01-25,95.12
97,2022-01-24,95.12
98,2022-01-23,95.12
99,2022-01-22,95.12
100,2022-01-21,95.12
101,2022-01-20,95.12
102,2022-01-19,95.12
103,2022-01-18,95.12
104,2022-01-17,95.12
105,2022-01-16,95.12
106,2022-01-15,95.12
107,2022-01-14,95.12
108,2022-01-13,95.12
109,2022-01-12,95.12
110,2022-01-11,95.12
111,2022-01-10,95.12
112,2022-01-09,95.12
113,2022-01-08,95.12
114,2022-01-07,95.12
115,2022-01-06,95.12
116,2022-01-05,95.12
117,2022-01-04,95.12
118,2022-01-03,95.12
119,2022-01-02,95.12
120,2022-01-01,95.12
121,2021-12-31,95.12
122,2021-12-30,95.12
123,2021-12-29,95.12
124,2021-12-28,95.12
125,2021-12-27,95.12
126,2021-12-26,95.12
127,2021-12-25,95.12
128,2021-12-24,95.12
129,2021-12-23,95.12
130,2021-12-22,95.12
131,2021-12-21,95.12
132,2021-12-20,95.12
133,2021-12-19,95.12
134,2021-12-18,95.12
135,2021-12-17,95.12
136,2021-12-16,95.12
137,2021-12-15,95.12
138,2021-12-14,95.12
139,2021-12-13,95.12
140,2021-12-12,95.12
141,2021-12-11,95.12
142,2021-12-10,95.12
143,2021-12-09,95.12
144,2021-12-08,95.12
145,2021-12-07,95.12
146,2021-12-06,95.12
147,2021-12-05,95.12
148,2021-12-04,95.12
149,2021-12-03,95.12
150,2021-12-02,95.12
151,2021-11-30,95.12
152,2021-11-29,95.12
153,2021-11-28,95.12
154,2021-11-27,95.12
155,2021-11-26,95.12
156,2021-11-25,95.12
157,2021-11-24,95.12
158,2021-11-23,95.12
159,2021-11-22,95.12
160,2021-11-21,95.12
161,2021-11-20,95.12
162,2021-11-19,95.12
163,2021-11-18,95.12
164,2021-11-17,95.12
165,2021-11-16,95.12
166,2021-11-15,95.12
167,2021-11-14,95.12
168,2021-11-13,95.12
169,2021-11-12,95.12
170,2021-11-11,95.12
171,2021-11-10,95.12
172,2021-11-09,95.12
173,2021-11-08,95.12
174,2021-11-07,95.12
175,2021-11-06,95.12
176,2021-11-05,95.12
177,2021-11-04,100.89
178,2021-11-03,106.79
179,2021-11-02,106.79
180,2021-11-01,106.43
181,2021-10-31,106.06
182,2021-10-30,105.72
183,2021-10-29,105.38
184,2021-10-28,105.04
185,2021-10-27,104.7
186,2021-10-26,104.36
187,2021-10-25,104.36
188,2021-10-24,104.36
189,2021-10-23,104.02
190,2021-10-22,103.68
191,2021-10-21,103.34
192,2021-10-20,103
193,2021-10-19,102.66
194,2021-10-18,102.66
195,2021-10-15,101.98
196,2021-10-14,101.64
197,2021-10-13,101.3
198,2021-10-12,101.3
199,2021-10-11,101.3
200,2021-10-10,101
201,2021-10-09,100.71
202,2021-10-08,100.42
203,2021-10-07,100.13
204,2021-10-06,99.84
205,2021-10-05,99.54
206,2021-10-04,99.3
207,2021-10-03,99.3
208,2021-10-02,99.06
209,2021-10-01,98.81
210,2021-09-30,98.58
211,2021-09-29,98.35
212,2021-09-28,98.35
213,2021-09-27,98.17
214,2021-09-26,98.17
215,2021-09-25,98.17
216,2021-09-24,98.17
217,2021-09-23,98.17
218,2021-09-22,98.17
219,2021-09-21,98.17
220,2021-09-20,98.17
221,2021-09-19,98.17
222,2021-09-18,98.17
223,2021-09-17,98.17
224,2021-09-16,98.17
