,date,price
0,2022-05-01,106.1
1,2022-04-30,106.1
2,2022-04-29,106.1
3,2022-04-28,106.1
4,2022-04-27,106.1
5,2022-04-26,106.1
6,2022-04-25,106.1
7,2022-04-24,106.1
8,2022-04-23,106.1
9,2022-04-22,106.1
10,2022-04-21,106.1
11,2022-04-20,106.1
12,2022-04-19,106.1
13,2022-04-18,106.1
14,2022-04-17,106.1
15,2022-04-16,106.1
16,2022-04-15,106.1
17,2022-04-14,106.1
18,2022-04-13,106.1
19,2022-04-12,106.1
20,2022-04-11,106.1
21,2022-04-10,106.1
22,2022-04-09,106.1
23,2022-04-08,106.1
24,2022-04-07,106.1
25,2022-04-06,106.1
26,2022-04-05,105.31
27,2022-04-04,104.51
28,2022-04-03,104.11
29,2022-04-02,103.31
30,2022-04-01,102.51
31,2022-03-31,102.51
32,2022-03-30,101.71
33,2022-03-29,100.91
34,2022-03-28,100.12
35,2022-03-27,99.82
36,2022-03-26,99.32
37,2022-03-25,98.55
38,2022-03-24,97.75
39,2022-03-23,97.75
40,2022-03-22,96.95
41,2022-03-21,96.16
42,2022-03-20,96.16
43,2022-03-19,96.16
44,2022-03-18,96.16
45,2022-03-17,96.16
46,2022-03-16,96.16
47,2022-03-15,96.16
48,2022-03-14,96.16
49,2022-03-13,96.16
50,2022-03-12,96.16
51,2022-03-11,96.16
52,2022-03-10,96.16
53,2022-03-09,96.16
54,2022-03-08,96.16
55,2022-03-07,96.16
56,2022-03-06,96.16
57,2022-03-05,96.16
58,2022-03-04,96.16
59,2022-03-03,96.16
60,2022-03-02,96.16
61,2022-03-01,96.16
62,2022-02-28,96.16
63,2022-02-27,96.16
64,2022-02-26,96.16
65,2022-02-25,96.16
66,2022-02-24,96.16
67,2022-02-23,96.16
68,2022-02-22,96.16
69,2022-02-21,96.16
70,2022-02-20,96.16
71,2022-02-19,96.16
72,2022-02-18,96.16
73,2022-02-17,96.16
74,2022-02-16,96.16
75,2022-02-15,96.16
76,2022-02-14,96.16
77,2022-02-13,96.16
78,2022-02-12,96.16
79,2022-02-11,96.16
80,2022-02-10,96.16
81,2022-02-09,96.16
82,2022-02-08,96.16
83,2022-02-07,96.16
84,2022-02-06,96.16
85,2022-02-05,96.16
86,2022-02-04,96.16
87,2022-02-03,96.16
88,2022-02-02,96.16
89,2022-02-01,96.16
90,2022-01-31,96.16
91,2022-01-30,96.16
92,2022-01-29,96.16
93,2022-01-28,96.16
94,2022-01-27,96.16
95,2022-01-26,96.16
96,2022-01-25,96.16
97,2022-01-24,96.16
98,2022-01-23,96.16
99,2022-01-22,96.16
100,2022-01-21,96.16
101,2022-01-20,96.16
102,2022-01-19,96.16
103,2022-01-18,96.16
104,2022-01-17,96.16
105,2022-01-16,96.16
106,2022-01-15,96.16
107,2022-01-14,96.16
108,2022-01-13,96.16
109,2022-01-12,96.16
110,2022-01-11,96.16
111,2022-01-10,96.16
112,2022-01-09,96.16
113,2022-01-08,96.16
114,2022-01-07,96.16
115,2022-01-06,96.16
116,2022-01-05,96.16
117,2022-01-04,96.16
118,2022-01-03,96.16
119,2022-01-02,96.16
120,2022-01-01,96.16
121,2021-12-31,96.16
122,2021-12-30,96.16
123,2021-12-29,96.16
124,2021-12-28,96.16
125,2021-12-27,96.16
126,2021-12-26,96.16
127,2021-12-25,96.16
128,2021-12-24,96.16
129,2021-12-23,96.16
130,2021-12-22,96.16
131,2021-12-21,96.16
132,2021-12-20,96.16
133,2021-12-19,96.16
134,2021-12-18,96.16
135,2021-12-17,96.16
136,2021-12-16,96.16
137,2021-12-15,96.16
138,2021-12-14,96.16
139,2021-12-13,96.16
140,2021-12-12,96.16
141,2021-12-11,96.16
142,2021-12-10,96.16
143,2021-12-09,96.16
144,2021-12-08,96.16
145,2021-12-07,96.16
146,2021-12-06,96.16
147,2021-12-05,96.16
148,2021-12-04,96.16
149,2021-12-03,96.16
