,date,price
0,2022-05-01,106.14
1,2022-04-30,106.14
2,2022-04-29,106.14
3,2022-04-28,106.14
4,2022-04-27,106.14
5,2022-04-26,106.14
6,2022-04-25,106.14
7,2022-04-24,106.14
8,2022-04-23,106.14
9,2022-04-22,106.14
10,2022-04-21,106.14
11,2022-04-20,106.14
12,2022-04-19,106.14
13,2022-04-18,106.14
14,2022-04-17,106.14
15,2022-04-16,106.14
16,2022-04-15,106.14
17,2022-04-14,106.14
18,2022-04-13,106.14
19,2022-04-12,106.14
20,2022-04-11,106.14
21,2022-04-10,106.14
22,2022-04-09,106.14
23,2022-04-08,106.14
24,2022-04-07,106.14
25,2022-04-06,106.14
26,2022-04-05,105.34
27,2022-04-04,104.54
28,2022-04-03,104.14
29,2022-04-02,103.34
30,2022-04-01,102.55
31,2022-03-31,102.55
32,2022-03-30,101.75
33,2022-03-29,100.95
34,2022-03-28,100.15
35,2022-03-27,99.85
36,2022-03-26,99.35
37,2022-03-25,98.59
38,2022-03-24,97.79
39,2022-03-23,97.79
40,2022-03-22,96.99
41,2022-03-21,96.19
42,2022-03-20,96.19
43,2022-03-19,96.19
44,2022-03-18,96.19
45,2022-03-17,96.19
46,2022-03-16,96.19
47,2022-03-15,96.19
48,2022-03-14,96.19
49,2022-03-13,96.19
50,2022-03-12,96.19
51,2022-03-11,96.19
52,2022-03-10,96.19
53,2022-03-09,96.19
54,2022-03-08,96.19
55,2022-03-07,96.19
56,2022-03-06,96.19
57,2022-03-05,96.19
58,2022-03-04,96.19
59,2022-03-03,96.19
60,2022-03-02,96.19
61,2022-03-01,96.19
62,2022-02-28,96.19
63,2022-02-27,96.19
64,2022-02-26,96.19
65,2022-02-25,96.19
66,2022-02-24,96.19
67,2022-02-23,96.19
68,2022-02-22,96.19
69,2022-02-21,96.19
70,2022-02-20,96.19
71,2022-02-19,96.19
72,2022-02-18,96.19
73,2022-02-17,96.19
74,2022-02-16,96.19
75,2022-02-15,96.19
76,2022-02-14,96.19
77,2022-02-13,96.19
78,2022-02-12,96.19
79,2022-02-11,96.19
80,2022-02-10,96.19
81,2022-02-09,96.19
82,2022-02-08,96.19
83,2022-02-07,96.19
84,2022-02-06,96.19
85,2022-02-05,96.19
86,2022-02-04,96.19
87,2022-02-03,96.19
88,2022-02-02,96.19
89,2022-02-01,96.19
90,2022-01-31,96.19
91,2022-01-30,96.19
92,2022-01-29,96.19
93,2022-01-28,96.19
94,2022-01-27,96.19
95,2022-01-26,96.19
96,2022-01-25,96.19
