,date,price
0,2022-05-01,105.6
1,2022-04-30,105.6
2,2022-04-29,105.6
3,2022-04-28,105.6
4,2022-04-27,105.6
5,2022-04-26,105.6
6,2022-04-25,105.6
7,2022-04-24,105.6
8,2022-04-23,105.6
9,2022-04-22,105.6
10,2022-04-21,105.6
11,2022-04-20,105.6
12,2022-04-19,105.6
13,2022-04-18,105.6
14,2022-04-17,105.6
15,2022-04-16,105.6
16,2022-04-15,105.6
17,2022-04-14,105.6
18,2022-04-13,105.6
19,2022-04-12,105.6
20,2022-04-11,105.6
21,2022-04-10,105.6
22,2022-04-09,105.6
23,2022-04-08,105.6
24,2022-04-07,105.6
25,2022-04-06,105.6
26,2022-04-05,104.8
27,2022-04-04,104
28,2022-04-03,103.6
29,2022-04-02,102.8
30,2022-04-01,102
31,2022-03-31,102
32,2022-03-30,101.2
33,2022-03-29,100.41
34,2022-03-28,99.61
35,2022-03-27,99.31
36,2022-03-26,98.81
37,2022-03-25,98.03
38,2022-03-24,97.08
39,2022-03-23,97.08
40,2022-03-22,96.28
41,2022-03-21,95.46
42,2022-03-20,95.46
43,2022-03-19,95.46
44,2022-03-18,95.46
45,2022-03-17,95.46
46,2022-03-16,95.46
47,2022-03-15,95.46
48,2022-03-14,95.46
49,2022-03-13,95.46
50,2022-03-12,95.46
51,2022-03-11,95.46
52,2022-03-10,95.46
53,2022-03-09,95.46
54,2022-03-08,95.46
55,2022-03-07,95.46
56,2022-03-06,95.46
57,2022-03-05,95.46
58,2022-03-04,95.46
59,2022-03-03,95.46
60,2022-03-02,95.46
61,2022-03-01,95.46
62,2022-02-28,95.46
63,2022-02-27,95.46
64,2022-02-26,95.46
65,2022-02-25,95.46
66,2022-02-24,95.46
67,2022-02-23,95.46
68,2022-02-22,95.46
69,2022-02-21,95.46
70,2022-02-20,95.46
71,2022-02-19,95.46
72,2022-02-18,95.46
73,2022-02-17,95.46
74,2022-02-16,95.46
75,2022-02-15,95.46
76,2022-02-14,95.46
77,2022-02-13,95.46
78,2022-02-12,95.46
79,2022-02-11,95.46
80,2022-02-10,95.46
81,2022-02-09,95.46
82,2022-02-08,95.46
83,2022-02-07,95.46
84,2022-02-06,95.46
85,2022-02-05,95.46
86,2022-02-04,95.46
87,2022-02-03,95.46
88,2022-02-02,95.46
89,2022-02-01,95.46
90,2022-01-31,95.46
91,2022-01-30,95.46
92,2022-01-29,95.46
93,2022-01-28,95.46
94,2022-01-27,95.46
95,2022-01-26,95.46
96,2022-01-25,95.46
97,2022-01-24,95.46
98,2022-01-23,95.46
99,2022-01-22,95.46
100,2022-01-21,95.46
101,2022-01-20,95.46
102,2022-01-19,95.46
103,2022-01-18,95.46
104,2022-01-17,95.46
105,2022-01-16,95.46
106,2022-01-15,95.46
107,2022-01-14,95.46
108,2022-01-13,95.46
109,2022-01-12,95.46
110,2022-01-11,95.46
111,2022-01-10,95.46
112,2022-01-09,95.46
113,2022-01-08,95.46
114,2022-01-07,95.46
115,2022-01-06,95.46
116,2022-01-05,95.46
117,2022-01-04,95.46
118,2022-01-03,95.46
119,2022-01-02,95.46
120,2022-01-01,95.46
121,2021-12-31,95.46
122,2021-12-30,95.46
123,2021-12-29,95.46
124,2021-12-28,95.46
125,2021-12-27,95.46
126,2021-12-26,95.46
127,2021-12-25,95.46
128,2021-12-24,95.46
129,2021-12-23,95.46
130,2021-12-22,95.46
131,2021-12-21,95.46
132,2021-12-20,95.46
133,2021-12-19,95.46
134,2021-12-18,95.46
135,2021-12-17,95.46
136,2021-12-16,95.46
137,2021-12-15,95.46
138,2021-12-14,95.46
139,2021-12-13,95.46
140,2021-12-12,95.46
141,2021-12-11,95.46
142,2021-12-10,95.46
143,2021-12-09,95.46
144,2021-12-08,95.46
145,2021-12-07,95.46
146,2021-12-06,95.46
147,2021-12-05,95.46
148,2021-12-04,95.46
149,2021-12-03,95.46
150,2021-12-02,95.46
151,2021-11-30,95.46
152,2021-11-29,95.46
153,2021-11-28,95.46
154,2021-11-27,95.46
155,2021-11-26,95.46
156,2021-11-25,95.46
157,2021-11-24,95.46
158,2021-11-23,95.46
159,2021-11-22,95.46
160,2021-11-21,95.46
161,2021-11-20,95.46
162,2021-11-19,95.46
163,2021-11-18,95.46
164,2021-11-17,95.46
165,2021-11-16,95.46
166,2021-11-15,95.46
167,2021-11-14,95.46
168,2021-11-13,95.46
169,2021-11-12,95.46
170,2021-11-11,95.46
171,2021-11-10,95.46
172,2021-11-09,95.46
173,2021-11-08,95.46
174,2021-11-07,95.46
175,2021-11-06,95.46
176,2021-11-05,95.46
177,2021-11-04,101.25
178,2021-11-03,107.15
179,2021-11-02,107.15
180,2021-11-01,106.79
181,2021-10-31,106.41
182,2021-10-30,106.07
183,2021-10-29,105.73
184,2021-10-28,105.38
185,2021-10-27,105.04
186,2021-10-26,104.7
187,2021-10-25,104.7
188,2021-10-24,104.7
189,2021-10-23,104.36
190,2021-10-22,104.02
191,2021-10-21,103.68
192,2021-10-20,103.34
193,2021-10-19,103
194,2021-10-18,103
195,2021-10-15,102.32
196,2021-10-14,101.98
197,2021-10-13,101.64
198,2021-10-12,101.64
199,2021-10-11,101.64
200,2021-10-10,101.35
201,2021-10-09,101.06
202,2021-10-08,100.76
203,2021-10-07,100.47
204,2021-10-06,100.18
205,2021-10-05,99.89
206,2021-10-04,99.64
207,2021-10-03,99.64
208,2021-10-02,99.4
209,2021-10-01,99.16
210,2021-09-30,98.93
211,2021-09-29,98.7
212,2021-09-28,98.7
213,2021-09-27,98.52
214,2021-09-26,98.52
215,2021-09-25,98.52
216,2021-09-24,98.52
217,2021-09-23,98.52
218,2021-09-22,98.52
219,2021-09-21,98.52
220,2021-09-20,98.52
221,2021-09-19,98.52
222,2021-09-18,98.52
223,2021-09-17,98.52
224,2021-09-16,98.52
225,2021-09-15,98.52
226,2021-09-14,98.52
227,2021-09-13,98.52
228,2021-09-12,98.52
229,2021-09-11,98.52
230,2021-09-10,98.52
231,2021-09-09,98.52
232,2021-09-08,98.52
233,2021-09-07,98.52
234,2021-09-06,98.52
235,2021-09-05,98.52
236,2021-09-03,98.67
237,2021-09-02,98.67
238,2021-09-01,98.67
239,2021-08-31,98.83
240,2021-08-30,98.83
241,2021-08-29,98.83
242,2021-08-28,98.83
243,2021-08-27,98.83
244,2021-08-26,98.83
245,2021-08-25,98.83
246,2021-08-24,98.83
247,2021-08-23,98.96
248,2021-08-22,98.96
249,2021-08-21,99.09
250,2021-08-20,99.09
251,2021-08-19,99.09
252,2021-08-18,99.1
253,2021-08-17,99.1
254,2021-08-16,99.1
255,2021-08-15,99.1
256,2021-08-14,99.1
