,date,price
0,2022-05-01,70.89
1,2022-04-30,70.89
2,2022-04-29,70.89
3,2022-04-28,70.89
4,2022-04-27,70.89
5,2022-04-26,70.89
6,2022-04-25,70.89
7,2022-04-24,70.89
8,2022-04-23,70.89
9,2022-04-22,70.89
10,2022-04-21,70.89
11,2022-04-20,70.89
12,2022-04-19,70.89
13,2022-04-18,70.89
14,2022-04-17,70.89
15,2022-04-16,70.89
16,2022-04-15,70.89
17,2022-04-14,70.89
18,2022-04-13,70.89
19,2022-04-12,70.89
20,2022-04-11,70.89
21,2022-04-10,70.89
22,2022-04-09,70.89
23,2022-04-08,70.89
24,2022-04-07,70.89
25,2022-04-06,70.89
26,2022-04-05,70.89
27,2022-04-04,70.89
28,2022-04-03,70.89
29,2022-04-02,70.89
30,2022-04-01,70.89
31,2022-03-31,70.89
32,2022-03-30,70.89
33,2022-03-29,70.89
34,2022-03-28,70.89
35,2022-03-27,70.89
36,2022-03-26,70.89
37,2022-03-25,70.89
38,2022-03-24,70.89
39,2022-03-23,70.89
40,2022-03-22,70.89
41,2022-03-21,70.89
42,2022-03-20,70.89
43,2022-03-19,70.89
44,2022-03-18,70.89
45,2022-03-17,70.89
46,2022-03-16,70.89
47,2022-03-15,70.89
48,2022-03-14,70.89
49,2022-03-13,70.89
50,2022-03-12,70.89
51,2022-03-11,70.89
52,2022-03-10,70.89
53,2022-03-09,70.89
54,2022-03-08,70.89
55,2022-03-07,70.89
56,2022-03-06,70.89
57,2022-03-05,70.89
58,2022-03-04,70.89
59,2022-03-03,70.89
60,2022-03-02,70.89
61,2022-03-01,70.89
62,2022-02-28,70.89
63,2022-02-27,70.89
64,2022-02-26,70.89
65,2022-02-25,70.89
66,2022-02-24,70.89
67,2022-02-23,70.89
68,2022-02-22,70.89
69,2022-02-21,70.89
70,2022-02-20,70.89
71,2022-02-19,70.89
72,2022-02-18,70.89
73,2022-02-17,70.89
74,2022-02-16,70.89
75,2022-02-15,70.89
76,2022-02-14,70.89
77,2022-02-13,70.89
78,2022-02-12,70.89
79,2022-02-11,70.89
80,2022-02-10,70.89
81,2022-02-09,70.89
82,2022-02-08,70.89
83,2022-02-07,70.89
84,2022-02-06,70.89
85,2022-02-05,70.89
86,2022-02-04,70.89
87,2022-02-03,70.89
88,2022-02-02,70.89
89,2022-02-01,70.89
90,2022-01-31,70.89
91,2022-01-30,70.89
92,2022-01-29,70.89
93,2022-01-28,70.89
94,2022-01-27,70.89
95,2022-01-26,70.89
96,2022-01-25,70.89
97,2022-01-24,70.89
98,2022-01-23,70.89
