,country,state,city,price
0,India,Andaman and Nicobar Islands,Port Blair,91.45
1,India,Andhra Pradesh,Anantapur,121.1
2,India,Andhra Pradesh,Chittoor,122.12
3,India,Andhra Pradesh,Eluru,121.56
4,India,Andhra Pradesh,Guntur,121.26
5,India,Andhra Pradesh,Hyderabad,119.47
6,India,Andhra Pradesh,Kadapa,120.2
7,India,Andhra Pradesh,Kakinada,121.55
8,India,Andhra Pradesh,Kurnool,121.63
9,India,Andhra Pradesh,Machilipatnam,121.53
10,India,Andhra Pradesh,Nellore,121.7
11,India,Andhra Pradesh,Ongole,120.26
12,India,Andhra Pradesh,Srikakulam,121.06
13,India,Andhra Pradesh,Vizag,119.98
14,India,Andhra Pradesh,Vizianagaram,120.57
15,India,Arunachal Pradesh,Itanagar,101.59
16,India,Assam,Barpeta,106.11
17,India,Assam,Dibrugarh,106.58
18,India,Assam,Golaghat,105.81
19,India,Assam,Guwahati,105.64
20,India,Assam,Jorhat,106.25
21,India,Assam,Nagaon,107
22,India,Assam,Nalbari,106.34
23,India,Assam,Sibsagar,106.79
24,India,Assam,Silchar,106.23
25,India,Assam,Tezpur,106.09
26,India,Bihar,Araria,118.08
27,India,Bihar,Arrah,117.13
28,India,Bihar,Aurangabad,117.71
29,India,Bihar,Banka,117.65
30,India,Bihar,Begusarai,115.92
31,India,Bihar,Bettiah,117.97
32,India,Bihar,Bhagalpur,117.25
33,India,Bihar,Bihar Sharif,69.26
34,India,Bihar,Buxar,117.71
35,India,Bihar,Chapra,68.75
36,India,Bihar,Darbhanga,116.91
37,India,Bihar,Gaya,117.02
38,India,Bihar,Hajipur,116.26
39,India,Bihar,Jamui,117.64
40,India,Bihar,Jehanabad,116.72
41,India,Bihar,Katihar,117.73
42,India,Bihar,Khagaria,116.21
43,India,Bihar,Kishanganj,118.39
44,India,Bihar,Lakhisarai,117.7
45,India,Bihar,Madhepura,117.24
46,India,Bihar,Madhubani,117.24
47,India,Bihar,Motihari,117.61
48,India,Bihar,Munger,118.11
49,India,Bihar,Muzaffarpur,116.9
50,India,Bihar,Nawada,117.1
51,India,Bihar,Patna,116.21
52,India,Bihar,Purnia,117.71
53,India,Bihar,Samastipur,116.36
54,India,Bihar,Sasaram,117.65
55,India,Bihar,Sheikhpura,69.5
56,India,Bihar,Sheohar,117.46
57,India,Bihar,Sitamarhi,117.53
58,India,Bihar,Siwan,117.65
59,India,Bihar,Supaul,117.3
60,India,Chandigarh,Chandigarh,104.73
61,India,Chhattisgarh,Ambikapur,112.59
62,India,Chhattisgarh,Bijapur,110.79
63,India,Chhattisgarh,Bilaspur,112.15
64,India,Chhattisgarh,Dantewada,115.09
65,India,Chhattisgarh,Dhamtari,112.08
66,India,Chhattisgarh,Durg,111.77
67,India,Chhattisgarh,Jagdalpur,114.29
68,India,Chhattisgarh,Janjgir,111.67
69,India,Chhattisgarh,Jashpur,113.36
70,India,Chhattisgarh,Kanker,112.68
71,India,Chhattisgarh,Kawardha,112.43
72,India,Chhattisgarh,Korba,111.13
73,India,Chhattisgarh,Mahasamund,111.7
74,India,Chhattisgarh,Narayanpur,113.88
75,India,Chhattisgarh,Raigarh,112.42
76,India,Chhattisgarh,Raipur,111.45
77,India,Chhattisgarh,Rajnandgaon,112.24
78,India,Chhattisgarh,Surajpur,112.67
79,India,Dadra and Nagar Haveli,Silvassa,102.77
80,India,Daman and Diu,Daman,102.66
81,India,Delhi,Delhi,105.45
82,India,Delhi,Gurgaon,105.84
83,India,Delhi,Kanjhawala,105.45
84,India,Delhi,Preet Vihar,105.45
85,India,Delhi,Rajouri Garden,105.45
86,India,Delhi,Sadar Bazar,105.45
87,India,Delhi,Saket,105.45
88,India,Delhi,Shahdara,105.45
89,India,Delhi,Vasant Vihar,105.45
90,India,Goa,Margao,105.94
91,India,Goa,Panjim,106.43
92,India,Gujarat,Ahmedabad,105.06
93,India,Gujarat,Amreli,105.85
94,India,Gujarat,Anand,104.87
95,India,Gujarat,Bharuch,105.55
96,India,Gujarat,Bhavnagar,106.73
97,India,Gujarat,Bhuj,105.34
98,India,Gujarat,Dahod,106.21
99,India,Gujarat,Gandhinagar,105.27
100,India,Gujarat,Godhra,105.52
101,India,Gujarat,Himmatnagar,105.75
102,India,Gujarat,Jamnagar,105
103,India,Gujarat,Junagadh,105.71
104,India,Gujarat,Kheda,67.2
105,India,Gujarat,Mehsana,105.12
106,India,Gujarat,Navsari,105.19
107,India,Gujarat,Palanpur,105.04
108,India,Gujarat,Patan,105.09
109,India,Gujarat,Porbandar,105.53
110,India,Gujarat,Rajkot,104.82
111,India,Gujarat,Surat,104.94
112,India,Gujarat,Surendranagar,106.1
113,India,Gujarat,Vadodara,104.73
114,India,Haryana,Ambala,106.13
115,India,Haryana,Bhiwani,106.16
116,India,Haryana,Faridabad,106.15
117,India,Haryana,Fatehabad,106.63
118,India,Haryana,Hissar,106.32
119,India,Haryana,Jhajjar,105.68
120,India,Haryana,Jind,105.64
121,India,Haryana,Kaithal,105.67
122,India,Haryana,Karnal,105.28
123,India,Haryana,Kurukshetra,105.64
124,India,Haryana,Nuh,105.77
125,India,Haryana,Palwal,106.08
126,India,Haryana,Panchkula,106.47
127,India,Haryana,Panipat,105.08
128,India,Haryana,Rewari,105.25
129,India,Haryana,Rohtak,105.89
130,India,Haryana,Sirsa,106.9
131,India,Haryana,Sonepat,105.58
132,India,Haryana,Yamuna Nagar,105.9
133,India,Himachal Pradesh,Bilaspur,104.27
134,India,Himachal Pradesh,Chamba,105.53
135,India,Himachal Pradesh,Hamirpur,104.12
136,India,Himachal Pradesh,Kullu,105.58
137,India,Himachal Pradesh,Mandi,104.72
138,India,Himachal Pradesh,Nahan,105.03
139,India,Himachal Pradesh,Shimla,105.58
140,India,Himachal Pradesh,Solan,104.82
141,India,Himachal Pradesh,Una,103.55
142,India,Jammu and Kashmir,Anantnag,109.73
143,India,Jammu and Kashmir,Badgam,110.69
144,India,Jammu and Kashmir,Doda,104.64
145,India,Jammu and Kashmir,Jammu,106.5
146,India,Jammu and Kashmir,Kargil,110.02
147,India,Jammu and Kashmir,Kathua,107.22
148,India,Jammu and Kashmir,Kishtwar,109.47
149,India,Jammu and Kashmir,Kupwara,111.51
150,India,Jammu and Kashmir,Leh,112.37
151,India,Jammu and Kashmir,Poonch,109.6
152,India,Jammu and Kashmir,Rajauri,108.46
153,India,Jammu and Kashmir,Samba,106.78
154,India,Jammu and Kashmir,Shopian,110.36
155,India,Jammu and Kashmir,Srinagar,110.67
156,India,Jammu and Kashmir,Udhampur,107.31
157,India,Jharkhand,Bokaro,108.9
158,India,Jharkhand,Chaibasa,109.14
159,India,Jharkhand,Daltonganj,110.57
160,India,Jharkhand,Deoghar,108.4
161,India,Jharkhand,Dhanbad,108.61
162,India,Jharkhand,Dumka,108.97
163,India,Jharkhand,Garhwa,110.95
164,India,Jharkhand,Giridih,109.44
165,India,Jharkhand,Godda,109.08
166,India,Jharkhand,Gumla,109.53
167,India,Jharkhand,Hazaribagh,109.84
168,India,Jharkhand,Jamshedpur,108.62
169,India,Jharkhand,Koderma,109.58
170,India,Jharkhand,Lohardaga,109.57
171,India,Jharkhand,Pakur,109.93
172,India,Jharkhand,Ramgarh,109.21
173,India,Jharkhand,Ranchi,108.69
174,India,Jharkhand,Seraikela,108.89
175,India,Karnataka,Bagalkot,111.55
176,India,Karnataka,Ballari,112.97
177,India,Karnataka,Belgaum,110.83
178,India,Karnataka,Bengaluru,111.07
179,India,Karnataka,Bidar,111.88
180,India,Karnataka,Chamarajanagar,111.12
181,India,Karnataka,Chickmagaluru,112.6
182,India,Karnataka,Chikkaballapura,111.14
183,India,Karnataka,Chitradurga,112.79
184,India,Karnataka,Davangere,112.82
185,India,Karnataka,Dharwad,110.81
186,India,Karnataka,Gadag,111.34
187,India,Karnataka,Gulbarga,110.79
188,India,Karnataka,Hassan,110.87
189,India,Karnataka,Haveri,111.52
190,India,Karnataka,Karwar,71.99
191,India,Karnataka,Kolar,110.95
192,India,Karnataka,Koppal,111.97
193,India,Karnataka,Mandya,110.88
194,India,Karnataka,Mangalore,110.27
195,India,Karnataka,Mysore,110.59
196,India,Karnataka,Raichur,110.9
197,India,Karnataka,Ramanagara,111.42
198,India,Karnataka,Shimoga,112.54
199,India,Karnataka,Tumakuru,111.56
